 	cette	année	les	régimes	de	bananes	sont	gros	</S>
m	0.572362	0.331605	0.0372928	0.0424412	0.00932099	0.00391782	0.00137946	0.00103286	0.000648228
v	0.130239	0.315978	0.346791	0.0329189	0.0208495	0.00131561	0.00933339	0.0245766	0.117998
ú	0.137441	0.847803	0.00862242	0.00086751	0.000257193	5.26561e-05	7.53321e-05	0.00472349	0.000158156
l	0.0963444	0.814333	0.0221004	0.0149027	0.00365198	0.00251556	0.000846938	0.0147512	0.030554
á	0.681492	0.191873	0.0469409	0.00503163	0.0114702	0.000644135	0.00691963	0.0209634	0.0346656
w	0.642235	0.0434254	0.226527	0.0212713	0.0239594	0.00252425	0.0156422	0.000645712	0.0237695
ó	0.19973	0.102308	0.0534129	0.367713	0.117706	0.0621813	0.0269653	0.00755532	0.0624283
a	0.105638	0.0365037	0.203297	0.358129	0.137943	0.0394649	0.0228255	0.00335571	0.0928434
k	0.024152	0.0208282	0.158442	0.187521	0.152052	0.163876	0.12917	0.0157623	0.148197
ω	0.00902155	0.0417166	0.0306591	0.193003	0.100436	0.543408	0.01753	0.0134491	0.0507775
á	0.0464194	0.0547003	0.0877724	0.199526	0.104972	0.41099	0.0422941	0.0104549	0.0428707
d	0.0203046	0.00514529	0.0672879	0.0516166	0.465836	0.149475	0.139101	0.0666522	0.0345808
í	0.0132404	0.00240977	0.0988963	0.0431987	0.292349	0.0313714	0.0745791	0.0786358	0.36532
a	0.00940358	0.00113756	0.109992	0.0230567	0.280965	0.0841643	0.13056	0.111787	0.248934
n	0.00600659	0.00660133	0.0563774	0.0182094	0.141069	0.192002	0.187491	0.238378	0.153865
έ	0.0336397	0.0269053	0.0934782	0.0389205	0.189596	0.102479	0.0806954	0.255935	0.178351
a	0.00617213	0.00183183	0.0908695	0.0162386	0.197363	0.072908	0.253622	0.121307	0.239688
n	0.00994505	0.00385604	0.0113288	0.000907817	0.0264916	0.00984948	0.269463	0.499641	0.168517
έ	0.027888	0.00678164	0.0406795	0.00292665	0.0582112	0.00805984	0.13161	0.503523	0.22032
</S>	0.00251515	0.000599798	0.0360333	0.00580412	0.15198	0.0312819	0.202422	0.117551	0.451813
