 	les	travaux	de	construction	du	barrage	à	nasses	en	forêt	me	dépassent	</S>
i	0.496446	0.305263	0.0771955	0.026835	0.0591241	0.0193915	0.00685533	0.00183275	0.00265144	0.00329383	0.00109948	2.70475e-06	9.47639e-06
s	0.0753186	0.862356	0.0157563	0.0153451	0.0182471	0.00459793	0.00107599	0.00152654	0.000642143	0.00258546	0.00155195	0.000242325	0.000754196
á	0.306753	0.413727	0.023343	0.0205306	0.149463	0.0308892	0.00579094	0.0112077	0.00430759	0.00205301	0.00336197	0.000758055	0.0278153
l	0.130751	0.112013	0.03693	0.0578609	0.0830177	0.0408235	0.01953	0.0274291	0.0223389	0.0159314	0.0327735	0.078261	0.342341
a	0.0669291	0.0678313	0.140045	0.264794	0.0884038	0.0290923	0.0254204	0.0189334	0.0339337	0.0130729	0.0804295	0.00247412	0.16864
l	0.128899	0.0178806	0.218006	0.176341	0.133497	0.0263816	0.0327762	0.0187793	0.0411788	0.00965869	0.0402981	0.011606	0.144698
á	0.0262035	0.0104146	0.0604141	0.105576	0.136871	0.049934	0.0311617	0.0325741	0.0440988	0.0182075	0.0761992	0.00820476	0.400141
b	0.180091	0.00743827	0.0707963	0.129067	0.227306	0.151967	0.0423235	0.0593147	0.0364289	0.0170342	0.032162	0.00339246	0.0426798
v	0.0118686	0.0152295	0.0277444	0.0826467	0.105503	0.562221	0.0559152	0.102208	0.0202263	0.00911817	0.00404612	0.00105617	0.0022164
a	0.00673109	0.00671149	0.0231069	0.0358618	0.0538929	0.743244	0.0254244	0.0693113	0.016232	0.00876552	0.0071281	0.000466095	0.0031245
n	0.00806223	0.00349459	0.0751701	0.0702005	0.167371	0.404565	0.162959	0.0460448	0.0355569	0.0109636	0.00591018	0.00035115	0.0093503
d	0.0164695	0.00483975	0.0166166	0.0303244	0.131101	0.458447	0.0988025	0.08953	0.0344176	0.00705071	0.0268558	0.00439617	0.0811483
e	0.00247186	0.000940986	0.00475786	0.0303864	0.123508	0.474694	0.124538	0.133568	0.021137	0.0034102	0.0172815	0.000797476	0.0625082
í	0.00609164	0.00569286	0.0299839	0.0445459	0.134858	0.072862	0.237923	0.315644	0.0941621	0.0223888	0.022013	0.00106808	0.012766
m	0.00377734	0.00666677	0.00347061	0.00164159	0.0282828	0.0353875	0.200709	0.267854	0.236224	0.175522	0.0182116	0.00933024	0.012923
i	0.0124571	0.00619139	0.0122204	0.00144189	0.0090322	0.109499	0.260403	0.0588273	0.389538	0.0216003	0.0235613	0.00505115	0.0901778
s	0.00292872	0.00591204	0.00245089	0.00180568	0.00789918	0.0736393	0.0514588	0.398364	0.165652	0.176476	0.00921364	0.0314591	0.0727418
í	0.00128384	0.00225487	0.000940782	0.000746953	0.0109438	0.0317349	0.0726186	0.489052	0.135136	0.0546647	0.0166394	0.0220329	0.161951
á	0.000254184	0.000311957	0.00182121	0.000883994	0.00524401	0.0149401	0.0947674	0.233805	0.27443	0.119657	0.0324054	0.0245967	0.196883
o	0.0020412	0.000722262	0.00441612	0.00209045	0.00433645	0.00701246	0.0610981	0.0842519	0.352461	0.179051	0.257084	0.0148526	0.0305831
w	0.00351822	0.00545763	0.00106246	0.000651558	0.00347397	0.00973661	0.00420349	0.0487017	0.0403368	0.0710831	0.0153243	0.764856	0.0315947
u	0.00192936	0.0106049	0.00397882	0.00670302	0.00630997	0.0134188	0.0182639	0.210387	0.0561907	0.0877471	0.0138482	0.394957	0.175662
l	0.000466956	0.000331073	0.000344002	0.000145771	0.000446696	0.00226572	0.00284047	0.0591147	0.0310904	0.035281	0.00697799	0.723822	0.136874
á	0.00260285	0.00135122	0.00281791	0.000434481	0.00368768	0.00749996	0.0286036	0.251736	0.131558	0.165342	0.105646	0.219438	0.0792825
l	0.00231136	0.00072277	0.00509727	0.00215138	0.00291645	0.00347657	0.0136699	0.0306643	0.0623502	0.0475753	0.317613	0.147871	0.36358
a	0.00170957	0.00244407	0.00269696	0.00338785	0.00757246	0.0139177	0.0151436	0.0602804	0.0547847	0.0888101	0.378487	0.0883998	0.282366
n	0.00239392	0.00145649	0.0104143	0.00447674	0.00395547	0.00193627	0.0139314	0.0330223	0.0374019	0.0273934	0.603492	0.0968137	0.163312
g	0.00819003	0.000623253	0.00157722	0.00209918	0.00258287	0.00607084	0.00471572	0.0236314	0.00905434	0.00460749	0.887993	0.00508933	0.043765
á	0.00312335	0.000897037	0.00192888	0.0126324	0.00445129	0.00647326	0.0131751	0.0395436	0.0212182	0.0152254	0.701334	0.00534134	0.174656
ó	0.00349462	0.000940864	0.00651595	0.00377279	0.00239051	0.00403697	0.00985853	0.0271556	0.0471791	0.0254911	0.493937	0.0565159	0.318711
k	0.00542433	0.0318442	0.0177579	0.00286255	0.0451666	0.0210488	0.055537	0.0555941	0.0818371	0.083013	0.200434	0.198326	0.201155
ώ	0.000317593	0.00948435	0.00456546	0.00572654	0.0164723	0.0156865	0.0159594	0.10998	0.0380391	0.368762	0.0245112	0.266096	0.124399
p	0.000219775	0.000889225	0.00108818	0.000515327	0.000837714	0.00108496	0.00190481	0.0634616	0.0168152	0.0852813	0.0167879	0.526762	0.284352
é	0.00321104	0.00602691	0.00520757	0.00408287	0.00732134	0.0042878	0.0155038	0.0564333	0.0403549	0.133322	0.0869643	0.36245	0.274833
</S>	0.000308817	0.000646857	0.00313398	0.000926304	0.00162113	0.000986958	0.00887794	0.00909963	0.027808	0.0347152	0.136728	0.144634	0.630513
