 	le	chien	est	tombé	dans	la	fosse	</S>
m	0.754305	0.238237	0.00257374	0.00175626	0.000986846	0.00176179	0.000362669	1.68848e-05
v	0.0186373	0.946882	0.0197954	0.00486445	0.00295733	0.000685374	0.00149302	0.00468549
á	0.00535245	0.991255	0.000904281	0.000671921	0.0015843	8.24501e-05	0.000141673	7.72939e-06
n	0.279682	0.694023	0.00258735	0.000647586	0.00108552	0.000667072	0.00237528	0.0189323
d	0.0493135	0.771772	0.0367329	0.017668	0.0249296	0.00186963	0.00176494	0.0959491
é	0.129234	0.722527	0.0574484	0.0111951	0.0154314	0.00248016	0.00177917	0.0599039
á	0.144489	0.0648432	0.594099	0.0998605	0.0314435	0.0145943	0.00229798	0.0483726
m	0.042356	0.0670981	0.498135	0.267361	0.0831513	0.016741	0.00295644	0.0222011
i	0.0231718	0.0143092	0.419828	0.318653	0.155117	0.0364229	0.00527804	0.0272206
b	0.00129723	0.0160143	0.150947	0.58582	0.204577	0.0140944	0.00238746	0.0248628
v	0.00300564	0.00299003	0.0776163	0.652965	0.198088	0.0209778	0.0166701	0.0276864
a	0.000342718	0.00244002	0.0502313	0.696904	0.227521	0.0105528	0.00864911	0.00335888
s	0.00352849	0.00128661	0.0530869	0.143772	0.469851	0.161787	0.0455643	0.121123
í	0.0063963	0.00111694	0.0123826	0.138681	0.620996	0.191872	0.00302159	0.0255338
b	0.00681934	0.000761213	0.0129386	0.0346106	0.196597	0.612796	0.12326	0.0122179
é	0.0221859	0.00137717	0.011748	0.0613212	0.121923	0.0855471	0.687619	0.00827831
á	0.000643922	0.000163343	0.00258199	0.0131962	0.0252512	0.018522	0.924692	0.014949
</S>	0.00175497	0.00112645	0.0159355	0.0198964	0.0621264	0.141469	0.40564	0.352051
