 	il	s'	est	cassé	le	bras	</S>
w	0.894835	0.0869997	0.00973841	0.00142001	0.00636458	0.000447987	0.000194638
a	0.930623	0.0255911	0.00476217	0.00324861	0.0314736	0.00417269	0.000129117
á	0.098687	0.710933	0.168099	0.00894412	0.00512956	0.000671758	0.00753553
m	0.0151918	0.506854	0.372044	0.0767349	0.014205	0.00417198	0.0107977
i	0.0133906	0.335991	0.444714	0.126693	0.0350053	0.00354203	0.040664
b	0.0027007	0.0817404	0.461232	0.42192	0.0126904	0.00150589	0.0182109
v	0.000784068	0.0283466	0.139652	0.800967	0.00627043	0.0048932	0.0190867
ú	0.000263427	0.0493574	0.295261	0.646914	0.00534983	0.00200536	0.000849042
n	0.0889795	0.091837	0.11876	0.536692	0.0448832	0.0320368	0.086812
y	0.0168225	0.0525845	0.206608	0.326332	0.20118	0.00515987	0.191312
á	0.00573103	0.00746032	0.060137	0.474542	0.216828	0.0318463	0.203455
e	0.0077007	0.00950908	0.0310224	0.145585	0.404837	0.387381	0.0139645
b	0.00131829	0.00110167	0.00251764	0.0354965	0.0438265	0.884376	0.0313635
ώ	0.000373668	0.000583386	0.000927144	0.00666507	0.00674967	0.982952	0.00174919
ω	2.20062e-05	4.2619e-05	0.000268639	0.00373445	0.0127758	0.963866	0.0192906
</S>	0.00132201	0.00381131	0.00870468	0.00472865	0.20315	0.146719	0.631565
