 	un	petit	enfant	s'	est	noyé	dans	le	fleuve	</S>
m	0.371927	0.602304	0.020332	0.00121936	0.00123129	0.00149229	0.000804423	0.000657834	2.40352e-05	8.24867e-06
w	0.0221003	0.140297	0.821727	0.0114051	0.00139496	0.00122127	0.000518712	0.000297992	2.72824e-05	0.00101079
á	0.0112857	0.129792	0.858225	0.000194612	0.000137806	0.000239752	4.8845e-06	8.06919e-06	0.000110258	1.88855e-06
n	0.0271425	0.383652	0.582009	0.00358252	0.000817004	0.00119492	0.00013266	0.000106017	0.000490394	0.000872225
a	0.0332372	0.274725	0.534087	0.0484914	0.0234186	0.00708101	0.00487662	0.00296462	0.0178513	0.0532673
n	0.259009	0.632251	0.0454945	0.0264283	0.0192535	0.00109485	0.00488335	0.00480354	0.00125242	0.00552991
d	0.166282	0.40374	0.111802	0.0827745	0.0298582	0.0088423	0.0249688	0.0157949	0.0212672	0.13467
z	0.164466	0.225122	0.48973	0.0207396	0.00951569	0.0159075	0.00345712	0.00346253	0.0403302	0.0272691
é	0.323652	0.52115	0.0228766	0.010817	0.0112374	0.0509191	0.00612871	0.00512502	0.0252578	0.0228367
s	0.342507	0.298165	0.0132471	0.0524848	0.0405168	0.151259	0.0207839	0.0164413	0.0223448	0.0422507
i	0.282137	0.537805	0.0797624	0.0139599	0.00903352	0.0469666	0.00323687	0.00309069	0.00717027	0.0168379
á	0.0517021	0.0692081	0.145887	0.527023	0.153352	0.0205882	0.0139646	0.00656163	0.00172038	0.0099933
m	0.0153861	0.0122914	0.00698292	0.203717	0.496332	0.117795	0.0555454	0.0111426	0.00738792	0.0734194
i	0.007642	0.00397133	0.0042489	0.155631	0.397669	0.24447	0.105234	0.0440092	0.0066569	0.0304668
l	0.00404518	0.00171588	0.000889491	0.0610491	0.335583	0.500657	0.0636736	0.0106244	0.00531987	0.0164427
é	0.0142911	0.00558761	0.00019819	0.0280637	0.18551	0.611996	0.0934482	0.0088431	0.0122386	0.0398243
b	0.00485686	0.00119971	0.000498113	0.0207054	0.226294	0.596457	0.0828849	0.0107125	0.00445444	0.0519367
h	0.0242126	0.00378687	0.000542333	0.0522351	0.258056	0.454665	0.10732	0.0332709	0.0211214	0.0447891
á	0.00442951	0.000959766	0.000439601	0.00759802	0.0259845	0.861416	0.0340555	0.0128929	0.00533893	0.0468856
á	0.00306794	0.00227949	0.00165421	0.086014	0.0960319	0.0682538	0.407844	0.289885	0.0191107	0.0258595
ó	0.00353541	0.0022105	0.00115458	0.0116584	0.0203898	0.00695212	0.269294	0.574903	0.100041	0.0098604
n	0.0124123	0.00345558	0.000474476	0.00454682	0.017819	0.0726913	0.196773	0.234319	0.421186	0.0363227
d	0.0135458	0.0569844	0.00845217	0.0217885	0.0134305	0.0227456	0.0991301	0.261971	0.411904	0.0900477
z	0.00137455	0.00716916	0.00182755	0.00512332	0.00415509	0.0142213	0.0352793	0.0950404	0.744392	0.0914176
á	0.000518395	0.00151298	0.000547124	0.00344524	0.00533762	0.0298662	0.0544414	0.139505	0.639351	0.125475
l	0.000915036	0.00053635	0.00011627	0.00568443	0.0105032	0.0767101	0.0862786	0.0357697	0.101836	0.68165
é	0.00430354	0.00324257	0.000129969	0.0058111	0.0160346	0.0675068	0.116368	0.170493	0.392185	0.223925
</S>	0.00161919	0.000947128	0.000108056	0.01174	0.0101191	0.00459619	0.116734	0.0943011	0.112478	0.647357
