 	le	temps	est	nuageux	il	va	bientôt	pleuvoir	</S>
m	0.559626	0.258157	0.0517412	0.0394242	0.0231594	0.00883346	0.0539021	0.00413869	0.00101849
v	0.14298	0.580887	0.149568	0.0161574	0.0540133	0.0265527	0.00226614	0.00258063	0.0249946
ú	0.185448	0.698828	0.00873896	0.0102232	0.03434	0.048793	0.00333234	0.00804953	0.0022467
á	0.110944	0.742023	0.0257631	0.0268109	0.0113232	0.0371967	0.000781378	0.0293899	0.0157678
á	0.192857	0.153713	0.494574	0.0692605	0.0298053	0.00997944	0.00857405	0.00291097	0.0383255
m	0.0718391	0.0851204	0.39994	0.283397	0.0630827	0.0412849	0.0150463	0.00555706	0.0347322
i	0.00848257	0.0362639	0.221809	0.240404	0.162232	0.270402	0.0209067	0.00676662	0.0327329
k	0.00420652	0.0175127	0.0670732	0.673632	0.0494469	0.147127	0.00855565	0.0066391	0.0258072
o	0.00489397	0.00921247	0.0181719	0.587497	0.0431119	0.246563	0.0236938	0.0290671	0.0377882
á	0.00339934	0.0110836	0.0270967	0.687492	0.0463293	0.144492	0.0374353	0.0280343	0.0146368
k	0.0233458	0.00546896	0.0727285	0.0304389	0.468411	0.155787	0.167799	0.0441844	0.0318375
o	0.00680367	0.00612347	0.00662585	0.109069	0.0919122	0.259322	0.326505	0.107375	0.086265
b	0.000742075	0.00152961	0.0174993	0.179905	0.0360872	0.187046	0.348741	0.189049	0.039401
h	0.00783796	0.00507725	0.0147424	0.0960255	0.105217	0.206544	0.16307	0.105981	0.295504
o	0.0191178	0.0121437	0.00679219	0.0285766	0.067365	0.118807	0.0600264	0.26959	0.417581
o	0.00898579	0.00231134	0.0110476	0.0208529	0.0611772	0.0407516	0.14964	0.37385	0.331384
</S>	0.0123143	0.0135944	0.0543698	0.0444403	0.0523879	0.106725	0.221395	0.266721	0.228052
