 	les	deux	amis	se	réjouissent	de	se	retrouver	après	leur	longue	séparation	</S>
a	0.437836	0.500538	0.0374983	0.00663173	0.00158182	0.0026956	0.00151733	0.0037161	0.00205374	0.00307364	0.00221207	0.000612041	3.40583e-05
n	0.229502	0.171509	0.48907	0.00213602	0.00652168	0.00282441	0.00123031	0.0659394	0.0126602	0.00427744	0.00195555	0.0102279	0.00214678
d	0.291855	0.355789	0.0565548	0.0124957	0.0910655	0.0272309	0.00483236	0.0210396	0.101749	0.0177455	0.00483368	0.00664376	0.00816635
ú	0.35756	0.176574	0.135326	0.00589552	0.17174	0.0311359	0.00425558	0.0125291	0.0708298	0.0119233	0.00207283	0.00606651	0.0140921
ú	0.688976	0.097436	0.0110462	0.00198807	0.0214768	0.0200133	0.00311234	0.00446069	0.138251	0.00514933	0.00078173	0.00240248	0.00490584
á	0.371801	0.102286	0.0682567	0.0859884	0.0135974	0.0977087	0.0568355	0.00485568	0.00816243	0.0184269	0.00822969	0.00177742	0.162074
b	0.100297	0.0763593	0.183086	0.257473	0.129297	0.104775	0.0293147	0.00740323	0.0121296	0.00749568	0.0198015	0.014914	0.0576548
a	0.0181118	0.0357656	0.67338	0.062295	0.119859	0.0438172	0.0163596	0.00613175	0.00247973	0.00358063	0.0054195	0.00465652	0.00814344
á	0.0250915	0.0682161	0.50912	0.0639587	0.170232	0.0513966	0.0178664	0.0093912	0.00390883	0.00394478	0.00333801	0.00846252	0.065073
á	0.00992439	0.00993382	0.00941088	0.453516	0.263027	0.163528	0.0387704	0.00620771	0.00714576	0.00987321	0.00783135	0.00271973	0.0181114
s	0.00335404	0.00450794	0.0245638	0.080053	0.672918	0.103619	0.0480516	0.020932	0.0047345	0.00172872	0.0100094	0.00860141	0.0169267
a	0.00133116	0.00168117	0.00902059	0.0291752	0.793906	0.0658913	0.0370303	0.0146809	0.0208438	0.00287386	0.004511	0.00127495	0.0177795
m	0.00843334	0.012735	0.0205243	0.0277224	0.312434	0.299738	0.158409	0.0265785	0.0211715	0.00800978	0.00218322	0.001373	0.100688
i	0.0208977	0.00925191	0.00607177	0.043743	0.255463	0.506057	0.12521	0.00499897	0.00618907	0.0128978	0.00102785	0.000112011	0.00808077
n	0.00399745	0.00413082	0.00140658	0.108812	0.10681	0.279975	0.31484	0.0681769	0.0412605	0.023994	0.0172199	0.00192061	0.0274569
i	0.00944996	0.00553424	0.0018728	0.0583548	0.38733	0.30072	0.0562956	0.0217097	0.128035	0.0169351	0.00198237	0.000715772	0.0110647
