 	je	dois	à	tout	prix	te	frapper	car	tu	me	prends	pour	rien	</S>
n	0.472067	0.25714	0.043649	0.0616075	0.035096	0.0445235	0.00467005	0.0420138	0.0217818	0.0101694	0.00430921	0.00249837	0.000254296	0.000219938
g	0.969362	0.00383149	0.00148473	0.00110604	0.00212748	0.0022823	0.000223357	0.00129259	0.0112345	0.00660385	3.2525e-05	9.34562e-05	0.000315848	1.00413e-05
á	0.954663	0.00862999	0.00196865	0.000421914	0.00142714	0.00130507	0.000710922	0.000969522	0.0145203	0.00519509	0.00016757	8.82642e-05	0.00990316	2.97734e-05
k	0.172966	0.170285	0.0754306	0.0458099	0.0537247	0.090349	0.0333177	0.0428876	0.0868897	0.0629463	0.00516125	0.0267786	0.0129658	0.120488
ω	0.14284	0.346708	0.0861445	0.0434172	0.035678	0.06337	0.0774226	0.0382586	0.0120257	0.0156528	0.0493789	0.0240789	0.00934308	0.0556809
m	0.0311549	0.533668	0.142828	0.0249017	0.0199957	0.0315258	0.019909	0.0273726	0.0100444	0.013753	0.0865072	0.0164135	0.00856936	0.0333567
i	0.0112872	0.120862	0.234909	0.176843	0.134793	0.107558	0.0440165	0.0208686	0.00381197	0.00893277	0.0110259	0.0502184	0.00316632	0.0717077
i	0.00393847	0.152504	0.49986	0.109899	0.0361794	0.0124694	0.0231878	0.0113613	0.000984873	0.00335249	0.0155361	0.0152994	0.0022709	0.113157
b	0.00668093	0.196669	0.372028	0.132578	0.0339383	0.0132446	0.0266076	0.0109149	0.0051699	0.00767708	0.0206383	0.0183035	0.00200195	0.153547
έ	0.00495823	0.405411	0.308661	0.090954	0.0404053	0.0266341	0.0517589	0.0174778	0.00422234	0.011312	0.0160866	0.0105465	0.00023508	0.0113375
r	0.00454171	0.0869085	0.271758	0.211069	0.0733705	0.0640662	0.0358459	0.0367755	0.0233115	0.0605599	0.00788359	0.0286682	0.00513181	0.0901095
í	0.00570469	0.0487062	0.183614	0.188061	0.140097	0.0845767	0.0247385	0.120687	0.0202722	0.0674797	0.0279124	0.0309654	0.0155247	0.0416612
n	0.0102011	0.024436	0.0855082	0.419891	0.183659	0.106762	0.040207	0.0652357	0.027505	0.017893	0.0025836	0.00587629	0.00158268	0.00866002
ω	0.0774954	0.00582211	0.051716	0.0603721	0.101496	0.0621714	0.032716	0.0321538	0.198036	0.187045	0.00939105	0.0193872	0.100417	0.061781
t	0.00175404	0.00974104	0.0733777	0.250498	0.170613	0.144476	0.199546	0.0635208	0.0208494	0.0144382	0.00266844	0.00584327	0.00816652	0.0345066
s	0.000977373	0.0310271	0.0878937	0.197691	0.151302	0.135355	0.198129	0.100787	0.0030199	0.00331416	0.0495344	0.00666389	0.000832141	0.0334727
í	4.09458e-05	0.0114275	0.083414	0.102155	0.139747	0.0459836	0.290842	0.188061	0.00137175	0.00590771	0.101553	0.0126051	0.0019077	0.0149837
n	0.00360998	0.0080981	0.0305255	0.1037	0.148414	0.123511	0.222364	0.157585	0.043544	0.0310467	0.0248226	0.00905802	0.0034842	0.0902374
a	0.0262998	0.00344777	0.0105345	0.0233476	0.0658902	0.0569269	0.0354506	0.0671973	0.201093	0.144309	0.0145382	0.016139	0.0579136	0.276913
n	0.000406313	0.00132898	0.0044405	0.03332	0.0866289	0.22632	0.170219	0.243371	0.144528	0.0434234	0.0106103	0.0103011	0.00304677	0.0220561
ω	0.00697885	0.00136337	0.00876151	0.013735	0.0986111	0.178249	0.0986977	0.0678046	0.14145	0.166013	0.00432593	0.0108334	0.0721334	0.131044
l	0.000175367	0.000668781	0.00709867	0.0498873	0.0536997	0.227392	0.28139	0.154301	0.0741659	0.0657478	0.0106509	0.0101732	0.012121	0.0525283
ó	0.00374308	0.00346114	0.0154804	0.0475476	0.0723068	0.14991	0.174715	0.137497	0.0477135	0.0762785	0.0535291	0.0306515	0.0538756	0.13329
o	0.000549877	0.00148881	0.00859105	0.0632636	0.0580042	0.108467	0.194081	0.208534	0.0468894	0.0884446	0.101549	0.0292487	0.0319041	0.0589857
t	5.58103e-05	0.0115905	0.0294555	0.0194033	0.0461105	0.0353125	0.128653	0.0750544	0.0133481	0.119333	0.390295	0.0334324	0.0250187	0.072937
á	1.41917e-05	0.0104347	0.0291878	0.0115933	0.0479159	0.0265496	0.216893	0.0655531	0.00332054	0.0248736	0.36821	0.0242055	0.0211426	0.150107
á	7.28696e-05	0.00749871	0.0162796	0.0426583	0.0697729	0.0411428	0.160377	0.232964	0.0131062	0.0463704	0.218278	0.0278467	0.00821925	0.115413
n	0.000665249	0.00114198	0.0023275	0.00666609	0.00842627	0.0296777	0.00842421	0.083996	0.246347	0.352748	0.0645083	0.106928	0.0470369	0.041106
g	0.00294736	7.53207e-05	0.000596337	0.0010658	0.00632229	0.0212107	0.00351657	0.0275083	0.281736	0.484487	0.0136741	0.0154621	0.116191	0.0252069
á	0.00282032	7.41838e-05	0.000454574	0.00101699	0.00794937	0.0219735	0.00724184	0.0139131	0.287972	0.30697	0.00918705	0.00855521	0.315566	0.0163047
n	3.85515e-05	0.00032279	0.00168975	0.0084987	0.00988637	0.0410353	0.0109227	0.0924417	0.0295389	0.133543	0.17724	0.312778	0.0911606	0.0909033
g	0.00248949	0.00021005	0.00147714	0.00166572	0.00754214	0.0135428	0.00537089	0.0120359	0.0837082	0.254163	0.0266283	0.0382079	0.456974	0.0959849
u	0.000346274	1.73835e-05	0.000131517	0.00030916	0.00245212	0.00711866	0.00269212	0.00458455	0.0786507	0.104158	0.0131011	0.0175889	0.715462	0.053387
a	7.97885e-05	1.38313e-05	0.000229847	0.0008757	0.0133252	0.0110673	0.00816431	0.0166976	0.00523123	0.0200047	0.088196	0.0640641	0.655759	0.116291
</S>	9.51974e-06	0.000150476	0.000807731	0.00227467	0.00317274	0.009959	0.00474662	0.0110541	0.00234056	0.0182066	0.0839857	0.286399	0.181455	0.395439
