 	la	berge	est	très	élevée	à	cet	endroit	</S>
e	0.943295	0.0386115	0.00333573	0.00363172	0.00158674	0.00284329	0.00444898	0.00186266	0.000384808
b	0.469575	0.345446	0.0690501	0.0395259	0.00964465	0.0214127	0.0132926	0.0236795	0.00837324
é	0.281804	0.224375	0.0604112	0.187878	0.0843691	0.0565471	0.0262215	0.0676429	0.0107514
e	0.0688707	0.392186	0.111373	0.084216	0.0303823	0.0501696	0.0305899	0.0528558	0.179356
y	0.248586	0.127089	0.491947	0.0607001	0.0113243	0.0132057	0.0120945	0.00457486	0.0304792
é	0.0624451	0.162289	0.439789	0.191307	0.0257135	0.00965567	0.0115614	0.00286812	0.0943712
ω	0.224417	0.0943588	0.28052	0.205616	0.033237	0.017922	0.0259671	0.00426747	0.113695
p	0.00208707	0.0211188	0.247399	0.4157	0.206999	0.0392907	0.00899092	0.0118803	0.0465341
ε	0.00027561	0.0103967	0.0922137	0.321115	0.488546	0.0393971	0.00739389	0.010566	0.0300963
l	0.0144984	0.0204858	0.112823	0.34967	0.248017	0.0611228	0.0555957	0.0282682	0.10952
έ	0.0269042	0.0071939	0.08192	0.462031	0.136784	0.0511298	0.0855822	0.0529104	0.0955443
m	0.010498	0.00234292	0.0733501	0.208225	0.328459	0.128974	0.0897644	0.0426705	0.115716
á	0.0107812	0.000781446	0.00540083	0.0358073	0.0596492	0.0861976	0.133591	0.0870087	0.580783
ε	0.00586276	0.00111191	0.0129202	0.0617133	0.15184	0.319339	0.225303	0.147276	0.0746349
b	0.000204467	0.000363588	0.00192867	0.0202179	0.366802	0.300345	0.0855145	0.191378	0.0332454
a	0.00104323	0.000357635	0.00355273	0.0114317	0.215961	0.188674	0.0540549	0.502373	0.0225526
a	0.000100473	0.000209671	0.00321301	0.0159929	0.183297	0.138066	0.0494015	0.361342	0.248378
é	0.000963228	0.00064668	0.0105668	0.0110106	0.0278105	0.259814	0.328981	0.181806	0.178402
p	0.00668069	0.0070635	0.098579	0.0365896	0.0519036	0.285303	0.253151	0.102235	0.158495
é	0.000111142	0.00112508	0.0123875	0.0326091	0.222423	0.285304	0.132669	0.221923	0.0914474
n	0.000347528	0.00117923	0.00827152	0.0224708	0.17898	0.237963	0.191188	0.20524	0.154359
d	0.000867974	0.000809262	0.00763964	0.0243909	0.0712348	0.200512	0.178513	0.293373	0.22266
í	0.00100752	0.00121787	0.00633225	0.031324	0.028414	0.103074	0.171944	0.150891	0.505795
i	0.00185689	0.000492921	0.00379294	0.0108119	0.0250714	0.126576	0.268298	0.124253	0.438847
k	0.00290585	0.00185329	0.0151876	0.0279038	0.0271079	0.133262	0.237543	0.224827	0.329409
o	0.000514592	0.000401933	0.00601852	0.0203847	0.0374	0.147215	0.281899	0.321036	0.18513
ó	0.00063037	0.000226282	0.00134774	0.00670329	0.108118	0.147975	0.161785	0.361267	0.211948
</S>	0.00292115	0.000911703	0.0166726	0.0140828	0.00780443	0.101449	0.18057	0.14322	0.532368
