 	cet	enfant	est	timide	comme	cela	à	cause	de	quoi	</S>
m	0.749516	0.192633	0.00794508	0.00319702	0.0135581	0.0187545	0.00943986	0.00270635	0.00193396	0.000202298	0.000113768
w	0.145756	0.836741	0.0138482	0.00123997	0.000971362	0.000342464	0.00032659	6.8061e-05	0.000268303	3.27678e-06	0.000434497
á	0.0630761	0.935396	0.000448232	0.000361824	0.000388912	0.000132135	0.000107593	2.94985e-05	2.70548e-05	8.94652e-06	2.39121e-05
n	0.436721	0.533712	0.0138611	0.000880612	0.00418269	0.00320895	0.00285284	0.000843884	0.00102598	0.000119393	0.002592
a	0.230928	0.553895	0.0548513	0.0181548	0.0528287	0.00990483	0.0141088	0.00273374	0.00448058	0.00125788	0.056857
w	0.672964	0.124365	0.107568	0.00961376	0.0109657	0.0152215	0.0171878	0.00820428	0.020847	0.00286026	0.0102026
ó	0.0495582	0.0168156	0.123135	0.123224	0.0650183	0.0844717	0.0870728	0.0847032	0.141746	0.0703107	0.153944
a	0.0824327	0.0265406	0.559624	0.0614309	0.0509891	0.0400343	0.050252	0.00901846	0.0398454	0.00335192	0.0764808
d	0.00272501	0.00302052	0.722616	0.122516	0.00563385	0.0125361	0.00951568	0.0343353	0.0278197	0.0189373	0.0403445
í	0.0239097	0.00811093	0.487054	0.238162	0.0273389	0.0183345	0.0131691	0.0101574	0.0120244	0.00436065	0.157378
m	0.0187829	0.00703294	0.252056	0.332469	0.0895809	0.078571	0.0448292	0.0374752	0.0281123	0.0182405	0.0928504
ω	0.0125961	0.0618638	0.0667274	0.0906821	0.659026	0.0599905	0.040408	0.00306534	0.00299411	0.000170154	0.00247679
r	0.00112287	0.000678973	0.0478322	0.682392	0.0926778	0.0760674	0.038442	0.0323553	0.00873165	0.0125142	0.00718532
ω	0.0094907	0.00135817	0.0295176	0.520675	0.28374	0.0704798	0.0538729	0.00348015	0.0105411	0.00170613	0.0151385
r	0.00988167	0.000952226	0.0145858	0.160261	0.556958	0.158923	0.0753493	0.00542448	0.00906862	0.00110178	0.00749386
ω	0.0123258	0.00738409	0.0142376	0.247305	0.449419	0.131365	0.0869772	0.00699412	0.00960739	0.00409336	0.0302915
b	0.00374353	0.000912783	0.0235643	0.102178	0.549928	0.175657	0.102405	0.00756468	0.0142292	0.00170142	0.0181148
ó	0.00792149	0.000538259	0.00876096	0.0904023	0.112125	0.332321	0.152207	0.209346	0.0221133	0.0328968	0.0313681
m	0.00245264	0.000258299	0.00685249	0.0398848	0.191502	0.275018	0.174982	0.183506	0.0358108	0.0353724	0.05436
b	0.0388592	0.00105437	0.00281913	0.00775024	0.373232	0.225769	0.198036	0.0473382	0.0539826	0.00282778	0.0483316
é	0.00728122	0.000528617	0.00519177	0.0543314	0.37292	0.229157	0.178695	0.0800772	0.0338545	0.0108048	0.0271588
á	0.00166306	4.80602e-05	0.00436277	0.0174392	0.0280848	0.160012	0.206745	0.350053	0.113811	0.0496221	0.0681594
l	0.000659988	0.00020127	0.0279789	0.00953629	0.0182422	0.0600307	0.138597	0.146608	0.37917	0.10528	0.113695
a	0.000718666	0.000124358	0.00967283	0.00861605	0.0140519	0.038409	0.0851366	0.0661852	0.239274	0.111684	0.426127
n	0.00167818	0.000195729	0.00387146	0.00487484	0.0412077	0.0749294	0.170054	0.0844131	0.303459	0.201921	0.113395
d	0.0102939	0.00658521	0.00426405	0.0162565	0.0707381	0.0647007	0.210611	0.0514176	0.315502	0.100887	0.148743
e	0.00271384	0.00546255	0.00365894	0.0143361	0.0166725	0.0391417	0.146613	0.0815262	0.291695	0.215247	0.182932
</S>	0.000145218	3.60193e-05	0.000782752	0.00823074	0.0205407	0.0329642	0.0790415	0.039452	0.162995	0.0828509	0.572961
