 	son	bras	lui	fait	mal	</S>
e	0.748231	0.238776	0.00453505	0.00299966	0.00509795	0.000360098
b	0.266188	0.690174	0.0211395	0.015244	0.00548991	0.00176435
ώ	0.00835288	0.986378	0.000929036	0.00134101	0.00270592	0.000293443
ω	0.0521461	0.899958	0.00447841	0.00214337	0.0280415	0.0132327
y	0.398496	0.0230549	0.445655	0.0926356	0.00390423	0.0362543
á	0.664241	0.00513363	0.207289	0.0359284	0.00758308	0.079825
w	0.638423	0.00522398	0.123135	0.122351	0.089686	0.0211814
a	0.577583	0.00529709	0.193332	0.109447	0.0603976	0.0539433
y	0.183282	0.00497981	0.541427	0.173797	0.0147446	0.0817687
é	0.289965	0.0015946	0.133378	0.169786	0.229588	0.175688
e	0.110442	0.00109311	0.0619103	0.137063	0.5843	0.105191
l	0.00459641	0.00356309	0.0753887	0.318299	0.328215	0.269938
a	0.00146303	0.00257729	0.0885347	0.357638	0.377533	0.172254
n	0.00323576	0.000314247	0.117483	0.329385	0.325505	0.224077
d	0.00360659	0.00397114	0.145475	0.17228	0.3125	0.362167
a	0.00650864	0.00123937	0.088292	0.0671971	0.19385	0.642913
</S>	0.0214646	0.00124357	0.119059	0.170912	0.19987	0.487451
