 	les	beaux	parents	m'	avaient	humilié	en	public	</S>
a	0.632472	0.319597	0.029518	0.0130484	0.0037153	0.000948289	0.000551048	0.000132567	1.74838e-05
b	0.103513	0.797313	0.0134131	0.00523371	0.0647795	0.0126148	0.00203268	0.000746332	0.000354085
v	0.0167075	0.962558	0.0138736	0.00204417	0.00180976	0.00163176	0.000603777	0.000277482	0.000493807
ú	0.0385549	0.912821	0.037733	0.00428505	0.00111554	0.00325189	0.00111254	0.000764244	0.000361914
ε	0.12627	0.857669	0.0108513	0.000481973	0.00108197	0.000328858	0.00122206	0.000309811	0.0017852
á	0.193396	0.183676	0.385479	0.0225141	0.0469296	0.0230762	0.021748	0.00224996	0.120931
w	0.0787279	0.0814275	0.438315	0.109333	0.17345	0.0652944	0.031335	0.00171052	0.0204066
o	0.119616	0.27503	0.314354	0.0734079	0.135365	0.0259993	0.0349336	0.0061013	0.0151926
l	0.021858	0.0720239	0.57523	0.0139537	0.268015	0.00438836	0.0060248	0.00444248	0.0340637
í	0.0653507	0.0683604	0.33768	0.0910401	0.219063	0.0332143	0.0445403	0.0102485	0.130503
s	0.036331	0.0109041	0.143309	0.548843	0.13118	0.0689677	0.0200761	0.00295199	0.0374372
á	0.00897542	0.00400709	0.144101	0.334696	0.406407	0.0545263	0.0133739	0.000145686	0.0337683
n	0.00853802	0.00352581	0.112552	0.605992	0.209179	0.0286525	0.00857652	0.00111515	0.0218685
g	0.00469867	0.00108728	0.0727212	0.853691	0.0561346	0.00516237	0.00301525	0.000198539	0.00329065
á	0.00433597	0.00112325	0.169355	0.63427	0.154526	0.0159642	0.0059699	0.00129244	0.013163
ó	0.00969987	0.00870437	0.0923085	0.416686	0.370575	0.0527117	0.0262106	0.00891643	0.0141875
m	0.00341132	0.0060509	0.0071299	0.0200899	0.317247	0.603648	0.035537	0.00242719	0.00445938
í	0.00213836	0.00399688	0.00172951	0.0097049	0.0261034	0.866331	0.0720648	0.00240797	0.0155232
s	0.00376242	0.0044385	0.00641884	0.0181949	0.211202	0.621902	0.0498735	0.00354661	0.0806612
i	0.00602663	0.00517256	0.0106029	0.041543	0.0745955	0.624321	0.149681	0.00391867	0.0841387
m	0.00410478	0.00217236	0.0146169	0.0969533	0.0864773	0.485609	0.206608	0.0377728	0.0656859
á	0.00988785	0.0038015	0.00250005	0.0159923	0.036148	0.221304	0.366191	0.00842829	0.335747
b	0.0150944	0.00652136	0.0346923	0.099782	0.0736005	0.168205	0.302371	0.207515	0.0922189
a	0.00735736	0.0259695	0.0297627	0.0809088	0.00641822	0.0766491	0.0778156	0.672125	0.0229942
r	0.000494084	0.00113298	0.0054598	0.0204047	0.00108457	0.00740148	0.0245593	0.917148	0.022315
e	0.00170365	0.00276969	0.00264232	0.00601516	0.012278	0.034584	0.285536	0.279854	0.374618
</S>	0.000712489	0.000372228	0.00386735	0.0100816	0.0217972	0.0524214	0.191935	0.0748477	0.643965
