 	la	chauve-souris	est	un	mammifère	</S>
l	0.789731	0.18125	0.0127874	0.0150821	0.000833166	0.000316485
e	0.823546	0.0969631	0.0309854	0.0404836	0.00199467	0.0060275
m	0.675699	0.217438	0.0207936	0.0422087	0.00811641	0.035744
b	0.320564	0.106203	0.0483252	0.0331574	0.439166	0.0525837
a	0.291226	0.323316	0.102719	0.0472946	0.147775	0.0876694
p	0.259381	0.478161	0.0638539	0.0201524	0.0589204	0.119531
f	0.182285	0.424618	0.147975	0.00981863	0.0038151	0.231489
u	0.135624	0.735154	0.0894348	0.0249316	0.0007227	0.0141337
n	0.0764385	0.392466	0.199227	0.182278	0.0452361	0.104354
g	0.263932	0.275027	0.0740652	0.0966448	0.0333738	0.256957
ú	0.221694	0.304189	0.141609	0.106322	0.120659	0.105527
s	0.107624	0.128558	0.644274	0.0640412	0.00845991	0.0470435
u	0.280376	0.054897	0.0989959	0.229768	0.00200883	0.333954
l	0.225718	0.0549695	0.143395	0.537902	0.0214648	0.0165501
í	0.0710889	0.0183501	0.250133	0.113639	0.00478061	0.542009
i	0.177728	0.0947954	0.342988	0.287661	0.0367085	0.0601192
y	0.0136496	0.0571567	0.310409	0.155455	0.0240331	0.439296
ώ	0.00575664	0.035994	0.273519	0.425798	0.00455347	0.254379
ώ	0.0048892	0.0261323	0.307927	0.054535	0.003585	0.602931
m	0.0196134	0.0132584	0.147355	0.496293	0.0938894	0.229591
w	0.00464583	0.00105521	0.00581628	0.0201843	0.90972	0.0585784
á	3.88202e-05	2.7512e-05	0.000195724	0.000379717	0.999198	0.000160303
n	0.00368786	0.000239805	0.0014434	0.061164	0.927044	0.00642126
a	0.00906265	0.00295621	0.00255072	0.0661458	0.800651	0.118633
m	0.029334	0.0240822	0.0649762	0.639163	0.0267497	0.215695
á	0.0138172	0.00701145	0.0432847	0.209909	0.109397	0.61658
b	0.0111237	0.0324154	0.13464	0.177686	0.0545566	0.589578
έ	0.0405255	0.0847938	0.284329	0.288904	0.0956061	0.205842
ε	0.00557653	0.0119941	0.0617639	0.126873	0.112093	0.681699
</S>	0.0075087	0.00968525	0.0675076	0.0323677	0.00192339	0.881007
