 	je	me	suis	déjà	rassasié	</S>
n	0.900314	0.0696303	0.0282503	0.00130618	0.000257946	0.000240796
g	0.875611	0.123521	0.000678372	0.000154802	2.08343e-05	1.42588e-05
á	0.581369	0.389154	0.0202534	0.00618314	0.00270137	0.000339159
í	0.203518	0.360647	0.313881	0.0460395	0.0200319	0.0558829
m	0.0119547	0.0190768	0.276518	0.678821	0.00541118	0.00821841
i	0.000149961	0.00155685	0.210578	0.766526	0.0161826	0.00500732
s	0.000179254	0.000352832	0.167635	0.744407	0.0784087	0.00901808
á	0.000113709	0.000425442	0.103877	0.849382	0.0432007	0.00300109
á	0.00385309	0.025759	0.265126	0.302269	0.164046	0.238948
o	0.0104661	0.0558885	0.206751	0.155389	0.523738	0.0477679
y	7.42209e-05	0.000164752	0.00597336	0.0808382	0.892879	0.0200704
ú	0.000190447	0.000405485	0.0195145	0.14444	0.783482	0.0519678
r	0.0076137	0.00408024	0.0483576	0.0736446	0.715248	0.151056
a	0.00197579	0.00161055	0.0251209	0.00835296	0.698616	0.264324
</S>	0.00236878	0.0240604	0.0612306	0.0211064	0.104993	0.786241
