 	ne	vous	accroupissez	pas	près	de	la	porte	</S>
l	0.829982	0.148617	0.00440478	0.00860869	0.00121957	0.00350754	0.00268499	0.000867109	0.00010868
ε	0.919785	0.0463427	0.00774837	0.0108116	0.00172611	0.00194754	0.00317828	0.00801698	0.000443339
t	0.638828	0.214606	0.0401828	0.0190495	0.00442875	0.0109901	0.0129344	0.0470073	0.011973
a	0.140377	0.0683998	0.274513	0.113616	0.126275	0.0804826	0.0295521	0.0568354	0.109949
a	0.253265	0.0419262	0.175408	0.027079	0.0147499	0.0209891	0.0199213	0.0261428	0.420518
w	0.280949	0.242574	0.266647	0.0920342	0.00928633	0.0313276	0.0113823	0.00204366	0.0637558
á	0.0897337	0.116266	0.248424	0.203056	0.077798	0.109995	0.0637761	0.010509	0.0804414
á	0.0703223	0.579028	0.134631	0.0640857	0.0265232	0.0261371	0.0147198	0.00511806	0.0794342
l	0.0429492	0.0959129	0.450797	0.278434	0.0636636	0.0209769	0.015045	0.00675867	0.0254629
e	0.0339599	0.0456651	0.197118	0.207232	0.0203953	0.0804899	0.0762533	0.0277088	0.311178
d	0.0406889	0.0553223	0.342986	0.306066	0.0502808	0.0424311	0.0317799	0.0143917	0.116053
z	0.0017589	0.0036163	0.592153	0.204676	0.0621628	0.032086	0.0187258	0.0153924	0.069429
é	0.0159337	0.00897878	0.334605	0.452816	0.0706302	0.0557149	0.0213134	0.0162545	0.0237541
n	0.00750957	0.00648289	0.212487	0.18995	0.286221	0.0782392	0.0443557	0.024258	0.150497
ω	0.0399834	0.0608043	0.243248	0.360191	0.0759797	0.0898703	0.0249974	0.0148633	0.0900623
r	0.00997016	0.0268199	0.0854707	0.336322	0.142405	0.309513	0.0567494	0.00968276	0.0230675
ω	0.0145768	0.0088364	0.0746707	0.273597	0.1012	0.197792	0.0916545	0.0639674	0.173706
b	0.0102668	0.0303994	0.0237116	0.320089	0.0216826	0.401305	0.100336	0.0350731	0.0571367
ε	0.00950063	0.0067977	0.0365151	0.0455803	0.753961	0.112602	0.018196	0.00850012	0.00834758
έ	0.00106157	0.00221692	0.0204227	0.0479964	0.344945	0.3672	0.0825002	0.041147	0.0925096
b	0.00359253	0.000281636	0.0108209	0.0761622	0.13475	0.35287	0.232348	0.0969342	0.0922404
ε	0.0116878	0.0171348	0.0366183	0.106483	0.406679	0.256506	0.0807267	0.042441	0.0417242
έ	0.00153942	0.00156893	0.00871176	0.0278159	0.169826	0.303096	0.120266	0.187341	0.179836
l	0.00294321	0.000167168	0.00419534	0.0280346	0.0274562	0.229856	0.335416	0.191397	0.180535
a	0.00772337	0.00236336	0.00945103	0.0324108	0.00927826	0.197271	0.289961	0.256297	0.195245
ω	0.00608039	0.00272945	0.00267721	0.0288958	0.00291809	0.149432	0.273923	0.404104	0.12924
n	0.000495116	0.000437158	0.00532787	0.0108048	0.00470691	0.0530343	0.226031	0.614576	0.0845874
ω	0.00495974	0.00218979	0.00928274	0.0107697	0.00271131	0.0263624	0.127362	0.605659	0.210704
ω	0.000139735	0.000283438	0.0024131	0.0047474	0.00138665	0.049985	0.117594	0.647666	0.175784
m	0.00201072	0.000222174	0.00251317	0.0195361	0.00169324	0.0904152	0.234719	0.236492	0.412399
á	0.0296987	0.00685941	0.0168783	0.0299306	0.00843772	0.189529	0.397617	0.0794528	0.241596
n	0.0104645	0.00545445	0.00685057	0.0531725	0.00496033	0.0625666	0.190228	0.55919	0.107113
d	0.00679844	0.00751425	0.00603379	0.0223431	0.000708094	0.0369493	0.179875	0.519788	0.219989
é	0.0016834	0.000674009	0.000769196	0.00317161	0.000414131	0.00748034	0.0496981	0.51443	0.421679
e	4.70985e-05	2.86626e-05	0.000427444	0.00135913	0.000524638	0.020465	0.0759865	0.434139	0.467023
</S>	0.00120404	0.000150948	0.00300802	0.0113024	0.00250081	0.0717684	0.150909	0.161397	0.597759
