 	il	y	a	un	chien	méchant	dans	cette	sixième	parcelle	</S>
l	0.176436	0.400133	0.2347	0.0870284	0.0136766	0.0632226	0.0133778	0.0100585	0.000503289	0.000674701	0.000189495
ε	0.295217	0.249838	0.0658188	0.110856	0.101579	0.0386427	0.0360381	0.0742285	0.00363286	0.0228392	0.00131012
p	0.0695931	0.168865	0.0655137	0.0627113	0.0706404	0.163413	0.105144	0.10118	0.0428754	0.119425	0.0306388
á	0.00916219	0.0297683	0.0656813	0.060828	0.0341258	0.312139	0.0940046	0.0339623	0.145038	0.0407977	0.174493
n	0.0292346	0.112298	0.0658102	0.0496708	0.112591	0.27212	0.156751	0.0382337	0.0572772	0.0213119	0.0847015
g	0.182372	0.187775	0.0538751	0.0734684	0.237477	0.0940875	0.0825618	0.0378607	0.0194698	0.00596081	0.0250928
e	0.135452	0.255245	0.027469	0.0578107	0.429366	0.027567	0.0104557	0.0227176	0.00283865	0.00878667	0.0222911
l	0.0548509	0.101691	0.291299	0.1528	0.0101072	0.242558	0.0790051	0.0414577	0.00815373	0.00166006	0.0164172
ó	0.100092	0.0613774	0.124429	0.088711	0.0536059	0.197911	0.0428838	0.0477472	0.0676473	0.0244799	0.191116
t	0.118636	0.0731046	0.0897237	0.0687454	0.0417508	0.31894	0.0621084	0.0548334	0.0367222	0.0410716	0.0943638
ó	0.0282826	0.026119	0.0796774	0.148391	0.0321337	0.456993	0.106096	0.0375712	0.0425176	0.00721952	0.0349995
b	0.0120263	0.0233539	0.0943572	0.105871	0.0451969	0.484356	0.135076	0.0360609	0.0287437	0.00518797	0.0297706
h	0.030359	0.0177051	0.061671	0.179671	0.0918487	0.34406	0.145296	0.0574581	0.0127892	0.00158974	0.0575521
á	0.0323242	0.0193357	0.0697514	0.102154	0.344701	0.199906	0.138836	0.0328288	0.00817878	0.00756452	0.0444199
d	0.0156283	0.00535353	0.0372444	0.0532341	0.0515804	0.174025	0.365198	0.267453	0.0224185	0.00212316	0.00574217
í	0.011262	0.0126899	0.0127874	0.0839681	0.00980911	0.0191011	0.297422	0.336442	0.153019	0.0344021	0.0290976
i	0.0201098	0.0100131	0.0404249	0.0446494	0.00439347	0.0748506	0.306362	0.382168	0.0921702	0.0111364	0.0137226
í	0.00210071	0.00383355	0.00852985	0.0287928	0.0122112	0.0231939	0.0929493	0.200428	0.594639	0.0217078	0.0116142
d	0.0027279	0.010143	0.0122947	0.0272265	0.0126925	0.00498385	0.102264	0.123652	0.666088	0.016194	0.0217327
í	0.000200026	0.000479374	0.000844895	0.0033976	0.0011819	0.000745533	0.0909046	0.124652	0.716518	0.0322155	0.0288603
l	0.000867489	0.000585525	0.00270234	0.0105177	0.00201643	0.00900581	0.156995	0.171389	0.450234	0.109235	0.0864513
a	0.000598014	0.000684035	0.00174161	0.00418555	0.00083341	0.00615087	0.0759082	0.156464	0.543254	0.134405	0.0757757
m	0.00201136	0.00215393	0.00253105	0.00748181	0.00414807	0.0092543	0.0569412	0.116792	0.376833	0.343559	0.0782943
b	0.00285795	0.00255949	0.00224342	0.0128814	0.0107766	0.00614493	0.0638334	0.205851	0.313446	0.194772	0.184634
v	0.000168801	0.000421384	0.000873604	0.00956647	0.171866	0.00324902	0.172955	0.181906	0.131477	0.164239	0.163277
á	0.00048048	0.000824217	0.00104214	0.00633705	0.118651	0.00433468	0.0886165	0.136425	0.134531	0.0987669	0.409991
n	0.00481716	0.00524723	0.00401797	0.0148561	0.0154556	0.00814214	0.163027	0.119326	0.14342	0.12054	0.40115
d	0.00191989	0.00543929	0.0046431	0.0121477	0.0157626	0.00248275	0.0336847	0.14958	0.13352	0.52054	0.12028
é	0.000267518	0.000708279	0.000397669	0.00161486	0.00268524	0.000495262	0.00572193	0.0291759	0.039695	0.695353	0.223885
y	0.00170024	0.00396831	0.00728898	0.0107745	0.00347703	0.0101188	0.0336311	0.143375	0.0566997	0.245099	0.483868
a	0.0256124	0.0708675	0.0481194	0.0630509	0.00232178	0.0141958	0.044932	0.154192	0.0945442	0.34213	0.140034
k	0.0050665	0.0147958	0.0163885	0.0238649	0.0011212	0.00753343	0.03701	0.0959949	0.0295235	0.50369	0.265011
y	0.00253565	0.0156934	0.0220974	0.0200737	0.00323583	0.0163732	0.0609861	0.0302616	0.0728108	0.347115	0.408817
έ	0.00708209	0.0187975	0.00890104	0.017498	0.00641307	0.0224524	0.0580241	0.01842	0.0774411	0.572412	0.192559
r	0.000385934	0.00124553	0.00115428	0.00221805	0.0016455	0.00565211	0.0118359	0.010438	0.0242256	0.702018	0.239182
ε	0.00195807	0.00816358	0.00492204	0.0147973	0.0129699	0.00765464	0.0315447	0.0553137	0.0275292	0.628361	0.206786
</S>	0.00130852	0.0016969	0.00278161	0.00759996	0.00477697	0.0122394	0.0151973	0.027401	0.00740135	0.281978	0.637619
