 	on	brûle	les	herbes	</S>
b	0.98022	0.00739806	0.011867	0.000440073	7.47677e-05
á	0.667523	0.0751682	0.236782	0.0106085	0.00991814
a	0.583426	0.360974	0.0226019	0.0136784	0.0193193
t	0.170656	0.624598	0.106134	0.0139198	0.0846916
u	0.00242387	0.927425	0.00930974	0.0367049	0.0241368
m	0.0185062	0.632576	0.105539	0.127889	0.11549
b	0.150513	0.196806	0.227232	0.153507	0.271943
á	0.168658	0.0165714	0.18505	0.160322	0.469398
p	0.166344	0.0195823	0.354017	0.336066	0.12399
f	0.00604779	0.00337963	0.00785035	0.963094	0.0196279
ú	0.000678257	0.0061482	0.0199045	0.929145	0.0441243
l	0.00146181	0.00253158	0.018933	0.819439	0.157635
ú	0.00372577	0.0019531	0.0417792	0.593054	0.359488
</S>	0.00234426	0.00157892	0.195718	0.0527365	0.747622
