 	le	singe	n'	adopte	pas	le	fils	de	son	frère	</S>
k	0.573005	0.406626	0.0122631	0.00160542	0.00257742	0.00187895	0.000399687	0.00109865	0.000409129	6.70943e-05	6.94564e-05
y	0.0973445	0.896145	0.0019613	0.000392497	0.000515599	0.000888781	0.000168302	0.00101935	0.000898719	0.000484407	0.000181757
é	0.00923643	0.985693	0.000552102	0.000197733	0.00078553	0.00205067	0.000117787	0.000684676	0.000147758	0.000323272	0.000211413
m	0.0734835	0.779935	0.0430691	0.00717959	0.0115811	0.00733507	0.000742635	0.00836523	0.00449606	0.00513381	0.0586784
a	0.43188	0.465907	0.0556131	0.000786551	0.00523203	0.00528139	0.0157359	0.00456422	0.000910749	0.00553575	0.00855362
a	0.122447	0.165691	0.534641	0.022493	0.0223427	0.00437516	0.00766894	0.0107874	0.00467885	0.00548738	0.0993866
d	0.0588019	0.0910509	0.584901	0.0910967	0.0320761	0.0084163	0.00376902	0.0205031	0.00844192	0.00621684	0.0947267
í	0.0609107	0.0250531	0.366711	0.00448968	0.0500481	0.0260005	0.0101212	0.0526722	0.0117518	0.0401146	0.352127
í	0.0168225	0.0113367	0.349411	0.140832	0.130598	0.03158	0.00712969	0.0344226	0.0177293	0.0129457	0.247192
o	0.0232303	0.00384596	0.321158	0.189225	0.222101	0.105811	0.0406906	0.0255093	0.0231149	0.0117961	0.0335182
b	0.019647	0.030591	0.153282	0.338349	0.130276	0.0889057	0.0628171	0.0227617	0.00544008	0.115837	0.0320938
é	0.0067394	0.0253727	0.0144934	0.861174	0.0390616	0.0148795	0.00506894	0.00659338	0.00148553	0.0151759	0.00995541
n	0.004367	0.00353104	0.0378942	0.519252	0.156052	0.0597271	0.0204727	0.0328331	0.00601044	0.0170336	0.142826
y	0.0220038	0.0114059	0.0888264	0.315405	0.205979	0.117433	0.0407379	0.0490501	0.00886048	0.00578058	0.134517
á	0.00324228	0.00601809	0.040115	0.317383	0.28951	0.155566	0.0132499	0.0464579	0.00887716	0.0120134	0.107568
i	0.00730041	0.00110315	0.0622527	0.0333277	0.32898	0.33	0.158787	0.0405307	0.0224514	0.00466225	0.0106039
y	0.00718187	0.00349397	0.0158086	0.106718	0.277297	0.282189	0.153267	0.0693676	0.00850275	0.0412341	0.0349401
ώ	0.00207206	0.00167861	0.00713405	0.00446481	0.141192	0.488632	0.0556035	0.0698107	0.047433	0.104561	0.0774182
ω	0.000186332	0.000316798	0.00896664	0.0103482	0.263201	0.401803	0.0307799	0.112587	0.0362852	0.0375949	0.0979308
l	0.00270621	0.000201145	0.0282401	0.00365681	0.204333	0.278929	0.15554	0.189288	0.101469	0.0105709	0.0250667
á	0.0022253	0.000858817	0.00616926	0.00358397	0.10602	0.25107	0.110805	0.23238	0.0681518	0.0686182	0.150117
m	0.00495429	0.00037212	0.00795329	0.00035637	0.0285451	0.124112	0.143233	0.125517	0.491288	0.0524702	0.0211983
w	0.00139753	7.59644e-05	0.00246055	0.000119124	0.00798513	0.0355032	0.452295	0.0416171	0.0831826	0.296433	0.0789309
á	0.000497915	3.83235e-05	0.00027336	0.000122994	0.00256198	0.0191403	0.71952	0.0124924	0.00509688	0.222531	0.017725
n	0.00697868	5.35961e-05	0.0028482	0.000648956	0.0250557	0.114606	0.562532	0.0731862	0.154299	0.0234555	0.0363362
a	0.0027611	0.000286501	0.00270152	0.000357424	0.0117228	0.111572	0.456826	0.120883	0.0674443	0.111879	0.113565
y	0.00413417	0.000978004	0.0173751	0.00154989	0.0530122	0.106748	0.0549608	0.213079	0.338926	0.08611	0.123126
a	0.00560011	0.00173561	0.00760289	0.000311599	0.0251255	0.151624	0.0494675	0.148544	0.295401	0.243057	0.0715309
o	0.00168186	0.000321765	0.00494816	3.40329e-05	0.00409675	0.0253795	0.013531	0.0421215	0.604499	0.251301	0.0520857
d	0.000535304	0.00064624	0.0121416	0.00380176	0.0304234	0.0201727	0.00468494	0.0664604	0.177267	0.575795	0.108072
i	0.000469234	0.000119476	0.00247347	0.000206184	0.012394	0.0209073	0.0043583	0.0501753	0.0932161	0.652252	0.163428
m	0.0001475	1.62313e-05	0.0026277	7.10861e-05	0.0188937	0.0402077	0.00965679	0.0755703	0.152345	0.463289	0.237175
í	0.000627633	4.37306e-05	0.00382121	0.000382594	0.0331664	0.0485725	0.0158222	0.108623	0.181556	0.375457	0.231928
k	0.0017592	0.000129894	0.00835764	0.00244738	0.0284028	0.0279911	0.0291945	0.0919451	0.296258	0.13218	0.381334
a	0.00246064	0.00615696	0.00559476	0.0337473	0.0678929	0.0457332	0.00637767	0.195543	0.178159	0.158394	0.299941
á	0.000289279	0.000861378	0.00114543	0.003025	0.00612975	0.00635468	0.00249764	0.0602523	0.0653552	0.0726657	0.781424
</S>	0.00116355	0.000325683	0.0155102	0.00364218	0.0307431	0.0155845	0.038301	0.0717978	0.0725441	0.187879	0.562509
