 	ils	n'	ont	pas	voulu	s'	aventurer	en	brousse	</S>
b	0.948049	0.0392882	0.00184576	0.00490023	0.00302464	0.000989313	0.00121354	0.000300166	0.000373388	1.55348e-05
á	0.950655	0.0162082	0.00455319	0.00276812	0.00132039	0.00278948	0.0177786	0.0028167	0.000986818	0.000123151
a	0.986239	0.00610152	0.000916992	0.000498428	0.000311515	0.000689707	0.00467183	0.000305545	8.65075e-05	0.000178614
á	0.0759817	0.638266	0.158974	0.0299219	0.00446319	0.018605	0.0148577	0.0225893	0.00154061	0.0348001
d	0.00999366	0.35992	0.533312	0.0577626	0.00846598	0.0075763	0.00345874	0.00996572	0.00223744	0.00730703
z	0.00120094	0.131155	0.636725	0.0891768	0.00897249	0.0199168	0.0075012	0.0104966	0.00160173	0.0932531
e	0.0128533	0.386865	0.23583	0.177883	0.14024	0.0217643	0.0056316	0.00384962	0.00169686	0.0133856
p	0.00654064	0.088756	0.305863	0.149616	0.0180804	0.0608168	0.0699913	0.0613763	0.0270703	0.21189
ó	0.0405138	0.136539	0.0761354	0.115082	0.351058	0.0660847	0.0100718	0.0168547	0.00988032	0.17778
s	0.00370991	0.0808329	0.161249	0.258705	0.228674	0.0611376	0.0130578	0.0232244	0.00888245	0.160527
á	0.000650742	0.0962621	0.144669	0.385499	0.214979	0.0757428	0.00952106	0.0297756	0.0115461	0.0313547
ω	0.0258248	0.0647366	0.0618554	0.286459	0.222584	0.0953197	0.114301	0.0343765	0.0434239	0.051119
d	0.000318061	0.00836553	0.0867656	0.298077	0.540901	0.0390441	0.00680904	0.0051695	0.00951566	0.00503407
z	3.30181e-05	0.00322976	0.0333188	0.226291	0.649814	0.0356037	0.00189755	0.00414219	0.0029913	0.0426783
w	0.000194738	0.00438538	0.0081753	0.0689531	0.908515	0.00832875	3.82603e-05	0.000170711	2.23593e-05	0.00121651
á	7.33754e-05	0.00579548	0.0280094	0.150834	0.267364	0.212184	0.0149213	0.0653423	0.0107172	0.244759
ω	0.00049968	0.00508044	0.0179111	0.15635	0.387083	0.319222	0.0559985	0.025894	0.0109518	0.0210097
n	0.000741556	0.00784021	0.0455985	0.129399	0.404641	0.307959	0.0546845	0.0199519	0.0230632	0.0061211
d	0.00103296	0.00811045	0.0128399	0.0557607	0.225612	0.397665	0.202078	0.0164691	0.00438267	0.076049
z	0.000164119	0.00122231	0.00194238	0.0197537	0.413565	0.309292	0.141328	0.0188936	0.019908	0.0739315
á	2.19862e-05	0.000156676	0.000215861	0.0106553	0.86557	0.101159	0.0029202	0.00226442	0.00125111	0.0157851
m	4.12894e-05	0.00105244	0.00270667	0.0451707	0.404825	0.26045	0.0122861	0.019707	0.022742	0.231019
í	0.000106239	0.000176027	0.000259637	0.0118742	0.317974	0.56664	0.021363	0.035386	0.00199799	0.0442235
n	0.000119996	0.00302865	0.0065243	0.0243172	0.0528586	0.396104	0.226099	0.201238	0.0541398	0.0355713
á	0.000421389	0.000992485	0.000922411	0.00518263	0.018286	0.177704	0.686654	0.0403008	0.0178035	0.0517322
s	5.28814e-05	0.000521312	0.00083842	0.00297589	0.0187497	0.200779	0.490892	0.100547	0.0911737	0.0934705
á	8.75433e-05	0.00171952	0.00457561	0.0149564	0.0932365	0.144962	0.315226	0.187732	0.0766145	0.16089
k	0.000462357	0.0025879	0.0012012	0.00527682	0.031679	0.0709345	0.292841	0.0930892	0.46992	0.0320078
ώ	0.000482077	0.000700255	0.000517726	0.00174614	0.0081165	0.0271383	0.112069	0.0673194	0.746768	0.0351431
k	0.00133282	0.00031164	0.000318073	0.00185309	0.00341265	0.0249461	0.149979	0.0320943	0.753316	0.0324366
a	0.00542376	0.00489955	0.00704534	0.00784477	0.00327525	0.0592652	0.312013	0.170863	0.286442	0.142927
á	5.95869e-05	0.00132612	0.00119635	0.00540389	0.0194445	0.0995439	0.0548341	0.16831	0.376163	0.273718
</S>	3.40625e-05	0.00143207	0.00553055	0.00410307	0.00177055	0.0247968	0.191447	0.251222	0.135382	0.384282
