 	la	manière	dont	je	me	suis	fait	baisée	hier	était	fantastique	</S>
e	0.514175	0.0735193	0.150177	0.0828962	0.0311474	0.049405	0.0201954	0.00764844	0.0166287	0.0133522	0.0112253	0.0296307
k	0.00148512	0.00036428	0.00964544	0.02773	0.0181127	0.242207	0.528315	0.00862063	0.0911276	0.0205554	0.0479518	0.00388497
w	0.00667167	0.000522179	0.001846	0.00335875	0.00536238	0.113728	0.55741	0.0537925	0.136413	0.00553908	0.110654	0.00470252
é	7.51289e-05	0.000777033	0.0024592	0.023835	0.0594084	0.273769	0.386601	0.154149	0.0321746	0.0159685	0.0417399	0.00904382
é	0.00121235	0.000819189	0.00302632	0.0196183	0.0342021	0.285193	0.503923	0.0313229	0.0396645	0.0108927	0.0372569	0.0328681
m	0.000918267	0.000445753	0.0081619	0.0098282	0.103353	0.242644	0.239928	0.145084	0.0787956	0.0538766	0.0240767	0.0928885
í	0.00163577	0.00221775	0.0171501	0.0134692	0.111483	0.169327	0.174642	0.101058	0.0471712	0.0829962	0.0150461	0.263803
l	0.0614816	0.0193758	0.108295	0.0268171	0.063555	0.243743	0.21299	0.0870283	0.052533	0.0418704	0.0181867	0.0641244
í	0.0344864	0.0308874	0.360682	0.0448583	0.0218425	0.0287049	0.0172965	0.0410666	0.0403672	0.0336276	0.00970987	0.336471
y	0.0130806	0.0166055	0.428828	0.0880978	0.0910907	0.128122	0.0834001	0.0527891	0.025666	0.0307248	0.00659807	0.0349975
é	0.0275157	0.0226191	0.643711	0.0863244	0.0566324	0.0354724	0.0194235	0.0228996	0.0226976	0.0211192	0.00476046	0.0368245
é	0.0349793	0.0141652	0.367366	0.0713033	0.0887755	0.0887005	0.0675525	0.120946	0.0354053	0.0167216	0.00516174	0.0889234
k	0.00712943	0.000226107	0.00394155	0.0403534	0.14485	0.310726	0.205945	0.0661488	0.135829	0.0417756	0.00998057	0.0330947
w	0.000132974	2.78983e-05	0.000760422	0.00249647	0.0344213	0.208643	0.447287	0.0994408	0.149775	0.0192694	0.00850263	0.0292435
é	0.000256959	0.000156297	0.00490923	0.0241194	0.0528895	0.148302	0.315129	0.231411	0.085034	0.0227641	0.0326125	0.0824157
é	0.000717686	0.000559547	0.00772634	0.0400981	0.0605167	0.0858215	0.190092	0.428036	0.05951	0.0111827	0.0198673	0.0958727
m	0.000321965	0.000887458	0.0160107	0.138292	0.228802	0.132077	0.0906287	0.244309	0.0873953	0.0200114	0.0058818	0.0353823
í	0.00622991	0.0022026	0.0144451	0.0512922	0.210516	0.110628	0.104673	0.184273	0.0967987	0.0925979	0.0209696	0.105373
n	0.00885749	0.000876088	0.00708216	0.146932	0.193795	0.0981767	0.0833418	0.0980953	0.228545	0.0788907	0.0207388	0.0346695
g	0.00369272	0.00677957	0.0771983	0.329676	0.496713	0.0412121	0.00998569	0.00794204	0.00687903	0.00416516	0.00070073	0.0150561
á	0.00385436	0.00333386	0.0465123	0.443609	0.410689	0.0349018	0.0127951	0.0068822	0.0191459	0.0094822	0.00245795	0.00633656
l	0.000436049	7.67255e-05	0.00187098	0.00806308	0.116612	0.161965	0.125543	0.190141	0.202533	0.141761	0.034022	0.0169742
a	0.0101059	0.00226745	0.0159257	0.035907	0.170025	0.13206	0.0401935	0.0596084	0.29227	0.0956478	0.0144455	0.131543
p	0.00161448	0.000712397	0.00503047	0.00660646	0.030863	0.0559066	0.0418296	0.0730883	0.503145	0.198976	0.049581	0.0326466
ó	0.000148041	8.07109e-05	0.000443765	0.00135153	0.0105933	0.0632727	0.0825693	0.17894	0.317028	0.0923345	0.224775	0.0284632
a	4.65074e-05	1.13701e-05	0.000383672	0.00138037	0.0110398	0.0361733	0.0439171	0.120838	0.511582	0.165763	0.0809356	0.0279285
é	0.000894141	0.000222747	0.00580498	0.00552661	0.0294876	0.0647407	0.0174154	0.0126752	0.117348	0.547515	0.065126	0.133244
d	0.00373211	0.000586929	0.00865935	0.00581018	0.024585	0.0761731	0.022796	0.00667744	0.099475	0.438634	0.213949	0.0989217
z	0.00203856	0.00100482	0.0058983	0.00207797	0.00664389	0.0125944	0.00230289	0.000869031	0.052328	0.193296	0.179114	0.541832
e	0.00463931	0.0038913	0.0122953	0.0163826	0.0602572	0.0761704	0.0238755	0.0164799	0.0568014	0.185961	0.438572	0.104674
e	0.00817513	0.00854652	0.0245915	0.0204015	0.0356429	0.0331822	0.01107	0.0113055	0.0580552	0.162246	0.222235	0.404549
s	0.000929492	0.000121372	0.00156388	0.00330541	0.00934601	0.0144864	0.00786058	0.00609134	0.050947	0.203918	0.367219	0.334212
ε	0.000946275	0.000466915	0.00638199	0.00404685	0.0264059	0.044803	0.0139128	0.00232015	0.046175	0.23664	0.473775	0.144126
w	0.000832545	0.00010267	0.000471123	0.000556288	0.00505445	0.0151107	0.00832292	0.00683264	0.0899679	0.224632	0.122404	0.525713
a	0.00171284	0.00016075	0.000582528	0.00063774	0.00526332	0.0248649	0.0354846	0.13504	0.182464	0.185727	0.251491	0.176572
m	0.00145739	0.000277753	0.00765179	0.0028476	0.010136	0.00986184	0.00365641	0.00337123	0.0244944	0.125768	0.0955579	0.71492
έ	0.00876586	0.00177096	0.0035907	0.00273	0.0137529	0.0441367	0.0475513	0.0326253	0.047424	0.248098	0.232044	0.317511
n	0.00111129	0.000637715	0.00288327	0.00217418	0.00516573	0.00856949	0.00861704	0.00673798	0.027015	0.118157	0.15023	0.668701
d	0.0137393	0.00282345	0.0374232	0.0661543	0.0829234	0.0318751	0.0198942	0.00838484	0.0102078	0.0523082	0.0602644	0.614002
e	0.00515193	0.00250971	0.0547201	0.0485822	0.0331798	0.0125192	0.00816963	0.00559425	0.00731687	0.038214	0.0424526	0.74159
</S>	0.000207556	8.70047e-05	0.00226733	0.0021297	0.00814111	0.00814049	0.00396124	0.00183341	0.0186195	0.0720919	0.0233473	0.859173
