 	la	femme	est	rentrée	du	village	de	son	mari	</S>
m	0.861934	0.133031	0.00108134	8.36883e-05	0.00124837	0.000298883	0.00178596	0.000407852	5.72952e-05	7.14199e-05
w	0.00102964	0.998392	0.000422076	7.23645e-05	1.193e-05	2.67695e-06	2.28387e-05	1.33019e-05	8.03015e-07	3.27005e-05
á	0.541521	0.450875	0.00120642	0.00120453	0.00216778	0.000321791	0.00158105	0.000851795	2.79765e-05	0.000242625
s	0.70044	0.269543	0.0173945	0.00154489	0.000994559	1.27454e-05	0.00219298	0.00199325	2.58853e-05	0.00585761
í	0.536429	0.153885	0.0434768	0.0430857	0.036026	0.00565862	0.0362117	0.0487039	0.0188575	0.0776657
á	0.344123	0.130635	0.320179	0.0256674	0.0252466	0.0015472	0.0255926	0.0367419	0.00148789	0.0887794
m	0.0182981	0.00484851	0.487497	0.39215	0.0312133	0.0208121	0.00831686	0.00974061	0.0101854	0.0169389
i	0.00549211	0.00055753	0.356665	0.597456	0.0178268	0.00273716	0.00645968	0.00128728	0.00165337	0.0098653
w	0.00608185	0.000293875	0.110331	0.808679	0.0225904	0.022357	0.00228145	0.000834447	0.0132157	0.0133354
ú	0.00871908	0.000656866	0.0481156	0.689743	0.137876	0.0185648	0.032572	0.0113269	0.0184055	0.0340198
r	0.00443303	4.7082e-05	0.138684	0.262941	0.340411	0.162104	0.0219778	0.0122286	0.00219263	0.0549805
á	0.112722	0.000167621	0.133623	0.154728	0.451139	0.0131974	0.0526296	0.0296501	0.000204071	0.0519398
p	0.00867661	0.0010792	0.0450966	0.0362049	0.50181	0.220075	0.119112	0.0570192	0.005584	0.00534316
o	0.00074244	2.61175e-06	0.000248741	0.000468393	0.0132822	0.975464	0.00611935	0.00111055	0.000727149	0.001835
o	0.000597287	7.05282e-06	0.000193545	0.000200848	0.00728892	0.988228	0.00163115	0.000179402	0.00148172	0.000192513
y	0.00126602	1.72789e-05	0.0179813	0.00527751	0.255515	0.0260047	0.45526	0.179545	0.0410817	0.0180513
ó	0.031401	5.28547e-05	0.0268641	0.00611427	0.0851057	0.148315	0.325438	0.239082	0.11258	0.0250477
l	0.00465971	2.58644e-05	0.00641438	0.00484127	0.0437867	0.022311	0.157312	0.232914	0.374706	0.15303
ó	0.000653116	7.43424e-06	0.00118481	0.00287118	0.0109293	0.00665055	0.0409755	0.0482456	0.786751	0.101732
m	8.62222e-05	4.5596e-06	0.000615748	0.000619226	0.00975741	0.03142	0.0325245	0.0541932	0.831807	0.0389717
i	0.000708071	9.42212e-05	0.00551396	0.0140977	0.041148	0.00276153	0.0942944	0.284934	0.117183	0.439265
</S>	0.000299249	2.77674e-05	0.00341636	0.00251234	0.0131841	0.000371665	0.0786999	0.196443	0.0424524	0.662593
