 	mon	vélo	avait	disparu	pendant	la	guerre	</S>
b	0.168251	0.787573	0.0308886	0.000543188	0.00394704	0.00328329	0.00539262	0.000121485
i	0.0297798	0.919843	0.0166672	0.000679412	0.000594713	0.00404827	0.0276331	0.000754487
k	0.0269085	0.902367	0.036102	0.00330445	0.00187934	0.00184132	0.0230067	0.00459111
á	0.0482138	0.837483	0.0348639	0.00956493	0.0146364	0.00481827	0.0303254	0.0200947
á	0.0620891	0.498543	0.305976	0.0135512	0.017334	0.00758502	0.0134714	0.081451
n	0.43804	0.157316	0.301155	0.0439413	0.013688	0.00890438	0.00110476	0.035851
i	0.701775	0.104584	0.0949012	0.0217604	0.0113288	0.00541068	0.000357898	0.0598819
l	0.0835853	0.15025	0.592355	0.12039	0.019734	0.0039697	0.000440423	0.029275
á	0.153877	0.0536137	0.291157	0.214091	0.0403404	0.0118153	0.000724962	0.23438
n	0.664751	0.0875477	0.13004	0.0486774	0.0207613	0.0111106	0.00215228	0.0349601
g	0.862004	0.0378844	0.0405914	0.0310538	0.0130787	0.00624547	0.000290607	0.00885162
á	0.438982	0.0835186	0.0759605	0.34569	0.0379584	0.0048229	0.000580862	0.0124866
á	0.0435383	0.0302537	0.255049	0.256788	0.22753	0.122537	0.00464738	0.0596563
d	0.011305	0.00973548	0.0990084	0.440136	0.386222	0.0253506	0.00491239	0.0233304
z	0.011456	0.00244213	0.0583459	0.375966	0.293963	0.044528	0.0127813	0.200517
o	0.0261265	0.00134725	0.0483639	0.353938	0.394362	0.082852	0.00612424	0.0868857
o	0.0165083	0.00362924	0.0182046	0.328213	0.439704	0.105367	0.0514449	0.0369294
n	0.00420289	0.0017278	0.00746791	0.0887603	0.524841	0.236186	0.0487467	0.0880667
á	0.0124569	0.00220444	0.00414529	0.114756	0.444005	0.206401	0.0231183	0.192912
s	0.0108134	0.00337614	0.00332244	0.00540995	0.135781	0.484568	0.19927	0.157459
á	0.0180716	0.00204814	0.00555551	0.011642	0.227494	0.525311	0.135125	0.0747526
b	0.0231314	0.00711968	0.00422261	0.00523726	0.055123	0.354284	0.497966	0.0529152
i	0.00642517	0.0222707	0.00362192	0.00109074	0.0307842	0.0675535	0.848675	0.0195791
r	0.000461871	0.00189293	0.000256966	0.000781582	0.00918912	0.0264167	0.916687	0.044314
á	0.00231357	0.00337226	0.00130452	0.0326863	0.17745	0.1824	0.175826	0.424647
</S>	0.00722215	0.00144883	0.00544907	0.0100983	0.0340663	0.196816	0.0836145	0.661284
