 	lorsque	le	chef	est	arrivé	les	femmes	lançaient	des	cris	de	joie	</S>
o	0.496512	0.358527	0.0924418	0.0168427	0.00649881	0.0201587	0.00360127	0.00313478	0.00139725	0.000366428	0.000480814	2.39059e-05	1.38478e-05
n	0.0348201	0.12476	0.806537	0.00481251	0.00517267	0.00326739	0.00410404	0.00509723	0.00181705	0.00441126	0.00207802	0.0014778	0.00164504
d	0.0375877	0.269873	0.281142	0.0450976	0.0714633	0.0271291	0.0148795	0.076689	0.0256697	0.101132	0.0186094	0.0206528	0.0100741
i	0.0992079	0.398591	0.466318	0.00523489	0.00675394	0.0048479	0.0026934	0.00280561	0.00112356	0.00428551	0.00125951	0.00130224	0.00557595
e	0.270542	0.478407	0.138146	0.0315223	0.0206304	0.0243824	0.00685651	0.00617482	0.0028844	0.00962419	0.00247333	0.00106013	0.00729711
m	0.266061	0.337194	0.0337161	0.190463	0.0437649	0.0245762	0.0102326	0.0251297	0.0189229	0.0139124	0.017692	0.00278577	0.0155487
ó	0.24586	0.116974	0.248272	0.122339	0.0188477	0.0455953	0.0310324	0.034309	0.0808882	0.016463	0.0254873	0.00161681	0.0123144
ó	0.351781	0.222283	0.105253	0.120458	0.0365124	0.029389	0.0119978	0.0292964	0.0336987	0.0192078	0.0168458	0.00331628	0.0199609
y	0.109179	0.106678	0.124639	0.415999	0.120459	0.014043	0.0237997	0.0249087	0.0140471	0.0283869	0.00561689	0.00345251	0.00878998
ε	0.122824	0.061475	0.0279257	0.473955	0.146377	0.0338321	0.0271527	0.0162379	0.00592476	0.0261895	0.00655517	0.0130807	0.0384702
í	0.0147516	0.0184134	0.0362576	0.270743	0.097291	0.0590562	0.0388392	0.0491178	0.0416631	0.090696	0.0554886	0.0195828	0.2081
o	0.0367167	0.0215451	0.00497684	0.547606	0.187896	0.0957406	0.0191251	0.0235769	0.0245793	0.00778431	0.0144632	0.00295118	0.0130384
k	0.00609179	0.00938605	0.0935048	0.311167	0.375482	0.0903334	0.0534802	0.0202251	0.00937427	0.0217754	0.00228593	0.0028698	0.00402407
o	0.0011337	0.00577415	0.108595	0.330275	0.343695	0.0431907	0.0211085	0.0384241	0.0119899	0.0483851	0.00582117	0.016524	0.0250842
n	0.000771444	0.00349303	0.0788551	0.499905	0.247741	0.0610979	0.0073909	0.0215559	0.00900829	0.0316077	0.0112058	0.00826303	0.0191048
d	0.0111305	0.00503826	0.0472605	0.198202	0.296892	0.23335	0.0305145	0.0458587	0.019143	0.0111743	0.00976226	0.00232016	0.0893534
z	0.0144094	0.0086218	0.0470415	0.153065	0.141986	0.127367	0.0400932	0.0394237	0.0182995	0.0185898	0.0140393	0.00799279	0.369071
i	0.0116561	0.00599612	0.128841	0.108001	0.141596	0.308498	0.0210961	0.0557836	0.0167519	0.0135777	0.0135398	0.0081599	0.166502
a	0.00831348	0.0049059	0.0019765	0.170901	0.318946	0.317892	0.104468	0.031638	0.0157666	0.00573955	0.00524335	0.000949415	0.0132606
y	0.00741	0.00387716	0.00174712	0.0551031	0.238334	0.166884	0.315044	0.123405	0.0424245	0.0228869	0.00889196	0.00472634	0.00926505
ú	0.00835142	0.00580868	0.000359407	0.0413293	0.177656	0.147734	0.427012	0.0991483	0.0106556	0.0269498	0.00506273	0.0155845	0.0343482
r	0.00441503	0.00215313	0.000219689	0.0333108	0.0956215	0.34025	0.328328	0.0740852	0.0132921	0.0355505	0.015527	0.0123077	0.0449398
u	0.000738328	0.00050238	0.00111324	0.0311043	0.0891786	0.486904	0.193654	0.074898	0.0375118	0.0268067	0.0355108	0.00863231	0.0134454
á	0.000857917	0.000765774	0.000233059	0.0462592	0.164208	0.230371	0.237999	0.159019	0.0804392	0.0244506	0.0218995	0.00538555	0.0281125
d	0.00782251	0.00503746	0.00222823	0.027751	0.0577995	0.0317434	0.209847	0.458881	0.0827236	0.0756925	0.0104923	0.018808	0.0111733
z	0.00157723	0.00114752	0.000394876	0.00292112	0.0089915	0.0192773	0.356457	0.323886	0.052525	0.0658356	0.0102563	0.0261691	0.130561
e	0.00274386	0.00199681	0.00203104	0.00410547	0.0124676	0.110546	0.709576	0.054032	0.0403815	0.0261582	0.00646421	0.00163818	0.0278591
b	0.0017267	0.000840375	9.81155e-05	0.010169	0.0254759	0.0368648	0.0723939	0.516052	0.10983	0.0856659	0.039682	0.0435719	0.0576295
á	0.0023566	0.0018911	0.000273398	0.00585652	0.0381513	0.18808	0.0805861	0.517077	0.0782921	0.0540357	0.0155504	0.00887663	0.00897376
a	0.00145935	0.00284237	0.000137132	0.00356487	0.010497	0.0786603	0.0316978	0.225414	0.448669	0.0850868	0.0797931	0.00989194	0.0222867
