 	il	a	porté	les	balles	de	coton	au	marché	</S>
w	0.931312	0.0488305	0.00957989	0.00366877	0.00266594	0.00202653	0.000392006	0.00137279	6.56323e-05	8.60319e-05
a	0.896971	0.0385934	0.00622889	0.0232159	0.0172625	0.0133958	0.000119156	0.00408333	9.60388e-05	3.42376e-05
á	0.088672	0.761154	0.11325	0.024167	0.00466525	0.00452033	0.000347548	0.00219516	0.000314411	0.000714181
b	0.00559036	0.150349	0.795119	0.0136167	0.0144559	0.00331292	0.00343995	0.00516335	0.0019448	0.00700752
é	0.0110224	0.0694241	0.733416	0.0663134	0.0563853	0.0189209	0.00228004	0.00855897	0.000345842	0.0333326
r	0.00168043	0.0220921	0.868362	0.0373784	0.0352694	0.00594449	0.00356341	0.00180079	0.0129383	0.0109707
i	0.00917506	0.0744907	0.519257	0.231097	0.0350365	0.0661317	0.021549	0.0168673	0.00934918	0.0170467
a	0.0914117	0.147789	0.100991	0.316896	0.171255	0.0926145	0.0175172	0.0217482	0.00482086	0.0349571
b	0.00409577	0.00991017	0.0784861	0.208529	0.556932	0.0974458	0.0276955	0.00532894	0.0046587	0.00691765
v	0.0012136	0.00344333	0.0393047	0.159178	0.677946	0.0753957	0.035881	0.00224517	0.000753171	0.00463892
é	0.000573922	0.00433596	0.0597762	0.271993	0.529052	0.109105	0.0175146	0.00371764	0.000203016	0.00372887
é	0.00109209	0.00876752	0.0116205	0.143371	0.385056	0.24738	0.0752728	0.0219836	0.00716774	0.0982888
m	0.000527969	0.0058078	0.026465	0.183658	0.267069	0.274529	0.170407	0.0420441	0.00738536	0.022106
á	0.00428991	0.0111757	0.00360041	0.192315	0.221395	0.161142	0.0146901	0.158399	0.0677142	0.165279
a	0.00369443	0.00635123	0.0162194	0.115893	0.179508	0.148236	0.386264	0.0385269	0.053442	0.0518649
k	0.000246627	0.00191205	0.0164015	0.04606	0.0839813	0.0701759	0.55897	0.0423268	0.161903	0.0180225
ω	3.71613e-05	0.000237893	0.00253762	0.00751101	0.0085172	0.0229727	0.880211	0.0208011	0.0308812	0.0262928
t	1.82982e-05	0.000255123	0.00211419	0.0244587	0.0132882	0.0296019	0.890712	0.0141382	0.00692641	0.018487
ώ	0.0069602	0.00617293	0.00339149	0.0411213	0.0252447	0.123647	0.611535	0.0680365	0.00831252	0.105578
m	0.0007112	0.00270426	0.00357479	0.0334271	0.0192749	0.142419	0.176698	0.515223	0.02764	0.0783276
ó	0.0109649	0.00127402	0.000370917	0.0215268	0.00979042	0.0764064	0.0116214	0.228332	0.0128277	0.626885
d	0.0093786	0.00577705	0.00714027	0.0233375	0.0176469	0.0468412	0.0799894	0.219122	0.545738	0.0450293
z	5.03264e-05	7.78043e-05	5.29288e-05	0.000309756	0.00149614	0.000473218	9.55927e-05	0.00485718	0.981364	0.0112229
á	0.000546597	0.000365969	8.06247e-05	0.00214417	0.00186698	0.00237071	0.000220984	0.0100988	0.975508	0.00679721
n	0.000427557	0.000201989	0.000116679	0.00174625	0.00156996	0.00441859	0.00430077	0.0595775	0.805649	0.121992
d	0.00185438	0.002705	0.00299437	0.0060254	0.0448712	0.0195804	0.00678616	0.0651772	0.622928	0.227078
e	0.000136212	0.000345747	0.000480367	0.00138041	0.0134461	0.00654657	0.00342899	0.0238818	0.570546	0.379808
</S>	0.000157478	0.000704586	0.00142874	0.0045041	0.0100479	0.0352508	0.0225798	0.154649	0.130217	0.640461
