 	je	n'	ai	pas	encore	trouvé	de	piliers	pour	cette	maison	que	je	construis	</S>
n	0.896733	0.0723119	0.00833182	0.00775194	0.00117823	0.00103932	0.00431482	0.00164475	0.00317913	0.00195124	0.00133215	0.000171643	4.43547e-05	1.12224e-05	4.3873e-06
g	0.925374	0.036457	0.0169252	0.00561344	0.00202733	5.70411e-05	0.00230715	5.01047e-05	0.000205207	0.000955343	0.00972084	6.51353e-05	0.000229718	1.15209e-05	9.825e-07
á	0.850485	0.0570274	0.0145153	0.00688756	0.00789832	0.00118884	0.00680755	0.00021339	0.000640425	0.00124134	0.0515391	0.000136897	0.00131847	8.97268e-05	1.06998e-05
i	0.0393761	0.279464	0.269395	0.16122	0.0905227	0.0181503	0.0425701	0.00814994	0.0122396	0.0111889	0.00483712	0.00748897	0.00559936	0.0014594	0.0483384
s	0.00938873	0.0938218	0.0946039	0.125027	0.308492	0.175724	0.0382438	0.065484	0.0256201	0.00267883	0.00300647	0.00377805	0.0077687	0.00115012	0.0452119
á	0.0180389	0.258264	0.16859	0.0875766	0.366336	0.0223175	0.00227723	0.00239544	0.00261343	0.00196135	0.00552943	0.0030722	0.0177445	0.00520505	0.038078
a	0.00456929	0.0931486	0.0595279	0.280764	0.468895	0.0564453	0.00806722	0.00334714	0.00282878	0.00355706	0.00148467	0.00203971	0.00475614	0.00179073	0.00877784
o	0.00726369	0.11351	0.146623	0.261605	0.248948	0.0773131	0.0607148	0.0359694	0.00974396	0.00548804	0.00949945	0.00701526	0.00851412	0.00112803	0.00666533
d	2.29453e-05	0.00194472	0.00119429	0.00885892	0.106231	0.654164	0.0289601	0.186325	0.00795252	0.000556055	0.000849408	0.000378844	0.000644435	0.000284467	0.00163322
i	4.50619e-05	0.00191457	0.00144785	0.0153853	0.146031	0.744674	0.0130963	0.0601709	0.00933075	0.000767555	0.000119152	0.000371632	0.00019231	0.000103081	0.0063512
á	0.000919454	0.0101746	0.0254331	0.101957	0.290746	0.217981	0.151348	0.145077	0.0191328	0.0117438	0.00110033	0.00241919	0.00101202	0.000416534	0.0205381
a	0.00297416	0.0193744	0.0650521	0.143874	0.187079	0.0650934	0.162054	0.11279	0.0817498	0.0673968	0.0486883	0.0171024	0.0105931	0.00529392	0.0108849
k	0.00108175	0.00493138	0.00889596	0.0244051	0.151825	0.137704	0.113809	0.309613	0.16088	0.0198822	0.0270299	0.0105128	0.0136652	0.00358912	0.0121761
ú	2.06428e-05	0.000481051	0.000852875	0.00550233	0.0094808	0.112128	0.0309166	0.606486	0.206685	0.0118289	0.00369501	0.00310121	0.00174465	0.00111563	0.00596088
r	8.64751e-06	5.45202e-05	0.000233495	0.00225478	0.00233753	0.0767784	0.0274029	0.862414	0.0219392	0.00327538	0.000214797	0.000212126	7.89725e-05	0.000175013	0.00261984
ú	0.00119385	0.00124798	0.0130336	0.0246785	0.0077458	0.0531685	0.132065	0.493756	0.108782	0.126306	0.00486757	0.00830131	0.00257121	0.000773489	0.0215101
m	9.83341e-05	0.0017842	0.0124585	0.0615602	0.0150151	0.0202338	0.173145	0.0857709	0.27	0.285588	0.0314611	0.0267937	0.00259017	0.000798755	0.0127024
á	0.000587513	0.00363129	0.00253104	0.00292023	0.00116383	0.00361822	0.0205828	0.00266122	0.245573	0.160577	0.25178	0.247228	0.0199273	0.000238508	0.0369796
n	0.000293078	0.00999569	0.00538759	0.00948424	0.00981747	0.00596196	0.0219427	0.00521147	0.180714	0.153166	0.471016	0.0783595	0.0356259	0.00454417	0.00848043
d	0.00142956	0.000421247	0.000718574	0.00035144	0.00113626	0.000325261	0.00160098	0.000185513	0.0158526	0.106246	0.787813	0.032978	0.0434061	0.00403574	0.00349984
é	0.000248561	0.000206999	0.000118077	0.000119302	0.000220538	0.000502863	0.00280301	0.00137251	0.012609	0.0460024	0.864005	0.00709708	0.0365337	0.018535	0.00962606
e	3.0325e-05	0.000238827	0.000417235	0.000335686	0.00174208	0.0026454	0.00246394	0.00361423	0.025192	0.111055	0.553763	0.0340523	0.169643	0.0679319	0.0268753
y	6.09625e-05	0.000820686	0.00260557	0.00487297	0.00323316	0.00268489	0.0159202	0.00398143	0.105726	0.270827	0.161994	0.342487	0.056022	0.0166376	0.0121278
é	0.000243153	0.00332689	0.00404307	0.00620367	0.00493816	0.00360001	0.00913364	0.00156963	0.0605693	0.29938	0.209394	0.289222	0.0549473	0.0229952	0.0304338
é	0.000142785	0.00342413	0.00519861	0.00634882	0.0114051	0.00328713	0.00315854	0.00108311	0.0326743	0.158095	0.081899	0.444769	0.138501	0.0788929	0.0311211
t	0.000134067	0.00421305	0.00617219	0.0156653	0.0479392	0.0184673	0.00739726	0.00340515	0.050962	0.0513048	0.0223137	0.241241	0.325135	0.0983467	0.107303
ó	5.95656e-06	0.00237195	0.00264543	0.0123659	0.060992	0.0371666	0.0100145	0.0233708	0.119727	0.0300061	0.0156417	0.0770275	0.176435	0.161433	0.270797
n	4.07277e-06	0.000167797	0.000210111	0.00188734	0.0196309	0.0514392	0.0109135	0.0615527	0.192514	0.0679925	0.0112091	0.0617422	0.0656427	0.190025	0.265068
g	1.43963e-05	0.000306234	0.00172371	0.00523388	0.0155533	0.0315003	0.0378138	0.0502812	0.166172	0.0992008	0.0278371	0.0903427	0.107774	0.0726914	0.293556
á	4.31669e-05	0.000193251	0.00152282	0.00221954	0.00233113	0.00223808	0.0202861	0.035341	0.0916656	0.167799	0.0720979	0.230534	0.252033	0.0551507	0.0665449
n	5.57443e-05	0.00180349	0.00250901	0.00285616	0.000541891	0.000505344	0.00279435	0.00149381	0.0248838	0.0535895	0.072009	0.339072	0.245562	0.0875615	0.164762
g	0.00201276	0.000531158	0.000832758	0.000164107	6.01464e-05	1.96786e-05	0.000322288	0.000109332	0.00203513	0.0225655	0.0947281	0.0402911	0.600428	0.204154	0.0317461
á	0.00143356	0.000444385	0.00119961	0.000300438	0.000337311	7.07627e-05	0.00096684	0.000221491	0.00246597	0.0219176	0.390768	0.0460723	0.429729	0.0814438	0.0226293
y	3.07558e-05	0.000484271	0.000779418	0.000791632	0.000190862	0.000259913	0.00150934	0.000541841	0.0267811	0.103701	0.0740633	0.359737	0.190851	0.104528	0.135751
é	0.000196482	0.00162163	0.00224794	0.00322294	0.00173752	0.00188809	0.00265181	0.001037	0.0171794	0.0765911	0.0291285	0.160143	0.239094	0.358429	0.104831
k	1.90676e-05	0.000556544	0.000778725	0.000736994	0.000679786	0.000510559	0.000588058	0.000380761	0.00662445	0.0251879	0.00481823	0.0760092	0.129146	0.462797	0.291166
a	2.03473e-05	0.000262146	0.0011428	0.0017419	0.000485225	0.000451862	0.000817904	0.00335806	0.0271554	0.0152389	0.000941222	0.0244643	0.0859543	0.572073	0.265893
á	5.96475e-05	0.000818425	0.00281816	0.00391074	0.00404672	0.000631685	0.00161857	0.00355165	0.0277258	0.0331027	0.00317452	0.0492461	0.0923479	0.245247	0.531701
</S>	0.0008331	0.00367975	0.00504554	0.00302893	0.00256366	0.0012329	0.00137524	0.000479935	0.00558334	0.0103826	0.014144	0.107947	0.195306	0.212563	0.435835
