 	ils	m'	ont	dupé	</S>
b	0.983868	0.0133298	0.00198383	0.000658237	0.000160668
á	0.901374	0.0569408	0.0326951	0.00807196	0.000918321
a	0.913252	0.0575516	0.0223002	0.00375221	0.00314433
á	0.122343	0.449098	0.380112	0.0128266	0.0356206
k	0.00359753	0.0591835	0.613517	0.300032	0.0236692
u	0.0065919	0.0318705	0.121095	0.732545	0.107898
r	0.000705349	0.00195268	0.0187445	0.953886	0.0247111
u	0.00828108	0.0531119	0.433337	0.304953	0.200317
u	0.0201261	0.246321	0.121075	0.202854	0.409623
n	0.00946982	0.0497501	0.082096	0.235619	0.623066
g	0.00304781	0.189074	0.0442046	0.0761885	0.687485
á	0.0111401	0.347068	0.0582398	0.0686633	0.514889
</S>	0.00535463	0.0250308	0.0333417	0.0528822	0.883391
