 	mon	épouse	se	répand	toujours	en	lamentations	</S>
m	0.842109	0.144357	0.0111708	0.000397541	0.0010261	0.000699734	0.000192538	4.73463e-05
w	0.0121707	0.985503	0.00175453	0.000312172	6.51939e-05	4.75954e-05	3.31429e-05	0.000113399
á	0.00916482	0.989667	0.000531967	0.000340176	0.000113866	7.87584e-05	8.60408e-05	1.74596e-05
s	0.682314	0.309775	0.00248812	0.000164399	0.000381007	0.00027117	0.000493032	0.00411406
í	0.472951	0.159466	0.0346855	0.146073	0.0250962	0.00577026	0.0173104	0.138649
y	0.796694	0.0486315	0.0887332	0.0129909	0.00463384	0.00307854	0.0242043	0.0210335
á	0.508371	0.0741177	0.221989	0.0849019	0.0282618	0.0184109	0.0256555	0.0382919
n	0.762519	0.0427381	0.135445	0.0202148	0.00619518	0.00445431	0.0106248	0.0178092
g	0.843702	0.0367905	0.00393032	0.0084567	0.000625473	0.000529527	0.102938	0.00302706
á	0.22122	0.225521	0.0714497	0.14799	0.0105254	0.00444506	0.23786	0.0809889
a	0.0365659	0.00490542	0.879367	0.0255637	0.0272057	0.0145652	0.00331345	0.00851351
d	0.000641904	9.59345e-05	0.127972	0.79571	0.0593138	0.00736012	0.00296207	0.00594409
í	0.00042275	0.000159947	0.0467319	0.881137	0.0437696	0.00544906	0.00283675	0.0194935
l	0.00767635	5.18469e-05	0.0516649	0.580718	0.235994	0.0411943	0.00825775	0.0744428
o	0.000572029	0.000173432	0.0531669	0.629157	0.220529	0.0271699	0.018044	0.0511874
s	0.00434496	0.00143822	0.0412967	0.350695	0.353037	0.105293	0.045121	0.0987738
w	0.000388343	9.01441e-05	0.00210764	0.776947	0.169303	0.0374154	0.00650184	0.00724607
έ	0.000612509	0.000389377	0.00723028	0.524722	0.224972	0.152253	0.0359476	0.0538737
έ	0.0001145	2.07354e-05	0.00600906	0.121144	0.305658	0.249431	0.0683974	0.249226
n	0.000763106	2.43417e-05	0.00207322	0.0318098	0.263098	0.383701	0.167422	0.151109
g	0.000652136	1.00965e-05	0.00131907	0.0591642	0.093588	0.140951	0.551008	0.153307
í	0.0153527	9.1716e-05	0.00172426	0.034742	0.0345166	0.047026	0.668748	0.197799
</S>	0.00105389	2.35005e-05	0.00424228	0.0146224	0.0768906	0.136302	0.189638	0.577227
