 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
w	0.806456	0.0650089	0.00119688	0.0101495	0.0266869	0.0229335	0.0234181	0.0169	0.0148323	0.00621867	0.00354276	0.00256452	5.61687e-05	3.56004e-05
a	0.769953	0.0487936	0.00090685	0.0161891	0.0394487	0.0284226	0.0345627	0.0178058	0.0306517	0.00649111	0.00159188	0.00482387	0.000353313	5.29885e-06
á	0.13201	0.598088	0.121027	0.0236131	0.00307431	0.00655257	0.0136279	0.0126458	0.0219695	0.0140453	0.0116352	0.0239064	0.00871774	0.00908695
m	0.0401179	0.583622	0.171942	0.040321	0.0159841	0.00584293	0.0132175	0.0166792	0.00816014	0.0187064	0.0121668	0.0210088	0.0207419	0.0314896
i	0.013012	0.272478	0.435539	0.0515427	0.0225171	0.0543649	0.0375562	0.0182294	0.0117228	0.0171713	0.0131016	0.00778133	0.0242668	0.0207165
d	0.00895943	0.116707	0.676263	0.115267	0.0226856	0.0113005	0.00905793	0.00664766	0.00370012	0.00348306	0.00360847	0.00168995	0.0064043	0.0142253
i	0.000483078	0.0283764	0.777423	0.0326914	0.0136243	0.00697194	0.00335117	0.00546655	0.00320865	0.0109281	0.00653374	0.00113471	0.0186677	0.0911387
á	0.000295661	0.00778979	0.597247	0.311225	0.0452583	0.00468341	0.00220829	0.00333773	0.00125555	0.00244344	0.00200642	0.00080814	0.00452039	0.016921
a	0.00571261	0.0143435	0.121202	0.426334	0.195685	0.0962288	0.0595585	0.0280755	0.016423	0.00744601	0.0071863	0.00574602	0.00390874	0.0121502
y	0.00256806	0.020693	0.0867081	0.223465	0.341397	0.139004	0.0763401	0.0442006	0.0195005	0.01271	0.00966067	0.00428031	0.0110459	0.00842684
έ	0.00134105	0.017481	0.0709397	0.125176	0.235706	0.0987282	0.101712	0.0835904	0.0482204	0.0782989	0.031557	0.016215	0.0450078	0.0460274
l	0.000475894	0.00347727	0.0194051	0.0733482	0.166234	0.136284	0.0542074	0.0510204	0.0715063	0.0595908	0.0419239	0.0214015	0.104161	0.196964
i	0.00460607	0.00956286	0.039934	0.248975	0.122137	0.181529	0.115342	0.0637233	0.0875238	0.0214258	0.0383927	0.015854	0.00698601	0.0440084
m	0.00510143	0.00933893	0.0150643	0.0459265	0.0672963	0.433794	0.195217	0.0802353	0.0568736	0.0402396	0.0101146	0.00702412	0.0102815	0.023493
á	0.00399181	0.00319437	0.00624353	0.012003	0.020385	0.342613	0.04534	0.0701296	0.219568	0.0327919	0.0299806	0.0184094	0.0106595	0.18469
i	0.0131974	0.00372822	0.00374944	0.0202449	0.0337786	0.109552	0.143011	0.222529	0.160386	0.137872	0.0566231	0.0229789	0.048242	0.0241075
s	0.000713406	0.00241545	0.00684088	0.0117715	0.0486822	0.038145	0.0759627	0.390757	0.127608	0.176925	0.0730654	0.0066847	0.0244533	0.0159751
á	0.000384534	0.00240769	0.00313665	0.00317209	0.00990223	0.00968692	0.0201888	0.149185	0.177416	0.390236	0.0980996	0.0163526	0.0952087	0.0246226
s	0.00158061	0.00072767	0.000798843	0.00396771	0.00703105	0.018524	0.0359586	0.147978	0.284027	0.245097	0.107071	0.0238928	0.0682239	0.0551207
i	0.00071881	0.000666107	0.00111869	0.00271698	0.00932931	0.0128248	0.0288136	0.184234	0.202288	0.347338	0.0994786	0.0102909	0.0365415	0.0636398
l	0.000149579	0.000495024	0.00119809	0.00326857	0.00665679	0.0247959	0.0432825	0.128062	0.19084	0.377523	0.128333	0.0380212	0.0294978	0.0278753
a	0.000653633	0.00233853	0.00530608	0.00916112	0.0139902	0.0280533	0.0432708	0.173776	0.238678	0.183959	0.159484	0.0259353	0.0214143	0.0939794
l	0.000478184	0.000740634	0.00169771	0.00346313	0.00582286	0.0155219	0.0349615	0.093393	0.180465	0.232379	0.183735	0.168078	0.0301719	0.0490917
á	0.00102968	0.00226616	0.0051852	0.00356465	0.00434259	0.0081208	0.0128405	0.0626453	0.1054	0.216181	0.204962	0.0570684	0.0807207	0.235674
o	0.00122377	0.00110389	0.00262498	0.00965096	0.00705525	0.0139265	0.0160161	0.0497016	0.217142	0.136278	0.143896	0.277056	0.0819544	0.0423696
d	0.000238308	0.00325006	0.0184662	0.0160035	0.0173888	0.0044231	0.00637337	0.0429527	0.0478278	0.177933	0.155415	0.0949309	0.389055	0.0257415
i	1.66654e-05	0.000646366	0.0135687	0.0051311	0.00837062	0.00272125	0.00253731	0.0234096	0.028204	0.200513	0.142106	0.0615275	0.444308	0.0669396
m	1.97728e-05	0.000232522	0.00835363	0.0090713	0.0105844	0.00716925	0.00576261	0.0494893	0.104999	0.192506	0.179151	0.22851	0.122763	0.0813881
í	0.000472123	0.0019126	0.013131	0.0230113	0.0152584	0.0248266	0.0138381	0.0383891	0.112322	0.095413	0.201046	0.127227	0.15743	0.175723
y	0.00136594	0.00123943	0.00550211	0.007969	0.00940529	0.0143275	0.0138023	0.024446	0.059441	0.043749	0.0952933	0.304859	0.166898	0.251703
a	0.000886773	0.00473705	0.012468	0.015295	0.00645098	0.00533001	0.00510667	0.0148632	0.0586549	0.0526887	0.0710768	0.224784	0.334443	0.193215
w	0.000406085	0.00040035	0.000859261	0.00355782	0.00666978	0.00720306	0.00688281	0.0165653	0.12949	0.0666355	0.0884158	0.369326	0.165564	0.138024
a	0.000753091	0.000604844	0.0017076	0.00753781	0.0138628	0.00642747	0.0215627	0.0446866	0.141732	0.056503	0.191667	0.385199	0.0711187	0.0566376
m	7.93156e-05	9.33423e-05	0.000358999	0.00070503	0.00106542	0.00225454	0.00471759	0.00938189	0.0352958	0.0234135	0.067426	0.212545	0.130019	0.512644
ó	0.000636443	0.00229165	0.00692327	0.014013	0.0403096	0.0891449	0.027236	0.0480421	0.159221	0.0651211	0.107657	0.23592	0.112296	0.0911884
e	0.000215207	0.000471348	0.00193419	0.00490378	0.0171588	0.0178508	0.0168729	0.0361114	0.0699826	0.0503075	0.112619	0.342887	0.254362	0.074323
b	0.000384493	0.00133711	0.0110376	0.00993874	0.0132679	0.00648412	0.00749088	0.0208987	0.0145177	0.0251032	0.0437697	0.0757817	0.388018	0.381971
é	0.000827616	0.00213185	0.00882034	0.013386	0.0492681	0.0240294	0.0333103	0.0704307	0.0429856	0.0490154	0.0747184	0.136897	0.414113	0.0800661
e	9.84344e-05	0.000123714	0.000721116	0.00161046	0.00986329	0.00120973	0.00404388	0.0149473	0.0239728	0.0271138	0.0967149	0.0649057	0.257812	0.496863
y	0.000191951	0.000842704	0.00809982	0.0109679	0.00946376	0.00823851	0.00944625	0.0191448	0.0284718	0.0190047	0.0611078	0.152071	0.14641	0.52654
