 	combien	coûtent	ces	bananes	</S>
a	0.278251	0.368884	0.346402	0.00506268	0.00139976
t	0.0379446	0.624648	0.12734	0.201385	0.00868207
ω	0.0847269	0.266737	0.105366	0.377675	0.165495
r	0.100854	0.619136	0.200786	0.0531452	0.0260793
ω	0.144392	0.57031	0.211913	0.027465	0.0459196
m	0.2213	0.162331	0.58059	0.0101767	0.0256028
á	0.277739	0.161702	0.30143	0.0687095	0.190419
m	0.358231	0.172261	0.387012	0.04774	0.0347557
á	0.0425872	0.0331712	0.264408	0.0477805	0.612053
á	0.118092	0.0363839	0.604626	0.174423	0.0664744
d	0.0277636	0.00756788	0.305323	0.103475	0.555871
i	0.00146315	0.000593876	0.0583338	0.014702	0.924907
t	0.0461811	0.00505453	0.168134	0.150168	0.630462
á	0.0211037	0.013277	0.103457	0.624222	0.237941
l	0.00725901	0.00435122	0.0734997	0.393437	0.521453
e	0.0159393	0.00753302	0.0609883	0.490727	0.424813
k	0.0269662	0.0182282	0.12401	0.316465	0.51433
w	0.0368787	0.0154594	0.0426887	0.651571	0.253402
έ	0.00946867	0.0149061	0.0156034	0.88788	0.072142
ε	0.00547416	0.0076745	0.0404787	0.298974	0.647399
</S>	0.063606	0.010026	0.161434	0.0614973	0.703436
