 	j'	étends	le	filet	dans	l'	étang	</S>
n	0.990893	0.000939452	0.00558707	0.000640766	0.00122405	0.000656791	4.99573e-05	8.82949e-06
g	0.999072	8.86306e-05	0.000378351	7.44961e-06	6.68616e-05	0.000316754	6.04209e-05	9.13883e-06
á	0.991961	0.00442334	0.00079659	0.000183114	0.000305605	0.0011482	0.00109729	8.4508e-05
l	0.807572	0.0302023	0.0579277	0.00604646	0.00504068	0.0129703	0.0059577	0.0742833
í	0.693031	0.127219	0.0545519	0.0103049	0.0283375	0.0408883	0.00077479	0.0448919
i	0.0415517	0.66701	0.149679	0.0255363	0.0153529	0.0285113	0.0134663	0.0588924
l	0.00182036	0.982227	0.00652848	0.00594433	0.00101627	0.000514125	0.000189529	0.00176034
a	0.000303658	0.989548	0.00136885	0.00793351	0.000587477	5.96089e-05	5.39282e-05	0.000144835
m	0.00237267	0.939891	0.0222887	0.0181668	0.010077	0.0008442	0.00184072	0.00451862
b	0.00150831	0.190766	0.328974	0.0287384	0.241968	0.112696	0.00841592	0.0869347
á	0.00360473	0.0511352	0.276307	0.0534434	0.262711	0.0423941	0.0291425	0.281261
o	0.00471518	0.00256625	0.30041	0.152174	0.284992	0.221119	0.0267962	0.00722786
k	0.000861051	0.0887568	0.0305352	0.455038	0.22723	0.0409618	0.14432	0.0122969
i	1.30097e-05	0.0245836	0.00491513	0.921092	0.00984337	0.00396105	0.0312039	0.00438769
a	2.68517e-05	0.0388658	0.045118	0.714875	0.129413	0.0261338	0.0268026	0.0187644
s	0.000111904	8.20239e-05	0.0140576	0.00724383	0.515669	0.42124	0.00816824	0.0334272
é	0.000729086	0.00169558	0.00522689	0.0185213	0.112482	0.163166	0.117358	0.580821
t	0.00222698	0.00135791	0.00690773	0.00556242	0.0619038	0.175636	0.578758	0.167647
ó	0.000352091	0.00051432	0.0025891	0.0287777	0.0109103	0.0187777	0.898631	0.039448
n	2.01449e-05	0.000475748	0.00497903	0.0841894	0.00979901	0.0125691	0.831135	0.0568329
g	0.000543151	0.0136679	0.0294085	0.0508857	0.0619635	0.0988866	0.473667	0.270978
o	0.000132085	0.000146282	0.00119446	0.00077399	0.000882507	0.0031799	0.818908	0.174783
</S>	0.000635501	0.000678144	0.00624593	0.00308816	0.00873087	0.0308884	0.184961	0.764772
