 	c'	est	un	brave	homme	</S>
a	0.83584	0.153977	0.00832353	0.00117	0.0006355	5.44242e-05
d	0.18241	0.586179	0.191187	0.0381916	0.00156654	0.000466209
í	0.255111	0.453169	0.278555	0.00942393	0.000296682	0.00344485
n	0.0521195	0.310687	0.481389	0.0416766	0.0148476	0.0992808
d	0.175584	0.265174	0.208367	0.0210928	0.00539818	0.324384
z	0.0270195	0.204921	0.522148	0.0618454	0.0136821	0.170383
a	0.03678	0.172308	0.49441	0.144076	0.0156519	0.136773
n	0.013192	0.0718001	0.468558	0.198783	0.00687777	0.240789
g	0.0675332	0.193821	0.478177	0.0910076	0.0158937	0.153568
á	0.0948604	0.135313	0.209017	0.226356	0.0200098	0.314443
y	0.0614976	0.176868	0.611715	0.0267881	0.0328399	0.0902915
i	0.0392948	0.0462462	0.146481	0.576258	0.125054	0.0666662
b	0.00882991	0.00731272	0.0669304	0.737875	0.0590661	0.119986
a	0.0266971	0.0346671	0.0728192	0.122727	0.614248	0.128841
a	0.00268323	0.0152957	0.0714769	0.0478724	0.597535	0.265137
</S>	0.00182682	0.00832537	0.0696072	0.124706	0.221905	0.57363
