 	je	sens	l'	odeur	du	poisson	pourri	</S>
n	0.973005	0.0123873	0.00821027	0.000577056	0.00458651	0.00089509	0.00027986	5.85447e-05
g	0.999408	0.000166778	0.000265113	7.5136e-06	0.000104874	3.72958e-05	8.36828e-06	2.59892e-06
á	0.995786	0.00357134	0.000375037	2.64371e-05	8.29651e-05	3.3801e-05	0.000111523	1.2429e-05
l	0.432416	0.155849	0.186099	0.0115587	0.0130526	0.0209979	0.0244537	0.155573
í	0.498164	0.0567441	0.160678	0.00664652	0.0364417	0.031405	0.0112874	0.198633
i	0.102352	0.0828226	0.488093	0.0658897	0.0436851	0.0293618	0.0173472	0.170448
b	0.0047014	0.580429	0.121835	0.267263	0.00342286	0.00122025	0.00427621	0.0168529
ó	0.000428396	0.870722	0.0230252	0.102605	0.000800414	0.000583004	0.00114114	0.000694779
n	0.00139937	0.603458	0.079812	0.289183	0.0101354	0.000507805	0.00180992	0.0136941
d	0.0134426	0.117883	0.509	0.220504	0.079822	0.00502388	0.00338235	0.0509433
á	0.00776086	0.127007	0.486959	0.16517	0.0680336	0.00683874	0.00890079	0.129331
t	0.00323099	0.00205415	0.240681	0.291615	0.320905	0.111425	0.0249611	0.0051287
s	0.000318344	7.38991e-05	0.0033561	0.974677	0.00951992	0.000233741	0.00501419	0.00680697
o	2.75112e-05	0.000194571	0.00698301	0.950575	0.0380957	0.000570447	0.00235147	0.00120223
l	0.000124981	0.00108793	0.0274374	0.716561	0.21903	0.00584198	0.0172386	0.0126779
o	0.000140345	0.00282751	0.0504679	0.560207	0.210647	0.0180956	0.0336466	0.123969
y	0.000215361	0.00188648	0.048	0.105327	0.506324	0.143582	0.0867674	0.107898
é	0.00250418	0.00265744	0.0241115	0.0517233	0.168489	0.28273	0.36057	0.107214
t	0.000440861	0.000266387	0.00216738	0.0153865	0.0731795	0.351567	0.490846	0.0661457
u	8.57667e-05	0.00013148	0.00104424	0.0806532	0.0442735	0.0236837	0.794944	0.0551842
ú	0.000341222	0.000384351	0.00168976	0.0174743	0.0441503	0.0607494	0.773751	0.101459
y	8.751e-05	0.000187108	0.00200574	0.00368298	0.0584409	0.126476	0.26126	0.547859
á	0.000125598	0.000375258	0.00512878	0.0110505	0.0621905	0.293283	0.434161	0.193685
a	0.00180862	0.000603348	0.00630829	0.00604406	0.0378909	0.324754	0.553406	0.0691845
s	0.000922717	0.00532092	0.0317662	0.0217864	0.0767949	0.172465	0.478307	0.212636
w	0.00102658	0.0172124	0.0511125	0.00371679	0.0502952	0.451268	0.214742	0.210626
é	0.000589244	0.00130132	0.0115403	0.00558594	0.0174187	0.274903	0.427738	0.260923
</S>	8.31408e-05	0.000147576	0.00139142	0.00173107	0.0160738	0.0971275	0.108164	0.775281
