 	la	mort	du	chef	nous	a	attristés	</S>
l	0.594951	0.297272	0.0596829	0.0359948	0.00259932	0.00316864	0.00533269	0.000998833
e	0.491879	0.327375	0.0422219	0.068701	0.0106715	0.0191829	0.0240304	0.0159385
k	0.350332	0.347121	0.0482921	0.138836	0.00645156	0.0111407	0.0102872	0.0875399
ú	0.0142539	0.0777467	0.011308	0.834485	0.0015936	0.00339231	0.0342238	0.0229971
l	0.0395395	0.0956983	0.0827195	0.753245	0.000256776	0.00307904	0.00605296	0.019409
o	0.287714	0.231501	0.180946	0.262225	0.00149016	0.00702386	0.00672833	0.0223708
k	0.172902	0.0825594	0.539786	0.0296457	0.0973265	0.0531384	0.00603785	0.0186034
o	0.0370757	0.0871203	0.128304	0.667753	0.0094845	0.0131439	0.00679387	0.0503243
n	0.0147832	0.034276	0.0556793	0.833356	0.025147	0.0070493	0.0205101	0.00919882
d	0.0930019	0.0625545	0.0339159	0.773947	0.000278883	0.00239841	0.00439425	0.0295097
z	0.0458141	0.102399	0.0473366	0.73645	0.00192927	0.00389183	0.00136006	0.0608185
i	0.0346992	0.0383814	0.00813055	0.88902	0.00147386	0.00129357	0.001878	0.0251237
y	0.0714015	0.111158	0.502544	0.0857454	0.0727152	0.107304	0.00278085	0.0463501
a	0.253606	0.0695103	0.344796	0.0877736	0.0333633	0.124535	0.0133401	0.0730762
p	0.060588	0.0230354	0.210232	0.0488974	0.305786	0.227977	0.109574	0.0139103
o	0.0265015	0.0801145	0.0569794	0.366122	0.168539	0.109906	0.101198	0.0906396
o	0.0685145	0.0350081	0.188277	0.310057	0.0164797	0.221708	0.0295231	0.130433
í	0.00627031	0.0036985	0.0467242	0.00170963	0.00922906	0.478459	0.0278034	0.426106
p	0.0160756	0.0111871	0.0569456	0.00295054	0.0123719	0.439043	0.0740662	0.38736
έ	0.000875285	0.00527778	0.0638855	0.0230869	0.0207474	0.346357	0.144322	0.395449
ε	0.00352627	0.00741229	0.0908947	0.0179724	0.0749644	0.213458	0.111506	0.480266
b	0.00231892	0.00201275	0.0184256	0.00158752	0.0786919	0.221713	0.25816	0.41709
í	0.000435901	0.000967484	0.0011129	0.000514187	0.512831	0.039744	0.434527	0.00986784
s	0.00152396	0.00109236	0.00658274	0.00108534	0.424817	0.0436804	0.410213	0.111005
í	0.000605892	0.000516386	0.0018915	0.00167738	0.0364335	0.117346	0.584043	0.257486
n	0.00173633	0.000779355	0.0144286	0.00207667	0.0232968	0.111498	0.479916	0.366267
y	0.000948621	0.000708626	0.00188947	0.00177583	0.0400785	0.0135627	0.870838	0.0701983
i	0.00123344	0.000906321	0.00299856	0.00193399	0.028697	0.00921698	0.869513	0.0855006
n	0.000307915	0.000446719	0.00369085	0.00313954	0.0081244	0.0157709	0.636268	0.332252
g	0.000702363	0.000668356	0.00398266	0.00452156	0.000888622	0.0265984	0.0551912	0.907447
a	0.00512935	0.00593111	0.0177018	0.11942	0.0537515	0.0460721	0.319491	0.432503
</S>	0.00869325	0.00382129	0.0191204	0.00738766	0.00362674	0.109858	0.266616	0.580877
