 	cet	homme	est	bossu	</S>
m	0.907371	0.0896225	0.00135146	0.000566195	0.00108918
o	0.897282	0.0823633	0.0166972	0.0017975	0.00185948
r	0.915182	0.0800574	0.0036237	0.000227376	0.000909814
o	0.534324	0.0151727	0.00927901	0.246845	0.19438
w	0.8355	0.130358	0.0120826	0.000691063	0.0213688
ó	0.56902	0.0230812	0.203012	0.00750375	0.197383
a	0.144833	0.069252	0.350927	0.00721512	0.427772
d	0.0338808	0.0489332	0.636126	0.0180756	0.262985
í	0.00656286	0.00830477	0.58246	0.0172364	0.385436
l	0.0292173	0.0170417	0.225952	0.137872	0.589917
e	0.00185887	0.00256403	0.160133	0.194114	0.64133
n	0.00466711	0.00425941	0.0515497	0.790561	0.148963
g	0.000223834	0.000152962	0.00960174	0.968336	0.0216856
ú	0.000996331	0.000367352	0.0197119	0.957561	0.0213633
l	0.00183418	0.00021159	0.00545283	0.955335	0.0371669
ε	0.0259392	0.00459007	0.0588865	0.72813	0.182454
</S>	0.00668338	0.00104537	0.109173	0.0360959	0.847002
