 	quand	les	gens	se	disputent	il	ne	faut	pas	attiser	la	querelle	</S>
w	0.390809	0.305009	0.238591	0.0183716	0.000510329	0.00411501	0.00303297	0.0184255	0.0125553	0.00375921	0.00364538	0.00109307	8.27266e-05
á	0.252823	0.518795	0.137103	0.0471987	6.44494e-05	0.00185937	0.00389471	0.0149785	0.00645005	0.00137426	0.0111086	0.00432637	2.45974e-05
á	0.208085	0.388196	0.231008	0.0591686	0.00684933	0.0178149	0.0189942	0.00719448	0.0101031	0.00703186	0.00982477	0.0211107	0.0146184
b	0.219506	0.282138	0.30649	0.0963623	0.0106943	0.00562568	0.00778775	0.0108917	0.0077896	0.00339249	0.00647217	0.00560654	0.0372429
a	0.02441	0.129165	0.467483	0.171146	0.0221028	0.0540451	0.0233485	0.028119	0.0215321	0.0177537	0.0055063	0.0102503	0.0251389
r	0.0505668	0.0948138	0.604965	0.0700259	0.00462361	0.0240734	0.0162139	0.0165282	0.0094186	0.00529779	0.0102357	0.0249707	0.0682662
e	0.350037	0.275301	0.175653	0.0555581	0.00640877	0.00735208	0.0200209	0.0032242	0.00551421	0.00338213	0.01388	0.0308104	0.0528583
b	0.0326852	0.0641906	0.373617	0.46284	0.0095643	0.0218374	0.0101675	0.00291538	0.00525232	0.000428001	0.00729616	0.00171889	0.00748707
á	0.194992	0.094525	0.258514	0.195951	0.00761129	0.114865	0.0488102	0.0339861	0.0148592	0.00280979	0.00710492	0.0123592	0.013612
a	0.0411926	0.0432704	0.491595	0.125885	0.0189346	0.140443	0.0454076	0.0312962	0.0175816	0.00446558	0.0119937	0.0118572	0.0160764
t	0.011135	0.00757913	0.00468787	0.113917	0.746715	0.0349932	0.0196854	0.0113153	0.0103365	0.0310467	0.00176301	0.0011233	0.00570255
ω	0.000613169	0.00147512	0.000561177	0.0108628	0.924016	0.0129484	0.0102014	0.00161967	0.00567179	0.0200811	0.00131828	0.00170483	0.0089257
ω	0.00630419	0.0154159	0.012253	0.135548	0.413815	0.135477	0.0604613	0.0486161	0.0650746	0.0177483	0.0264167	0.00930118	0.0535686
o	0.0065595	0.00410495	0.00859186	0.0838234	0.00689604	0.183075	0.230864	0.208617	0.194566	0.00897777	0.0519148	0.00786558	0.00414389
k	0.0111219	0.00759923	0.00231404	0.0177443	0.0440974	0.0130392	0.0679664	0.0799193	0.244483	0.417445	0.0363591	0.0453397	0.012571
a	0.000543019	0.00113456	0.000280426	0.00238238	0.134227	0.00774375	0.0323943	0.0440991	0.138292	0.604493	0.0117731	0.00641024	0.0162276
n	0.000288347	0.000456476	0.000683505	0.00508841	0.0664838	0.0200998	0.0594595	0.100298	0.210465	0.478445	0.0212747	0.00437809	0.0325799
á	0.0114508	0.00784337	0.00153932	0.0197455	0.0547334	0.0805886	0.206383	0.148272	0.179113	0.157931	0.0425208	0.0248206	0.0650592
o	0.00330346	0.00277979	0.00586928	0.0133569	0.00177268	0.0377387	0.0884244	0.104257	0.179001	0.025169	0.317728	0.183322	0.0372777
k	0.0103521	0.0101781	0.00351553	0.0170081	0.0260987	0.00596943	0.0388799	0.0282406	0.151869	0.258215	0.110796	0.253844	0.0850342
w	0.000663839	0.00240741	0.000635206	0.00284038	0.0510224	0.00518871	0.0429782	0.036115	0.146765	0.587513	0.0343513	0.0327391	0.0567807
á	0.00150518	0.00196466	0.00298115	0.00220866	0.0100761	0.0182525	0.122509	0.0703086	0.125084	0.126344	0.100466	0.199062	0.219237
k	0.00136288	0.00107661	0.0023472	0.00369299	0.000659061	0.0121242	0.0560014	0.0292101	0.109056	0.0486227	0.256756	0.233268	0.245823
a	0.000776697	0.00156468	0.00162277	0.00143166	0.00754691	0.00603149	0.0461999	0.18228	0.146413	0.119742	0.112791	0.255702	0.117897
á	0.000360301	0.0010673	0.00245279	0.00125878	0.00132305	0.00824802	0.0160707	0.0592343	0.118646	0.058471	0.112455	0.297349	0.323064
</S>	0.00280254	0.00161983	0.00159864	0.0204978	0.00260674	0.0266419	0.0344327	0.0186696	0.0492586	0.0107792	0.158366	0.0706218	0.602104
