 	il	emplit	la	bouteille	de	vin	</S>
n	0.607364	0.265617	0.10673	0.00077412	0.0184333	0.00098014	0.000100937
y	0.0226108	0.969195	0.00672706	0.00015226	0.0011709	0.00010637	3.71857e-05
á	0.0436355	0.883979	0.0490544	0.0143834	0.0033339	0.00294444	0.00266955
á	0.0438999	0.155013	0.432177	0.0484069	0.0652379	0.0472116	0.208054
o	0.0626769	0.613561	0.250445	0.0127517	0.0133043	0.00245723	0.0448042
l	0.00410389	0.0104159	0.340988	0.61371	0.0137502	0.00393617	0.0130966
a	0.00206166	0.0107509	0.122905	0.829767	0.0051264	0.00406021	0.0253287
n	0.0163949	0.0130797	0.144109	0.685053	0.0167964	0.00752203	0.117045
g	0.10626	0.123759	0.308829	0.327457	0.06574	0.0264273	0.0415264
i	0.0973532	0.160232	0.283429	0.260655	0.0995394	0.0305836	0.0682079
m	0.0492224	0.0212896	0.0699523	0.0223387	0.710321	0.0811715	0.0457046
á	0.108127	0.000586716	0.00552405	0.0522976	0.268796	0.0814852	0.483184
l	0.0153754	0.0114287	0.0199566	0.0197805	0.224698	0.643284	0.0654765
ω	0.00203955	0.00454331	0.0150164	0.0238514	0.20148	0.481898	0.271172
i	0.00107096	0.00123051	0.00706168	0.0637925	0.127448	0.667937	0.13146
</S>	0.00759646	0.000780382	0.0142348	0.0147593	0.230823	0.238152	0.493654
