 	j'	adresse	mes	regrets	au	sorcier	qui	a	fait	de	moi	un	orphelin	</S>
n	0.591733	0.133741	0.112124	0.0241698	0.036333	0.0349779	0.0345548	0.00818879	0.00697733	0.0068917	0.00237967	0.00734308	0.000329887	0.000255912
g	0.987503	0.00456464	0.00433425	0.000947783	0.000345862	1.79172e-05	4.7189e-05	1.60666e-05	1.79405e-05	3.44339e-05	0.00149461	5.16117e-05	0.000610722	1.43359e-05
á	0.89178	0.0578193	0.00535619	0.00769352	0.000584416	0.000540109	0.000432537	0.000466487	0.000591067	0.000830267	0.0311375	0.000350574	0.00235802	5.95575e-05
l	0.135148	0.157385	0.208987	0.100179	0.0257873	0.0325673	0.0209464	0.0230619	0.0235325	0.0251948	0.0299201	0.0196211	0.0296768	0.167993
í	0.43409	0.121511	0.0681836	0.0128998	0.0177044	0.00776392	0.0106577	0.0185942	0.0209105	0.025303	0.0630368	0.0248461	0.0381055	0.136394
i	0.0513415	0.188431	0.258767	0.072308	0.0397907	0.0365264	0.0293949	0.0280915	0.03336	0.0373939	0.0249523	0.0314796	0.0786041	0.0895594
k	0.0139275	0.649006	0.0980078	0.127947	0.0066185	0.0104355	0.00335016	0.00668932	0.0121804	0.00999548	0.00531331	0.00757626	0.000955916	0.0479965
a	0.0019134	0.675497	0.0301448	0.0670365	0.00948596	0.072821	0.0101159	0.0158502	0.0331216	0.0220394	0.00408607	0.0113279	0.00266406	0.0438959
y	0.00659755	0.435519	0.152208	0.113558	0.0285273	0.0768385	0.0181166	0.0234237	0.045764	0.032419	0.00787445	0.0123804	0.00419531	0.0425778
á	0.00752999	0.265318	0.410232	0.110452	0.0463831	0.0159374	0.018768	0.0169134	0.021752	0.0241524	0.0127127	0.0166266	0.00424117	0.0289813
m	0.0141884	0.0208451	0.355406	0.152237	0.321215	0.0239703	0.0436621	0.016969	0.0098367	0.0105351	0.00704789	0.0101704	0.00391438	0.0100031
w	0.000127672	0.000953093	0.0224299	0.924	0.0399629	0.000981835	0.00510536	0.00292154	0.000438596	0.000394888	0.000195377	0.000175665	2.22657e-05	0.00229105
a	0.000297883	0.000809675	0.00372353	0.98433	0.00398166	0.00184162	0.00116734	0.000947211	0.000431916	0.000489369	0.000168003	0.000194536	0.000235908	0.00138157
n	0.00890185	0.00254892	0.0296613	0.869632	0.071085	0.00354359	0.00526276	0.00324305	0.00105307	0.000799645	0.00012766	0.000459571	4.27404e-05	0.00363916
g	0.00247439	0.00336445	0.0204295	0.886791	0.0425338	0.00508136	0.00769312	0.00296844	0.00288747	0.00274752	0.00136178	0.000396344	0.000627377	0.0206435
é	0.00170608	0.0034201	0.0173277	0.88967	0.0412278	0.00649449	0.00512749	0.00156031	0.00252241	0.00248943	0.00305197	0.000366146	0.00339636	0.0216397
l	0.00227593	0.00579525	0.0577191	0.0621177	0.372717	0.224987	0.139885	0.0508749	0.0338266	0.0171108	0.00559797	0.00767918	0.000512043	0.018902
o	0.00904934	0.00621577	0.0414779	0.01152	0.114573	0.362392	0.103343	0.0753419	0.0716087	0.0500613	0.0277618	0.0243227	0.00810296	0.0942301
l	0.000930641	0.00188745	0.0222413	0.00588037	0.191221	0.333308	0.231258	0.0741052	0.0531423	0.0337341	0.00723652	0.0139107	0.00793885	0.023205
ω	0.0142468	0.00719508	0.0163177	0.00800029	0.0646818	0.318305	0.0572696	0.0550093	0.0994258	0.0792734	0.0354564	0.0321176	0.0172056	0.195496
i	0.000339166	0.00218788	0.0150267	0.0151485	0.0673191	0.272268	0.0927126	0.117691	0.18069	0.109294	0.0177733	0.0242189	0.00819689	0.0771331
y	0.000371883	0.00204458	0.00447673	0.00461837	0.0241447	0.0872513	0.108831	0.192768	0.246563	0.147934	0.0252339	0.0590727	0.00280995	0.0938802
é	0.000413606	0.00842498	0.00817884	0.00897761	0.04868	0.0411287	0.0775417	0.11742	0.204517	0.211071	0.0769085	0.0740502	0.0374507	0.0852362
é	0.000319196	0.00180244	0.00536605	0.00156168	0.0386449	0.0271069	0.0959291	0.154582	0.20409	0.201192	0.0638437	0.0842439	0.0358576	0.0854599
y	0.000233091	0.00101422	0.00256006	0.000631418	0.00743038	0.0186011	0.0125596	0.0535121	0.128921	0.215911	0.187664	0.198587	0.0596711	0.112704
í	0.00026754	0.00655476	0.00790644	0.00282651	0.0176753	0.00751585	0.0184972	0.0302942	0.108939	0.19932	0.154529	0.174523	0.205435	0.065716
í	0.000175616	0.00100727	0.00252227	0.00077671	0.0106356	0.0123505	0.0250971	0.0492273	0.138396	0.193878	0.0743186	0.18632	0.0843014	0.220993
n	0.000218864	0.000171564	0.00111685	0.000129139	0.00660589	0.00336941	0.00831198	0.026533	0.0391136	0.0991346	0.229795	0.295298	0.147527	0.142675
g	0.00129079	0.000153534	0.000409151	0.000816101	0.000468343	0.000196808	0.000450141	0.00149054	0.00431975	0.0193741	0.761045	0.0156291	0.177812	0.0165441
á	0.000258192	0.000375678	0.00179839	0.00168025	0.00262781	0.000941243	0.00209236	0.00618578	0.0149475	0.041666	0.65128	0.0221777	0.240891	0.0130773
t	5.70275e-05	8.25357e-05	0.000986348	0.000615793	0.00318579	0.00212366	0.0114316	0.0319267	0.0510737	0.149372	0.116039	0.249686	0.187047	0.196372
s	0.000315733	0.00181833	0.0028914	0.00102865	0.0143004	0.0222548	0.0167599	0.0336378	0.0757335	0.12383	0.0438728	0.31722	0.151001	0.195336
á	0.000308611	0.000725002	0.00147364	0.00206085	0.00328437	0.00830493	0.00311685	0.0139601	0.0940943	0.178893	0.0519419	0.255215	0.245748	0.140873
á	0.00191761	0.000855844	0.00187688	0.00188946	0.0097445	0.00296132	0.00386475	0.0119591	0.032577	0.0731442	0.0813819	0.208329	0.243485	0.326014
n	0.00055458	0.00114882	0.0037723	0.00327198	0.00880863	0.00313639	0.00944815	0.0161572	0.0138608	0.0322227	0.138461	0.139432	0.228763	0.400963
y	0.00268895	0.000247286	0.00170428	0.00331779	0.00251152	0.000761128	0.00153435	0.00182229	0.00345667	0.0112198	0.330953	0.0174305	0.514099	0.108253
i	0.00358614	0.000104846	0.00038445	0.00019084	0.000499549	0.000116523	0.000202911	0.000433049	0.000986217	0.00324196	0.303632	0.00556982	0.662281	0.0187702
