 	je	porte	de	vieux	habits	</S>
n	0.732725	0.0968944	0.0516352	0.0461989	0.056605	0.0159416
g	0.981056	0.0154529	0.000639669	0.00234035	0.000410455	0.000100171
á	0.919109	0.076755	0.00237895	0.00108363	0.000586908	8.68241e-05
l	0.169145	0.340447	0.0850054	0.11721	0.0683222	0.219871
í	0.465378	0.164897	0.0502856	0.0525661	0.0534471	0.213426
i	0.0668971	0.176186	0.239274	0.23758	0.0940686	0.185995
l	0.00364449	0.257326	0.651281	0.0227035	0.0143258	0.0507187
á	0.000873307	0.147647	0.822169	0.00697241	0.00653652	0.0158025
r	0.00423675	0.174675	0.549065	0.125616	0.015228	0.13118
á	0.0216307	0.268839	0.415923	0.188611	0.0278355	0.0771612
i	0.0152609	0.10511	0.201621	0.552973	0.0795908	0.0454438
k	0.00177593	0.00737853	0.0874836	0.214929	0.615258	0.0731745
á	0.000389339	0.00697781	0.0734728	0.0941697	0.773422	0.0515684
n	0.000821589	0.00508786	0.0905102	0.0516419	0.651775	0.200163
d	0.000958697	0.0463579	0.43409	0.220926	0.224403	0.0732635
á	0.00577491	0.102685	0.132356	0.272161	0.131209	0.355814
m	0.000793438	0.0326035	0.104767	0.203815	0.224454	0.433568
á	0.000441357	0.00984478	0.0493994	0.244713	0.124561	0.571041
k	0.00241587	0.00738675	0.0210118	0.391302	0.401703	0.176181
a	0.000240678	0.000987372	0.00751907	0.0560867	0.872648	0.0625184
l	0.000262677	0.000722993	0.00763215	0.0241892	0.61819	0.349003
a	0.000189586	0.0043112	0.0369754	0.0851887	0.566379	0.306957
</S>	0.000284802	0.0151154	0.0422472	0.129604	0.122577	0.690172
