 	cet	homme	est	en	train	de	rouler	un	tronc	d'	arbre	</S>
i	0.335339	0.591627	0.0185594	0.0323165	0.00186055	0.0040438	0.00103259	0.00564692	0.0041508	0.00280013	0.00222035	0.000402192
b	0.070533	0.885782	0.02292	0.00670775	0.00224088	0.000442997	0.000544496	0.00128406	0.0030367	0.00193687	0.00390032	0.000670501
a	0.00138125	0.957623	0.000796357	0.00618264	0.0298832	0.000166359	0.00246529	9.68439e-05	0.000454956	5.6129e-05	0.00085321	4.10211e-05
a	0.00649883	0.960244	0.00607943	0.00940412	0.00880099	0.000730865	0.000969735	0.00101867	0.0014027	0.000540586	0.000603939	0.00370644
d	0.407865	0.0621055	0.276218	0.116097	0.0114702	0.0404506	0.00046161	0.0102687	0.00689446	0.0154159	0.00216576	0.0505873
í	0.0321894	0.0028385	0.150772	0.0344155	0.0189552	0.012331	0.0416547	0.00922855	0.0117988	0.0257584	0.00487542	0.655182
b	0.00838752	0.00859181	0.356265	0.33498	0.102546	0.0578592	0.0106816	0.0153771	0.0133262	0.0156129	0.0045375	0.071835
ó	0.00117098	0.0125718	0.0334008	0.224709	0.346432	0.119813	0.125316	0.0559519	0.0247356	0.0197415	0.0240597	0.0120975
l	0.0175795	0.0112133	0.0681783	0.316303	0.320956	0.0627137	0.130031	0.025192	0.0129956	0.00864993	0.00688841	0.0192993
í	0.0171279	0.00423025	0.114201	0.137874	0.0642995	0.196459	0.0511454	0.112341	0.057714	0.0641138	0.0343728	0.146122
i	0.036613	0.00522331	0.132539	0.0719348	0.04636	0.233362	0.138937	0.143008	0.0510419	0.046158	0.0299907	0.0648321
b	0.00238924	0.00363353	0.0379787	0.0193449	0.0484551	0.183951	0.437425	0.106759	0.0841894	0.0186535	0.00728506	0.0499352
ó	0.000952326	0.0129612	0.0136533	0.0345448	0.115481	0.130844	0.593004	0.0381563	0.0296565	0.00758217	0.0116358	0.0115293
n	0.00179668	0.00661786	0.0224115	0.0382402	0.162892	0.0514378	0.517781	0.0629156	0.0721086	0.00691616	0.0126153	0.0442669
g	0.0375044	0.00572482	0.0257797	0.0116437	0.00874243	0.131441	0.133069	0.314457	0.146488	0.0226421	0.0147404	0.147766
ó	0.0278168	0.0100651	0.0112512	0.0402637	0.0329264	0.0508291	0.595179	0.109051	0.0782157	0.00741615	0.0111042	0.0258818
l	0.00180339	0.000160245	0.0131739	0.00728982	0.000865276	0.0667024	0.0471699	0.28153	0.255745	0.234244	0.0652942	0.026021
á	0.00210372	0.000223959	0.0164888	0.00207783	0.00143771	0.0273391	0.0107644	0.15973	0.280887	0.287465	0.0393192	0.172163
e	0.00536752	0.00135243	0.00190427	0.0012976	0.00134406	0.00706915	0.00766202	0.109134	0.307781	0.352969	0.17934	0.0247793
k	0.000493896	0.00126126	0.00115789	0.000479535	0.0019391	0.00183642	0.0129179	0.0688616	0.444968	0.120065	0.303262	0.0427575
y	0.000138656	0.000311423	0.000612356	0.000395813	0.00043013	0.000649576	0.000893933	0.0550371	0.716559	0.0365972	0.159275	0.0290997
é	0.000283642	0.000482438	0.000311301	0.00136128	0.00154559	0.0010001	0.00642545	0.0548826	0.381114	0.0258786	0.439498	0.087217
n	0.000488677	0.000338219	0.00179033	0.00221019	0.00050172	0.00906212	0.00834936	0.179638	0.204883	0.166896	0.212444	0.213398
i	0.00874992	0.00490458	0.0153227	0.00553967	0.00334351	0.0134882	0.0115053	0.112413	0.176523	0.114271	0.155108	0.378831
y	0.00613511	0.0021036	0.0135967	0.00755849	0.00283889	0.0159453	0.00465081	0.0598928	0.108071	0.252432	0.175855	0.35092
í	0.0207975	0.00059187	0.0193809	0.00496	0.00172812	0.0148941	0.0196466	0.0656985	0.114814	0.344426	0.185016	0.208047
b	0.00405696	0.000154617	0.00245944	0.000883702	0.000338918	0.00289814	0.0023634	0.015744	0.0437319	0.339655	0.374693	0.213021
v	0.00105962	0.00550216	0.00475489	0.0081386	0.0020975	0.00489064	0.00555089	0.0134541	0.0410635	0.116905	0.764796	0.031787
ú	0.000710116	0.000270227	0.000334094	0.00417733	0.0027927	0.00210851	0.0131942	0.00823116	0.0239705	0.0428698	0.849062	0.0522795
a	0.00391222	0.000275583	0.000260765	0.000727359	0.000378394	0.00105447	0.00231033	0.0130217	0.0386158	0.0735821	0.773556	0.0923047
</S>	0.000876573	5.13578e-05	0.00733893	0.00212885	0.000140748	0.00807307	0.00105101	0.0206978	0.0129772	0.324185	0.192388	0.430091
