 	il	a	augmenté	ses	cultures	</S>
w	0.844406	0.151817	0.00116545	0.00221491	0.000310729	8.63347e-05
a	0.897679	0.0910717	0.00094447	0.00981948	0.000418005	6.71897e-05
á	0.113062	0.839393	0.0330647	0.00978079	0.000643587	0.00405617
m	0.0229894	0.694318	0.224445	0.0278333	0.00585923	0.0245546
i	0.0085873	0.175629	0.672633	0.103394	0.00151236	0.0382445
n	0.00906774	0.0338141	0.898643	0.0340154	0.002901	0.0215587
y	0.00295149	0.0277786	0.923605	0.0313879	0.00119189	0.0130853
á	0.00846385	0.182914	0.764567	0.0238847	0.00219358	0.0179768
á	0.054117	0.153324	0.160132	0.3618	0.0666328	0.203994
s	0.026808	0.0412971	0.0441195	0.857233	0.0230514	0.00749145
á	0.00867843	0.0328069	0.130883	0.779699	0.00426904	0.043663
a	0.170921	0.0878775	0.0296793	0.62325	0.0369904	0.0512813
k	0.00148922	0.00998303	0.108748	0.140345	0.709706	0.0297292
ú	0.00016971	0.000290375	0.00965541	0.0116346	0.944664	0.0335861
b	3.65847e-05	0.0002868	0.0190242	0.00631745	0.924049	0.0502863
h	0.0313168	0.045469	0.0640233	0.100642	0.515109	0.243439
á	0.0139268	0.00826185	0.0717332	0.117186	0.464634	0.324258
m	0.0112518	0.0101025	0.0493591	0.289072	0.187617	0.452597
á	0.0286946	0.0233193	0.044287	0.35079	0.107776	0.445134
w	0.0521105	0.0370968	0.0204492	0.446756	0.176962	0.266625
a	0.0892992	0.0631985	0.083201	0.500484	0.0290937	0.234724
</S>	0.00271769	0.00235992	0.0053125	0.10744	0.226966	0.655204
