 	il	a	boudiné	le	fil	de	fer	</S>
w	0.905662	0.0783065	0.00237729	0.00392052	0.00115537	0.00826733	0.000156278	0.000154394
a	0.958684	0.0253996	0.000337227	0.00396897	0.00193419	0.00943903	0.000145702	9.09491e-05
á	0.0721767	0.788988	0.102197	0.0279796	0.00270071	0.00288707	0.000374688	0.00269627
d	0.00283611	0.362767	0.522043	0.0851808	0.0139745	0.00551117	0.000887603	0.00679986
í	0.000118186	0.0713707	0.874481	0.0305458	0.0135497	0.0011206	0.000225982	0.00858835
n	0.00204549	0.0358987	0.585371	0.162898	0.0971722	0.0259208	0.0157328	0.0749615
g	0.00269933	0.00604586	0.100424	0.26103	0.490312	0.0506949	0.0661938	0.0226009
i	0.000477665	0.00506429	0.0644249	0.211753	0.674352	0.00959579	0.0251818	0.00915038
l	0.00220713	0.00572672	0.0102357	0.146687	0.518203	0.191218	0.0491283	0.0765937
i	0.00212084	0.00848604	0.110654	0.250458	0.349265	0.172105	0.015667	0.091243
l	0.000897006	0.00392599	0.00536537	0.0635886	0.264362	0.459609	0.139706	0.0625461
e	0.00030357	0.00111822	0.00826734	0.016074	0.0872585	0.160459	0.344016	0.382504
n	5.20278e-05	0.000241342	0.000531513	0.00158057	0.0219264	0.0351651	0.850125	0.0903782
d	3.08696e-05	0.000103073	0.000123871	0.00151958	0.0154981	0.0232956	0.671005	0.288424
a	1.05056e-05	4.0711e-05	0.000126156	0.00135512	0.00996395	0.0101795	0.833781	0.144543
</S>	1.41537e-06	1.3371e-05	0.0001157	0.00195328	0.0421138	0.00930764	0.584354	0.362141
