 	il	porte	des	vêtements	blancs	</S>
w	0.652083	0.2806	0.0548976	0.00514232	0.00588938	0.00138748
a	0.725323	0.206507	0.0331211	0.00474872	0.0298298	0.000470408
l	0.332533	0.488288	0.15323	0.0163297	0.00460205	0.00501792
á	0.159378	0.170824	0.206644	0.0276093	0.0295915	0.405953
a	0.293154	0.252408	0.21708	0.0412351	0.0508442	0.145279
l	0.0290408	0.380205	0.432063	0.143657	0.00236838	0.012667
á	0.0330908	0.284665	0.415569	0.256031	0.00189307	0.00875174
r	0.100313	0.188461	0.349352	0.330003	0.00426661	0.027605
a	0.237429	0.259577	0.357286	0.122382	0.0072098	0.0161159
i	0.144567	0.189342	0.512332	0.110209	0.0203302	0.0232208
k	0.0265538	0.0943444	0.330302	0.463914	0.039613	0.0452727
á	0.00851481	0.025822	0.069635	0.771014	0.0903528	0.0346609
n	0.00676743	0.0189224	0.0648454	0.76637	0.0775485	0.0655459
d	0.022464	0.0820684	0.154774	0.682276	0.013188	0.0452289
á	0.145715	0.264431	0.206016	0.25893	0.0250588	0.0998492
m	0.0277213	0.0354317	0.247801	0.269358	0.198468	0.22122
á	0.0558496	0.0453557	0.474437	0.0384299	0.174413	0.211516
p	0.0545184	0.0348917	0.0531153	0.0447538	0.760407	0.0523136
f	0.00953803	0.00377735	0.00641437	0.0311248	0.905427	0.0437184
ú	0.0023175	0.00124524	0.00531501	0.0510847	0.871831	0.0682064
ú	0.000735771	0.000330597	0.00152869	0.0116012	0.933083	0.0527212
p	0.000852122	0.00135838	0.010043	0.0304621	0.440644	0.516641
f	0.10082	0.0306184	0.0369268	0.0275336	0.456633	0.347469
ú	0.00479268	0.00219878	0.00799154	0.0274851	0.726551	0.230981
ú	0.00335147	0.00113324	0.00403483	0.018465	0.772297	0.200719
</S>	0.00180589	0.00275333	0.0218933	0.0590546	0.372645	0.541848
