 	il	se	fit	blâmer	par	son	chef	</S>
o	0.431202	0.214596	0.286833	0.0393159	0.0165821	0.00919255	0.0018864	0.000392414
k	0.0229079	0.0939655	0.757686	0.0847192	0.00560115	0.0089832	0.0231088	0.00302857
o	0.00237781	0.0151148	0.913761	0.0130798	0.00399926	0.00568251	0.0384959	0.00748911
n	0.000665958	0.0283959	0.912579	0.0064665	0.00176044	0.00741333	0.0397202	0.00299896
d	0.0730114	0.0805688	0.707827	0.0232836	0.006636	0.00755001	0.047269	0.0538542
z	0.121827	0.0695256	0.525102	0.116596	0.0113414	0.00563293	0.0531379	0.0968371
i	0.0177373	0.00942796	0.377446	0.0539208	0.0200804	0.00649475	0.252637	0.262255
á	0.135098	0.286378	0.055308	0.189116	0.192854	0.123046	0.0024897	0.0157114
b	0.0136386	0.0709408	0.0389925	0.119875	0.244178	0.291716	0.0918735	0.128786
ε	0.0139675	0.169235	0.013312	0.0554026	0.199247	0.433568	0.0153576	0.0999103
n	0.014281	0.0881919	0.0603386	0.182924	0.175177	0.0896766	0.0701525	0.319259
g	0.0190677	0.0406556	0.0468877	0.0708779	0.289808	0.281593	0.0843757	0.166735
έ	0.0761393	0.0640775	0.0942504	0.198927	0.20385	0.21832	0.0508967	0.0935387
l	0.0165839	0.0128049	0.0042588	0.0345634	0.265702	0.268107	0.0869745	0.311005
a	0.0074409	0.00694726	0.00259377	0.0623286	0.255888	0.360037	0.0251784	0.279586
w	0.00915364	0.00540784	0.00304426	0.0359974	0.233949	0.27464	0.0422596	0.395548
a	0.0152325	0.0162238	0.00704762	0.0178018	0.223593	0.526602	0.0929026	0.100597
</S>	0.00119921	0.00121386	0.000623444	0.00812804	0.163361	0.255211	0.0246485	0.545615
