 	cet	enfant	sait	vider	le	silure	</S>
m	0.818372	0.174213	0.000205709	0.00339184	0.00373643	3.50728e-05	4.61978e-05
w	0.0528881	0.946471	4.3775e-06	9.96385e-05	0.000201212	1.55927e-06	0.000334216
á	0.0604993	0.939334	2.19265e-06	0.000113879	2.85544e-05	8.14269e-06	1.41464e-05
n	0.530401	0.459669	0.000109808	0.00140903	0.00233319	1.09735e-05	0.0060667
a	0.132142	0.828772	0.000391328	0.0035441	0.00273482	0.00077604	0.0316397
w	0.887624	0.0500817	0.0320722	0.00210318	0.0176393	0.00117426	0.00930568
ó	0.254818	0.0499106	0.194451	0.0561472	0.148024	0.0522499	0.244399
l	0.242022	0.0922827	0.244889	0.0184103	0.123598	0.039112	0.239685
á	0.0740719	0.0121523	0.0262414	0.0799695	0.116264	0.104746	0.586555
a	0.24199	0.0640223	0.255928	0.192065	0.0583396	0.0674145	0.120241
y	0.00322086	0.0021252	0.979163	0.00886133	0.000347664	0.000593714	0.005688
é	0.0109847	0.000699861	0.971355	0.011342	0.00283217	0.000294693	0.00249151
b	0.0391056	0.00164846	0.86872	0.0363173	0.0226562	0.000571015	0.0309818
h	0.0145	0.002854	0.808814	0.0750645	0.0897941	0.00173268	0.00724059
á	0.0373216	0.0057562	0.3044	0.272793	0.0964795	0.0035586	0.279692
o	0.00586717	0.00107405	0.188248	0.278786	0.492654	0.00791085	0.0254607
b	0.00339606	0.000778653	0.0774775	0.809496	0.0533368	0.0220566	0.0334588
h	0.00110077	0.000718886	0.0168538	0.929097	0.0228207	0.0125006	0.0169086
a	0.000735269	0.000159742	0.00492992	0.977868	0.00441824	0.000567466	0.011321
n	0.00683968	0.000271839	0.0219047	0.70193	0.122375	0.0034368	0.143243
d	0.00818711	0.00082461	0.00870505	0.328809	0.142457	0.0124448	0.498572
á	0.00571139	0.000722606	0.00124666	0.0353346	0.167571	0.0647885	0.724625
n	0.00167848	0.00019506	0.0081285	0.0436437	0.390925	0.226107	0.329322
g	0.00647572	0.00239301	0.000898581	0.0154297	0.247237	0.473143	0.254422
ω	0.0017636	0.00035108	7.53795e-05	0.000513421	0.0179338	0.958381	0.0209817
l	0.000307182	6.15465e-05	0.000267345	0.00220245	0.0284233	0.882239	0.0864991
ω	0.000677845	0.000187712	0.00801422	0.0262254	0.124834	0.428032	0.41203
</S>	0.00682399	9.87819e-05	0.00454356	0.00942849	0.384127	0.0344224	0.560556
