 	il	est	à	l'	arrière	de	la	file	</S>
w	0.626486	0.149649	0.0635592	0.0452019	0.0408909	0.021872	0.0519366	0.00016348	0.000240786
a	0.623193	0.0634008	0.0221384	0.0421043	0.0134784	0.0341971	0.201094	0.000313682	7.96533e-05
a	0.179953	0.459498	0.143863	0.0454438	0.0284383	0.0490863	0.0664502	0.00228281	0.0249839
d	0.0565122	0.448919	0.241907	0.0487845	0.0193841	0.0515375	0.0896346	0.00617885	0.0371422
i	0.0107761	0.247595	0.326045	0.191251	0.0449246	0.0562468	0.0231331	0.00389836	0.0961304
m	0.00666135	0.0478585	0.408082	0.308453	0.0436459	0.0766188	0.0474656	0.0062812	0.0549341
ó	0.0181508	0.064057	0.333468	0.341959	0.0379532	0.0648658	0.0309209	0.00170965	0.106916
n	0.0410528	0.0652078	0.216363	0.175045	0.280332	0.0984108	0.0710001	0.0269292	0.0256604
g	0.00209041	0.00140654	0.0309906	0.0737215	0.846866	0.0155203	0.00467317	0.00592069	0.0188113
ω	0.0018395	0.0025879	0.0228783	0.0479998	0.871835	0.0311974	0.00424624	0.0125206	0.00489511
n	0.00109724	0.00218624	0.0135666	0.0225073	0.791156	0.0314002	0.00753588	0.10405	0.0265008
g	0.0028163	0.00345375	0.0635806	0.132964	0.442849	0.0542305	0.0140133	0.0212702	0.264823
ω	0.00801819	0.00124413	0.00773402	0.0216326	0.905708	0.0241341	0.00343918	0.00939419	0.0186953
y	0.0166475	0.00867266	0.0608456	0.126947	0.188616	0.375389	0.142314	0.0499035	0.0306643
á	0.0203001	0.0114156	0.0463213	0.11191	0.305379	0.171836	0.168114	0.0527678	0.111957
ω	0.00918875	0.00549998	0.0170705	0.03252	0.0348209	0.108522	0.629921	0.158583	0.00387333
l	0.00179717	0.00429265	0.00715228	0.0144955	0.00947327	0.031554	0.055588	0.868142	0.00750499
ω	0.000617167	0.0105131	0.0437515	0.0555549	0.00946563	0.0729013	0.129886	0.646821	0.0304889
n	0.000100501	0.00107939	0.00598445	0.0104794	0.0214178	0.0317924	0.0292433	0.89055	0.00935292
g	0.000155191	0.00380047	0.00631866	0.0103297	0.0371115	0.102152	0.0559727	0.664505	0.119654
ώ	0.00611164	0.000925119	0.00371835	0.0149223	0.365257	0.215966	0.115144	0.188492	0.0894636
</S>	0.00505227	0.00168755	0.0114916	0.0194289	0.0140339	0.062613	0.0439439	0.00544011	0.836309
