 	où	est	celui	qui	a	enfoncé	cette	pointe	dans	la	planche	</S>
o	0.407921	0.0894894	0.0941056	0.100857	0.091382	0.0304927	0.093172	0.0473678	0.0319957	0.0100899	0.000378094	0.00274879
k	0.00553996	0.020939	0.0356077	0.116136	0.241994	0.361901	0.0853112	0.0613983	0.0361526	0.00396932	0.0284813	0.00256881
w	0.00174751	0.0094038	0.0177199	0.0216688	0.134584	0.414791	0.0586181	0.194255	0.12424	0.00455227	0.0109391	0.00748048
έ	0.000506376	0.0116571	0.0322595	0.0496392	0.183781	0.182776	0.109647	0.305214	0.118339	0.00268312	0.00166387	0.00183392
r	0.0146609	0.0218234	0.046449	0.0979293	0.0748231	0.089341	0.242486	0.330654	0.0364739	0.0132917	0.00351259	0.0285551
i	0.0204809	0.0111187	0.00957666	0.0422763	0.0317684	0.260081	0.183894	0.360286	0.0589429	0.0126639	0.00205084	0.00686115
t	0.0196963	0.0402844	0.0450136	0.0558289	0.038052	0.0817176	0.178456	0.283815	0.171988	0.0555687	0.0204201	0.00915953
s	0.00603228	0.00650099	0.00838915	0.018043	0.0235235	0.059168	0.0759549	0.60052	0.155548	0.00659429	0.0264072	0.0133195
έ	0.000919417	0.00129861	0.00443256	0.00911725	0.0164271	0.096436	0.0946811	0.595422	0.157035	0.00442707	0.0156287	0.00417494
r	0.00197685	0.00183262	0.00333917	0.00934176	0.0161082	0.046232	0.129154	0.478489	0.205597	0.0285167	0.035897	0.0435158
έ	0.000377707	0.000276075	0.000638693	0.00769655	0.012228	0.0818738	0.191116	0.365647	0.286415	0.0330894	0.00893015	0.0117115
w	0.00244429	0.00426426	0.00616471	0.0270403	0.0474036	0.0865975	0.0974149	0.11384	0.247928	0.309959	0.0354154	0.0215284
ó	0.0272142	0.021857	0.0291464	0.0643973	0.103096	0.172489	0.095527	0.196451	0.120905	0.0572189	0.0776082	0.0340892
s	0.00629034	0.00718776	0.0094709	0.010836	0.0347629	0.0312635	0.069829	0.113738	0.285554	0.169365	0.125238	0.136464
í	0.0113255	0.0130456	0.0107229	0.0207967	0.0279454	0.0486256	0.0812703	0.0339134	0.239462	0.160046	0.224186	0.128661
b	0.0280335	0.0133534	0.0148125	0.0176582	0.0135034	0.0145323	0.0360615	0.0210423	0.09341	0.325328	0.306797	0.115467
á	0.00161373	0.0035612	0.00194283	0.00124931	0.00353125	0.0102371	0.00781808	0.00482533	0.033118	0.0123443	0.902323	0.0174358
y	0.00231207	0.00749882	0.0101055	0.00998528	0.0200587	0.0170872	0.0247515	0.00966676	0.0919953	0.146841	0.53184	0.127858
á	0.00501044	0.00565416	0.00636817	0.0115433	0.0124834	0.0287413	0.0178107	0.010345	0.0764261	0.114415	0.257815	0.453388
a	0.0117089	0.0106228	0.0128781	0.0141413	0.0193798	0.0192768	0.0344885	0.021394	0.0871506	0.306567	0.0613514	0.401041
d	0.000470941	0.00213461	0.00197881	0.00281255	0.00979081	0.00984755	0.00624091	0.00246034	0.0252507	0.100973	0.0481937	0.789846
é	0.000104683	0.000925556	0.000977762	0.00182399	0.00543993	0.00606932	0.0025157	0.000575054	0.0170225	0.0686515	0.101921	0.793973
e	0.000862975	0.00256064	0.00373998	0.00911203	0.0220743	0.0190812	0.0198609	0.0042973	0.0520026	0.368185	0.020545	0.477678
</S>	0.000654517	0.00442665	0.00345792	0.00676343	0.0189123	0.0351026	0.0132201	0.00715756	0.0240463	0.096152	0.0331899	0.756917
