 	l'	espèce	d'	igname	que	tu	as	acheté	s'	appelle	porooro	</S>
e	0.588536	0.213103	0.134158	0.00936021	0.032417	0.0117241	0.00747075	0.00022816	0.0022714	0.000445938	0.00024161	4.47378e-05
d	0.081943	0.817553	0.00695312	0.0508888	0.000732998	0.000211072	0.0011366	0.0248851	0.00905083	0.00250868	0.00337282	0.000763936
z	0.064277	0.841849	0.0102656	0.0590548	0.00198295	1.64738e-05	3.64099e-05	0.0079535	0.000736938	0.000550222	8.24422e-05	0.0131947
á	0.0222487	0.778732	0.0096878	0.173984	0.00197471	0.000307628	0.00135644	0.00897771	0.000231147	0.000748477	3.1937e-05	0.00171995
á	0.0507766	0.481985	0.075983	0.113969	0.0349474	0.00194438	0.00130886	0.000775299	0.0168659	0.0164208	0.00128574	0.203738
g	0.0907017	0.0688522	0.402344	0.120608	0.0896563	0.122122	0.0564167	0.0183501	0.010094	0.00560248	0.000798492	0.0144544
h	0.1118	0.212907	0.152886	0.221546	0.0894888	0.0101499	0.0218826	0.00718416	0.0390476	0.0303058	7.10118e-06	0.102795
á	0.0757348	0.186111	0.135574	0.330992	0.179274	0.0184729	0.00813796	0.00359657	0.00922231	0.0130422	3.36857e-05	0.0398085
y	0.0320258	0.0796813	0.28089	0.142609	0.269094	0.0797744	0.0560698	0.00410543	0.0132792	0.0151352	0.00080964	0.026526
é	0.0320177	0.065809	0.293301	0.139203	0.415341	0.0160959	0.00709846	0.01263	0.00132	0.00411037	0.00219492	0.0108785
é	0.0187372	0.0235548	0.190856	0.0674929	0.525865	0.0464464	0.0253611	0.0438855	0.0084615	0.0154027	0.0031421	0.0307953
s	0.00148247	0.00675955	0.0057069	0.0146459	0.00684322	0.00281356	0.0115776	0.874667	0.0333476	0.026098	0.00112444	0.0149342
ó	6.43105e-05	0.000306776	0.000206323	0.00228973	0.0003149	6.62028e-05	0.000177307	0.992553	0.00191141	0.00114723	2.68575e-06	0.000959729
m	0.00739524	0.00452605	0.019671	0.0173132	0.0402373	0.00202252	0.00222459	0.784236	0.0220459	0.0509904	0.0085166	0.0408211
b	0.00445179	0.00560788	0.0153033	0.0105454	0.0285184	0.00184047	0.00273648	0.828276	0.0189791	0.0464138	0.0134124	0.0239155
í	0.0332599	0.070503	0.0480425	0.0552342	0.0732789	0.0126356	0.0150802	0.0987773	0.237702	0.0844639	0.00933951	0.261683
n	0.00312659	0.00347188	0.0488573	0.0124985	0.0882017	0.425475	0.231444	0.0105414	0.101951	0.0467597	0.0175562	0.010117
ω	0.00413838	0.00616774	0.0100538	0.00551167	0.0446728	0.294396	0.590659	0.00142248	0.0225435	0.00585945	0.000177543	0.014398
y	0.00175646	0.00171445	0.0313641	0.00555646	0.0397756	0.119246	0.0638169	0.0180953	0.416312	0.138947	0.0024547	0.160961
é	0.0123666	0.00637618	0.0383087	0.00474929	0.067745	0.00367886	0.00319557	0.0140861	0.0450418	0.154105	0.526606	0.123741
é	0.00350038	0.00263845	0.0190926	0.00360439	0.0739999	0.018849	0.0122875	0.0265836	0.110836	0.220004	0.339302	0.169303
d	0.000649444	0.000588331	0.0019486	0.000305844	0.000897761	0.000679765	0.00186727	0.0147787	0.189433	0.50767	0.0662434	0.214938
í	0.00100639	0.00151699	0.00166633	0.00101542	0.000367603	0.000207231	0.00242315	0.0172191	0.160072	0.253638	0.0144775	0.546391
p	0.00219619	0.000558266	0.00333423	0.00103043	0.00217707	0.00268104	0.00669806	0.00338281	0.0676728	0.191341	0.282892	0.436036
o	0.00013767	6.78522e-05	6.53382e-05	0.000109636	0.000149245	0.00029849	0.000678934	0.000132112	0.0138264	0.0794108	0.776278	0.128845
l	3.34883e-05	2.74647e-05	3.28794e-05	0.000104932	0.000151315	8.41109e-05	5.1448e-05	5.27248e-05	0.00209658	0.0201539	0.941173	0.0360376
ó	0.000656536	0.000423626	0.00157902	0.00019214	0.00272393	0.00071543	0.00141092	0.0011629	0.0439894	0.109295	0.637266	0.200585
o	0.000466879	0.000310957	0.00307941	0.000181781	0.00576501	0.00188534	0.00240567	0.000681217	0.0537764	0.188527	0.216594	0.526326
l	0.00214994	0.000951345	0.00476796	0.000506527	0.00255983	0.000164574	0.000455655	0.00729992	0.0433206	0.202256	0.10176	0.633808
ó	0.0012785	0.00150691	0.0033906	0.000961143	0.00177068	0.00056772	0.00251535	0.00777201	0.061686	0.163942	0.0519245	0.702685
</S>	0.000890468	0.000399236	0.0087025	0.000259154	0.00502555	0.00147654	0.00227795	0.00126642	0.020999	0.100015	0.0512389	0.80745
