 	les	femmes	sont	en	train	de	vider	la	deuxième	partie	de	l'	étang	</S>
a	0.915298	0.0752854	0.00536078	0.00207288	0.00020069	0.000614321	0.000331082	0.000420065	4.65542e-05	4.30792e-05	9.73155e-05	0.000144032	4.57817e-05	4.0184e-05
y	0.019033	0.975069	0.00365597	0.000155401	0.00146958	4.93952e-05	0.000215651	4.20142e-05	2.9729e-05	5.27796e-05	3.55869e-05	3.87817e-05	0.000110037	4.32188e-05
ú	0.7603	0.219016	0.0138991	0.00149825	0.000290907	0.000129481	0.000156079	0.000636209	0.00048206	0.00078978	0.000842882	0.000605915	0.00098616	0.000367132
r	0.896454	0.065372	0.00951684	0.00140091	0.00029948	0.000196775	0.00169407	0.00140969	0.000176211	0.00252796	0.00450521	0.00325386	0.00224276	0.0109507
u	0.706018	0.16456	0.104225	0.00847081	0.000569897	0.00105337	0.00113081	0.00446616	0.000271433	0.0018885	0.00127965	0.00131576	0.000418279	0.00433278
á	0.0582395	0.0198426	0.433959	0.306401	0.0717203	0.0580649	0.00686418	0.0152793	0.00283636	0.00585705	0.00314286	0.0035117	0.000332141	0.013949
b	0.0346706	0.013457	0.235755	0.107082	0.01761	0.322383	0.110801	0.0424144	0.0376897	0.0139365	0.0250945	0.00949447	0.00693351	0.0226789
h	0.00424763	0.00134826	0.0369553	0.0701361	0.0520609	0.197456	0.572628	0.0363068	0.00346615	0.0057375	0.0105006	0.00372074	0.000229212	0.00520747
i	0.198341	0.00973171	0.0490599	0.131869	0.0161021	0.189908	0.352133	0.0373815	0.0021908	0.00324443	0.00755443	0.00140796	0.0001657	0.000911695
b	0.00536794	0.000594235	0.068367	0.184345	0.0397688	0.122098	0.483878	0.055495	0.0110133	0.00925874	0.00579854	0.001622	0.00158989	0.0108041
á	0.0244803	0.000563233	0.0208366	0.0494065	0.00152113	0.100845	0.171482	0.490708	0.0684102	0.0245158	0.0209282	0.0110367	0.00313188	0.012134
a	0.00755579	0.000687828	0.106096	0.126174	0.00359555	0.107651	0.161453	0.39423	0.0519558	0.0105632	0.00735716	0.00418955	0.00129637	0.0171956
t	0.00292865	0.00400271	0.0150266	0.00739282	0.00180253	0.156906	0.259643	0.238302	0.187222	0.0520632	0.0397079	0.0107989	0.0120209	0.0121843
ó	0.0009899	0.000333169	0.0062244	0.00227425	0.000216232	0.0297085	0.242191	0.0578566	0.505456	0.0682178	0.0387297	0.00449083	0.0333943	0.00991746
á	0.00127889	8.10504e-05	0.0237525	0.0146583	0.00297734	0.0998735	0.251887	0.179804	0.337661	0.0355439	0.0129389	0.0026652	0.0105884	0.0262894
m	0.00752842	0.000217712	0.00866954	0.00700152	0.000574596	0.0163787	0.0103758	0.195632	0.0568107	0.37535	0.169548	0.109328	0.0090483	0.0335367
b	0.0180741	0.0141313	0.00520098	0.00261083	0.000308089	0.0189832	0.0633886	0.0199777	0.00809111	0.20016	0.344125	0.0918736	0.00312648	0.209949
v	0.0534422	0.000496199	0.00299437	0.0102622	0.00164571	0.0148275	0.40577	0.0706294	0.00678799	0.0326906	0.277637	0.0685471	0.00615014	0.0481196
u	0.0563033	0.000424829	0.00344102	0.0293726	0.00953133	0.00533705	0.279541	0.0852418	0.00576972	0.0264104	0.169787	0.0702494	0.0266631	0.231927
u	0.0094583	8.05918e-05	0.00340957	0.00202544	0.000579667	0.00247256	0.129702	0.0482949	0.107233	0.171876	0.384281	0.0537683	0.0322632	0.054556
y	0.00132506	5.60777e-06	0.00027961	4.16717e-05	1.2251e-06	0.000330833	0.00109102	0.00963273	0.00357746	0.283172	0.266101	0.229844	0.0127327	0.191865
é	0.00925814	0.00018729	0.00429603	0.000762441	2.15789e-05	0.00213593	0.00233379	0.0236885	0.0160193	0.28566	0.191343	0.216023	0.0403503	0.207921
t	0.00279351	9.74731e-05	0.000788815	0.000300745	9.23423e-05	0.000578301	0.00179511	0.00456441	0.0102799	0.0645579	0.0761168	0.166017	0.538719	0.133299
ó	0.000359753	7.87664e-05	0.000699368	0.000275805	6.76061e-05	0.00102881	0.00205567	0.00408804	0.0709738	0.0589893	0.101555	0.0501695	0.679991	0.0296678
n	0.000110579	1.30245e-05	0.000251322	0.000368668	0.000947386	0.000337635	0.00166261	0.00219455	0.105822	0.00903725	0.0106363	0.0101935	0.832556	0.0258691
g	0.0012254	0.000184762	0.00324602	0.00315781	0.00284464	0.0055319	0.0131438	0.00756135	0.0455637	0.0273693	0.0317384	0.0400137	0.653511	0.164908
o	0.000366212	3.79581e-05	0.000471704	0.0011845	0.00342312	0.000166506	0.00113826	0.00204397	0.0131035	0.00350232	0.00543241	0.0091926	0.87648	0.0834565
</S>	0.0084897	0.000693363	0.00899341	0.0047426	0.000868861	0.00573269	0.00272033	0.0148337	0.00226684	0.0185572	0.0182502	0.0583888	0.063465	0.791997
