 	il	presse	l'	abcès	</S>
w	0.94956	0.0262376	0.0216473	0.00228721	0.00026839
a	0.977618	0.00554753	0.0141744	0.00226056	0.000399663
l	0.193578	0.580574	0.212385	0.000603655	0.0128592
á	0.0822691	0.142479	0.256327	0.00455552	0.51437
a	0.276793	0.129289	0.354079	0.0269163	0.212922
b	0.0181	0.84102	0.100018	0.020137	0.020726
h	0.0319693	0.841283	0.104654	0.0119838	0.0101099
í	0.00639478	0.808802	0.0879894	0.0858667	0.0109474
n	0.0332876	0.366719	0.203001	0.211678	0.185314
á	0.00945934	0.436625	0.31976	0.0204649	0.213691
o	0.0590078	0.154097	0.485209	0.188014	0.113671
b	0.000802916	0.00619852	0.0396765	0.93556	0.017762
i	0.000843842	0.00488348	0.0230392	0.959357	0.0118761
b	0.000326217	0.0203761	0.0950547	0.660835	0.223408
h	0.000903745	0.0296704	0.0599535	0.388531	0.520941
a	0.00244184	0.0270199	0.057128	0.117851	0.795559
</S>	0.001435	0.0200778	0.0787832	0.0354824	0.864222
