 	ce	jeune	garçon	est	respectueux	</S>
m	0.77901	0.159991	0.0383699	0.00469902	0.0174211	0.000508672
w	0.201251	0.613831	0.140852	0.0101337	0.00825833	0.0256739
á	0.0584892	0.56855	0.369673	0.000825771	0.00238567	7.57337e-05
n	0.20035	0.639628	0.136654	0.00219102	0.00226232	0.0189149
a	0.0589679	0.741889	0.139237	0.00576442	0.00115408	0.0529882
i	0.825106	0.104108	0.0231736	0.0240271	0.00734407	0.0162412
b	0.371507	0.191541	0.225228	0.127231	0.0182067	0.0662856
a	0.00571142	0.038339	0.878948	0.0321227	0.012934	0.0319453
a	0.148434	0.0780554	0.441032	0.0595233	0.115688	0.157268
w	0.0945178	0.0752987	0.380992	0.340948	0.00627244	0.101971
ó	0.0720925	0.0178901	0.0190184	0.476194	0.0089267	0.405878
a	0.0743128	0.0262253	0.0894469	0.537659	0.0125823	0.259774
d	0.00641349	0.00193818	0.0158279	0.794437	0.0259432	0.15544
í	0.00572017	0.00268226	0.0124959	0.645111	0.0159161	0.318075
l	0.0158379	0.00371328	0.00725315	0.194815	0.465968	0.312413
a	0.00115944	0.000325009	0.00136505	0.184545	0.202504	0.610101
k	0.00194803	0.000615227	0.00188812	0.0596755	0.817431	0.118442
a	0.00027306	7.35392e-05	0.000436606	0.00903689	0.967518	0.0226623
n	0.000505495	0.000128442	0.00104813	0.0646895	0.810188	0.12344
d	0.00123366	6.62417e-05	0.000463672	0.0595464	0.795362	0.143328
u	0.00246894	0.000450875	0.000990174	0.0831849	0.617389	0.295516
l	0.00250912	0.000135652	0.000119544	0.0403784	0.166848	0.790009
á	0.0233497	0.000508074	0.000164261	0.0921685	0.181106	0.702704
b	0.0459585	0.00228016	0.0021466	0.0622951	0.52063	0.36669
a	0.00486612	0.00600113	0.0067865	0.0478379	0.781362	0.153147
r	0.00192801	0.00100612	0.00209732	0.0246168	0.511233	0.459119
e	0.00307331	0.00017731	0.000638789	0.0202834	0.567254	0.408573
</S>	0.00780772	0.00115589	0.00192037	0.0615348	0.0742872	0.853294
