 	okaa	cherche	son	enfant	</S>
o	0.997892	0.00104394	0.00101699	3.72754e-05	9.93051e-06
k	0.98998	0.00955468	6.03867e-05	0.000219275	0.000185142
á	0.996427	0.00304681	9.77323e-05	7.05555e-05	0.000357916
á	0.912494	0.0217919	0.00242674	0.000493027	0.0627946
l	0.141841	0.635038	0.0582386	0.00646842	0.158413
á	0.0246469	0.299282	0.0315713	0.00340876	0.641091
a	0.0251114	0.36645	0.335128	0.14919	0.124121
y	0.00566815	0.943229	0.0298862	0.00643316	0.0147837
é	0.000211411	0.93729	0.0508037	0.00148653	0.0102079
n	0.000225418	0.743093	0.148529	0.0126468	0.0955053
g	0.0034905	0.861649	0.0812112	0.00285378	0.0507951
á	0.0125319	0.676691	0.150685	0.00880615	0.151286
m	0.000488363	0.0323026	0.730904	0.20931	0.0269948
w	6.58345e-06	0.000307576	0.00553796	0.983827	0.0103208
á	1.14485e-05	5.94994e-05	0.00112807	0.997945	0.000855893
n	3.4056e-06	8.40516e-05	0.0040912	0.99042	0.00540161
a	1.33734e-05	0.0018401	0.0285614	0.944825	0.0247597
y	0.00135927	0.318229	0.365479	0.0200205	0.294913
a	0.00180425	0.151697	0.485969	0.0569858	0.303544
w	0.00121363	0.023159	0.604354	0.1559	0.215374
a	0.00738607	0.0110614	0.428451	0.269793	0.283309
</S>	8.97353e-05	0.0153862	0.186888	0.027185	0.770451
