 	comment	appelle-t-on	cet	arbre	</S>
b	0.422649	0.542153	0.0208633	0.0137695	0.000565107
á	0.186533	0.70884	0.0637094	0.0377649	0.00315289
a	0.0748255	0.837472	0.0157018	0.0166072	0.0553934
b	0.199908	0.433888	0.290729	0.0124161	0.0630578
é	0.0320689	0.567735	0.229155	0.13173	0.0393111
á	0.111545	0.263164	0.279118	0.0568533	0.28932
i	0.125354	0.115997	0.571733	0.0532455	0.133671
b	0.060171	0.0583403	0.484241	0.232684	0.164563
v	0.0272479	0.0701238	0.102087	0.739846	0.0606956
ú	0.0408135	0.0573965	0.133386	0.735554	0.0328502
á	0.0184069	0.0154593	0.172887	0.57209	0.221157
d	0.0195797	0.0107584	0.461229	0.29971	0.208723
í	0.00232612	0.00101809	0.110918	0.0799277	0.80581
n	0.00398711	0.00543882	0.107417	0.212834	0.670323
d	0.0223562	0.00571696	0.120588	0.159975	0.691363
e	0.0175866	0.00664331	0.180711	0.198452	0.596607
e	0.00340263	0.000548239	0.121902	0.156649	0.717499
</S>	0.00454	0.00115837	0.0973753	0.235805	0.661121
