 	le	sol	durcit	pendant	la	saison	sèche	</S>
l	0.705604	0.263128	0.00636416	0.00229475	0.00426578	0.0167884	0.00136573	0.000188984
e	0.801831	0.167873	0.00356261	0.0089429	0.00681098	0.00589739	0.00256383	0.00251903
t	0.322615	0.629198	0.00107582	0.0139849	0.00320293	0.00301296	0.00482093	0.0220889
s	0.0364727	0.805636	0.0153355	0.0332197	0.0131836	0.00647057	0.0411192	0.0485633
ε	0.0403889	0.886558	0.0242789	0.0238712	0.0100826	0.00310925	0.00567589	0.00603506
n	0.459481	0.253404	0.034474	0.00918708	0.0285688	0.0275199	0.0183459	0.16902
g	0.107825	0.4501	0.0858794	0.0705816	0.0753901	0.00854906	0.0132466	0.188428
ε	0.30652	0.488139	0.0430192	0.0403431	0.043996	0.00629539	0.00568434	0.0660032
l	0.0793294	0.043989	0.284856	0.473565	0.0751281	0.0192437	0.00442334	0.0194656
í	0.0806443	0.0232976	0.184468	0.34566	0.0669564	0.0210553	0.00615437	0.271764
i	0.169639	0.0579006	0.223719	0.397069	0.0479398	0.0309327	0.00723772	0.0655624
b	0.0162673	0.0159257	0.605283	0.204594	0.0934621	0.0205766	0.0137045	0.0301861
h	0.00326794	0.00130789	0.883755	0.0417899	0.0433177	0.00376589	0.00724154	0.0155544
á	0.00363822	0.00161681	0.801082	0.0466228	0.10446	0.00370116	0.0145754	0.0243028
m	0.00156867	0.0012042	0.358113	0.204498	0.279566	0.0170791	0.0238035	0.114167
á	0.0108397	0.000804926	0.55181	0.113846	0.132967	0.012443	0.0189323	0.158357
l	0.00584835	0.00449541	0.0439235	0.241777	0.209991	0.231818	0.157558	0.104588
e	0.00520782	0.00154727	0.0350414	0.215625	0.244116	0.120137	0.106501	0.271824
b	0.00296232	0.000340495	0.00729002	0.0334542	0.0589324	0.195943	0.599102	0.101976
h	0.0241993	0.00138648	0.0484348	0.0443843	0.135967	0.0672054	0.63818	0.0402428
ó	0.00249228	0.00108645	0.0525737	0.0125751	0.0831621	0.0425452	0.667359	0.138206
y	0.000231275	0.000176306	0.00438029	0.0162542	0.0570609	0.105413	0.572869	0.243615
á	0.00639525	0.0021735	0.0154813	0.0625057	0.0838635	0.0842373	0.361062	0.384281
</S>	0.00993275	0.00183764	0.0155071	0.0282677	0.0382816	0.14436	0.549344	0.212468
