 	on	a	engagé	une	procédure	pour	retracer	la	généalogie	du	défunt	chef	coutumier	</S>
á	0.93274	0.0441033	0.00142883	0.00288971	0.000490908	0.00102737	0.000152108	0.00187341	0.000241104	0.00261458	0.00272964	0.00106954	0.00858336	5.61798e-05
b	0.0218411	0.0600335	0.655829	0.143093	0.0915322	0.0104759	0.00287802	0.00233734	0.00195665	0.00170136	0.00455084	0.00176224	0.00120036	0.000807856
h	0.00260504	0.00719447	0.704432	0.0308834	0.216051	0.00531599	0.00902205	0.00240713	0.00294795	0.0030202	0.00372	0.00226011	0.000648717	0.00949208
é	0.00342535	0.0244889	0.637469	0.0905192	0.221567	0.00886683	0.00403515	0.00138854	0.00106177	0.00106937	0.00345564	0.001616	0.000272048	0.000765974
m	0.0457013	0.0672964	0.515922	0.129807	0.155111	0.0126899	0.01278	0.00500607	0.00838317	0.00279564	0.00631492	0.00299393	0.00442344	0.0307763
b	0.0279603	0.102313	0.305436	0.238012	0.197202	0.0439464	0.0114007	0.0213909	0.00400478	0.0113859	0.00293905	0.00305768	0.00406922	0.0268822
i	0.0790478	0.0836856	0.0833642	0.29653	0.332371	0.055454	0.0153558	0.00848553	0.00887012	0.004895	0.00838883	0.0085461	0.00229059	0.0127151
s	0.131119	0.0985795	0.0106426	0.290745	0.272429	0.0920783	0.0212444	0.0183855	0.00907448	0.0138307	0.0155948	0.00653345	0.00553653	0.0142067
i	0.00750086	0.0195919	0.0301801	0.146777	0.496586	0.0794593	0.130964	0.0198066	0.00843134	0.0172065	0.00634295	0.00990808	0.00118347	0.0260616
ó	0.0429264	0.082854	0.0100779	0.26439	0.144303	0.238271	0.0618546	0.064912	0.0134027	0.0207798	0.0210971	0.00638814	0.000982687	0.0277613
l	0.000434679	0.00427816	0.0257504	0.0302969	0.0793594	0.341953	0.465172	0.0174326	0.0173328	0.00443374	0.003532	0.00586076	0.00241177	0.00175165
έ	0.000212081	0.00604917	0.0385016	0.0451382	0.0864533	0.198164	0.474278	0.0227025	0.0247954	0.0117644	0.0298823	0.0150765	0.00168615	0.0452971
n	2.38439e-05	0.000690654	0.00914172	0.0186716	0.0393041	0.103615	0.633757	0.0518189	0.00688601	0.0161938	0.00999311	0.00755795	0.000976481	0.10137
g	0.000536689	0.00185747	0.00161423	0.0356121	0.0295756	0.268228	0.563342	0.0564893	0.00215961	0.0145441	0.00405935	0.0087569	0.001351	0.0118736
έ	0.0066393	0.00514486	0.00143568	0.0520452	0.0317885	0.0996243	0.703734	0.0615769	0.000927979	0.00925343	0.00602933	0.00660877	0.000649689	0.0145426
m	0.000720726	0.00424005	0.000900587	0.0168506	0.0118355	0.155113	0.11772	0.517133	0.09613	0.0399759	0.0179035	0.00988825	0.00208003	0.00950873
é	0.000983203	0.00162895	0.00291355	0.00176646	0.00251785	0.0131464	0.0086289	0.243394	0.540241	0.111958	0.0064201	0.00586697	0.0183835	0.042151
b	0.000469698	0.00234527	0.00348565	0.00586982	0.00495579	0.0355339	0.0256888	0.120951	0.293726	0.150243	0.101584	0.143712	0.0828285	0.0286061
e	0.000655624	0.00085161	0.00132554	0.00538631	0.0119692	0.0142392	0.00444727	0.0294079	0.517614	0.0895534	0.121148	0.097837	0.0923561	0.013209
m	4.74549e-05	0.000479009	0.00148493	0.00310972	0.00895537	0.0235517	0.0132601	0.0933093	0.300543	0.115461	0.259844	0.0931333	0.0424419	0.0443793
b	0.000351202	0.000240381	0.00131778	0.000636868	0.000846982	0.00642556	0.00244074	0.190666	0.59657	0.116631	0.0113223	0.0199607	0.0260477	0.0265429
e	0.00112512	0.000352461	0.00161003	0.0022791	0.00458844	0.0137785	0.0109391	0.132926	0.59397	0.0792835	0.0232069	0.0643857	0.0414487	0.0301064
y	0.000184609	0.000766218	0.000622862	0.00285757	0.00259277	0.0176132	0.0212202	0.146589	0.0578833	0.345721	0.178555	0.121032	0.0385736	0.0657884
á	0.00619115	0.0314301	0.00196837	0.0245835	0.00340116	0.0167616	0.0245072	0.107116	0.0278068	0.336699	0.122692	0.186201	0.0559913	0.0546523
m	0.00245643	0.00603564	0.000656679	0.00703366	0.00322144	0.00461617	0.00572243	0.0227215	0.0220585	0.37211	0.254092	0.23599	0.0160145	0.0472704
w	0.000117161	0.000508618	0.00357517	0.000797614	0.000579999	0.00168652	0.000672508	0.0276595	0.123191	0.221791	0.0356306	0.0696945	0.409179	0.104917
ε	0.000186644	0.00047525	0.00108928	0.000412055	0.00158487	0.000787038	0.00114684	0.00691751	0.218444	0.0601098	0.037396	0.16221	0.49464	0.0146005
n	4.663e-06	3.90493e-05	0.00131937	0.000117047	0.000528523	0.00300453	0.00404661	0.0176252	0.249659	0.0935482	0.039187	0.10423	0.337942	0.148749
έ	0.000347856	0.000224476	0.0009217	0.000763165	0.000557606	0.00406869	0.0256622	0.10126	0.0641523	0.174881	0.0773285	0.390827	0.0645796	0.0944263
</S>	0.000387443	0.000734446	0.00037036	0.000650637	0.00050747	0.00287115	0.00218667	0.0652306	0.024852	0.414029	0.0799865	0.0459945	0.0101856	0.352014
