 	il	mit	la	tête	en	bas	</S>
w	0.691956	0.259531	0.035084	0.00674216	0.00505754	0.00148846	0.000140578
a	0.808854	0.140473	0.0204722	0.00231551	0.0216989	0.00604723	0.000139237
a	0.339009	0.367627	0.225429	0.0191755	0.0188907	0.00774408	0.0221245
k	0.090172	0.457298	0.320695	0.0615549	0.0293841	0.00584014	0.0350554
a	0.0212524	0.600859	0.127958	0.200437	0.0168362	0.00473269	0.0279251
n	0.0163556	0.626483	0.184701	0.0938768	0.0192078	0.00239281	0.056983
í	0.158588	0.375326	0.31881	0.033065	0.0206951	0.00595971	0.0875556
i	0.0426399	0.0738506	0.470807	0.238492	0.142319	0.0190302	0.0128605
b	0.0219777	0.0962645	0.16506	0.563102	0.0731781	0.0423559	0.0380624
o	0.0316717	0.158776	0.0969839	0.50692	0.136035	0.051157	0.018456
ó	0.00399425	0.0564179	0.0771786	0.531818	0.153609	0.0952373	0.0817448
m	0.00299414	0.00739042	0.0844296	0.0346169	0.574174	0.118423	0.177972
ó	0.0244119	0.00349491	0.0634256	0.0662927	0.210151	0.233283	0.398941
t	0.00727304	0.00505295	0.0304616	0.026117	0.11132	0.65831	0.161466
s	0.0157136	0.0235822	0.0659621	0.103062	0.109176	0.486886	0.195619
é	0.001599	0.00428839	0.0151484	0.0258181	0.0597932	0.776997	0.116356
</S>	0.00104827	0.00286324	0.00373361	0.00413701	0.0313119	0.312074	0.644832
