 	il	bégaie	je	le	comprends	difficilement	</S>
w	0.798036	0.124376	0.0269803	0.0194944	0.0239604	0.00669719	0.000455675
a	0.663467	0.0794234	0.0896614	0.060931	0.0577443	0.0485805	0.000192124
a	0.543414	0.210649	0.0860302	0.0987648	0.0192508	0.0172716	0.0246198
d	0.169087	0.285471	0.137798	0.141602	0.0429505	0.0409956	0.182097
í	0.150718	0.323625	0.0770363	0.113489	0.0146426	0.00920632	0.311282
l	0.0349112	0.189144	0.126256	0.0784545	0.0401611	0.037051	0.494022
a	0.0979299	0.269325	0.15011	0.113408	0.0129575	0.0291099	0.327159
l	0.238238	0.370404	0.161039	0.0681439	0.00902956	0.040301	0.112845
e	0.0479938	0.477839	0.158296	0.12796	0.0216379	0.0248907	0.141382
k	0.0284676	0.433028	0.160171	0.142408	0.0353332	0.0170762	0.183516
e	0.0183377	0.791475	0.0375424	0.0539805	0.0562014	0.00363995	0.0388232
k	0.0176455	0.653431	0.0363947	0.0582333	0.102053	0.0168136	0.115429
e	0.0431594	0.545957	0.0427677	0.0660611	0.0765366	0.0092757	0.216242
m	0.0582767	0.306377	0.134285	0.106085	0.088088	0.0257619	0.281126
i	0.130662	0.254069	0.231742	0.153413	0.114297	0.0107025	0.105114
n	0.0268216	0.0544772	0.295878	0.325681	0.134302	0.0175015	0.145339
g	0.0242967	0.0171093	0.595255	0.203978	0.025684	0.0198942	0.113783
á	0.00171431	0.00200265	0.790903	0.114821	0.017885	0.0144719	0.058202
l	0.0123191	0.0149847	0.162604	0.353323	0.245497	0.153544	0.0577276
í	0.00995896	0.0119695	0.198935	0.29741	0.0437872	0.131472	0.306467
i	0.0180267	0.0121287	0.186287	0.176508	0.0725793	0.46742	0.0670505
b	0.00718201	0.0222577	0.0277532	0.1461	0.206642	0.437068	0.152997
ó	0.00102419	0.00602282	0.0161029	0.139191	0.780174	0.0349266	0.0225588
n	0.000608936	0.00410997	0.00977591	0.126208	0.610254	0.0600005	0.189043
d	0.00149582	0.00862412	0.0137062	0.198663	0.270948	0.0153656	0.491197
a	0.00659226	0.0268433	0.0423915	0.26139	0.170803	0.0222872	0.469693
w	0.00529745	0.0110548	0.0616485	0.246392	0.134317	0.170103	0.371187
a	0.0218329	0.031805	0.0558698	0.13159	0.154895	0.318791	0.285217
m	0.00327179	0.00411955	0.0234153	0.0440103	0.020677	0.435322	0.469184
ó	0.00820317	0.0239862	0.0369263	0.210547	0.188462	0.235558	0.296317
p	0.0127275	0.0314265	0.106724	0.175971	0.143724	0.213775	0.315652
á	0.0114395	0.03958	0.0223694	0.0528424	0.102843	0.355155	0.41577
s	0.00145461	0.0028473	0.00188394	0.00489171	0.00678536	0.863742	0.118395
i	0.00116328	0.00711157	0.00400163	0.0235816	0.0625277	0.543747	0.357868
l	0.00125067	0.00755368	0.00941873	0.0426407	0.0475782	0.245294	0.646264
a	0.0103591	0.0122767	0.0233216	0.0491125	0.0324834	0.238502	0.633945
p	0.0131852	0.0129121	0.0755373	0.0847693	0.035618	0.313882	0.464096
á	0.00966782	0.0302792	0.01891	0.0311874	0.0455421	0.513592	0.350822
s	0.00454822	0.00578984	0.00619897	0.00920347	0.0112187	0.827498	0.135543
i	0.00148368	0.00743252	0.00698575	0.0255746	0.0544703	0.270342	0.633711
</S>	0.00184877	0.0105525	0.018853	0.0637455	0.0480271	0.216976	0.639997
