 	mon	enfant	est	tenu	responsable	pour	tout	ce	qui	se	passe	dans	ce	village	</S>
p	0.612846	0.158489	0.0925173	0.0384568	0.0223361	0.0216401	0.011544	0.0116592	0.0054157	0.0127402	0.000889324	0.00272494	0.00822641	0.000274897	0.000239758
ώ	0.106011	0.277636	0.179523	0.145656	0.0316206	0.0369752	0.0573358	0.05605	0.0135457	0.0223345	0.0108336	0.0304286	0.0283936	0.00224497	0.00141219
ω	0.00352818	0.0731655	0.22889	0.169908	0.0814877	0.0711889	0.0853339	0.0687577	0.0603061	0.063892	0.0271213	0.0272505	0.0155064	0.00208365	0.0215808
é	0.043574	0.0619598	0.626355	0.101575	0.0496709	0.0288996	0.0183526	0.0129196	0.0187489	0.0150578	0.00165574	0.00470382	0.00204265	0.000241054	0.0142441
t	0.0839813	0.0110831	0.492553	0.128385	0.0270346	0.0502241	0.0241564	0.0129123	0.0293416	0.0566305	0.0456227	0.0207895	0.00296476	0.000311201	0.0140097
s	0.000775012	0.00208794	0.193979	0.524695	0.043516	0.0434006	0.030986	0.0371051	0.013793	0.0354921	0.056693	0.0101294	0.000834968	0.000903667	0.00560948
ω	0.0144275	0.0112641	0.126452	0.38411	0.0900756	0.126434	0.074928	0.0768281	0.0248597	0.0277505	0.0246781	0.0115521	0.00250208	0.000226784	0.00391251
y	0.150311	0.0201686	0.168605	0.284608	0.145902	0.0526366	0.0367313	0.047349	0.0335665	0.0166006	0.0053025	0.00506405	0.00315929	0.000494485	0.0295017
é	0.0484094	0.0171049	0.134898	0.137815	0.0371947	0.0467522	0.0558275	0.110354	0.0597452	0.0239533	0.0368123	0.0320305	0.0585243	0.0164039	0.184175
é	0.123107	0.030204	0.049581	0.0867135	0.222927	0.108066	0.0799044	0.122146	0.101604	0.0175222	0.0041173	0.00450702	0.012823	0.00309048	0.0336867
l	0.0030671	0.00197143	0.0475941	0.0671779	0.107401	0.237532	0.108661	0.110516	0.128645	0.111261	0.034687	0.0302965	0.00253869	0.000365761	0.00828616
e	0.00179193	0.000614591	0.0233775	0.0301681	0.0401252	0.175507	0.085028	0.135373	0.18536	0.105948	0.0387325	0.109683	0.00704999	0.000113357	0.0611269
á	8.33876e-05	0.000311179	0.0145934	0.0308664	0.046823	0.209421	0.106401	0.240108	0.157349	0.0709107	0.0664977	0.0342108	0.00149785	0.000221732	0.0207048
s	0.00196431	0.00208533	0.0131874	0.00815549	0.0439609	0.152647	0.132438	0.139462	0.266079	0.137427	0.0336917	0.0257699	0.0305316	0.00359009	0.00901099
á	0.0141621	0.000459192	0.00349004	0.00597702	0.0153588	0.172933	0.0935276	0.15158	0.269268	0.0778009	0.0178809	0.084479	0.0350438	0.000976271	0.057064
p	0.00922139	0.000906149	0.00281433	0.00532447	0.0221115	0.0367745	0.0934645	0.191806	0.345693	0.131337	0.00981406	0.0170159	0.0253171	0.101242	0.00715807
o	0.000212641	0.000103015	0.00180192	0.00828089	0.0117028	0.0223239	0.0504238	0.139547	0.0599867	0.093124	0.115205	0.0122259	0.00175378	0.475315	0.00799356
o	0.000278091	3.06104e-05	0.00191158	0.0045483	0.00768604	0.0288653	0.0892053	0.258474	0.258525	0.0854988	0.0507145	0.0170205	0.00440171	0.186733	0.00610673
y	0.000153107	1.08893e-05	0.00320849	0.00209702	0.00752533	0.0216252	0.0285007	0.0398364	0.163934	0.258004	0.0757376	0.259069	0.108091	0.00304261	0.0291647
é	0.00182914	6.1308e-05	0.00985329	0.00490572	0.00814379	0.0339039	0.0435622	0.0452002	0.19361	0.211127	0.0920332	0.167525	0.110494	0.0117522	0.065999
b	0.000962798	8.87894e-05	0.00186096	0.00222137	0.0100758	0.0225993	0.032149	0.050682	0.172904	0.1361	0.0392616	0.176939	0.201972	0.0660312	0.0861527
á	0.00131795	0.000507456	0.00954743	0.0350331	0.0245098	0.0492613	0.0257194	0.0164456	0.0125024	0.308533	0.134707	0.330089	0.0145614	0.00237971	0.0348851
a	0.00152966	0.000483592	0.00945259	0.0265774	0.0307861	0.10525	0.0943759	0.0569337	0.0303759	0.159949	0.082735	0.1386	0.103598	0.0936257	0.0657272
p	0.000170704	2.25784e-05	0.00195145	0.00177569	0.00469809	0.00675805	0.00606395	0.00491888	0.0297625	0.0760486	0.108202	0.38348	0.266537	0.0113768	0.098234
ε	2.81249e-05	3.13485e-05	0.00322478	0.00151379	0.00171455	0.00472887	0.00900495	0.0107008	0.0144711	0.034182	0.290053	0.0560352	0.012116	0.493569	0.0686264
r	0.000734516	3.07279e-05	0.000451975	0.0011417	0.00163025	0.00520668	0.0108906	0.0183362	0.0400093	0.0651522	0.2617	0.124872	0.0996917	0.190786	0.179366
