 	l'	activité	commerciale	de	ma	femme	s'	est	extrêmement	épanouie	</S>
m	0.701528	0.0735916	0.00998977	0.104803	0.0505979	0.00485307	0.0327203	0.0179972	0.00267102	0.000909383	0.000339098
w	0.110685	0.478241	0.188266	0.0092573	0.00463915	0.170718	0.0230148	0.00380802	0.000577181	0.000369342	0.010424
á	0.166386	0.0427823	0.351689	0.0259929	0.0286163	0.376314	0.00526702	0.000792277	0.00101763	0.000991503	0.000151721
s	0.638222	0.111006	0.0745746	0.0162979	0.0439519	0.0820284	0.0240335	0.00376882	0.000344909	0.000560643	0.0052109
í	0.130753	0.105045	0.132415	0.0685417	0.0250362	0.0385833	0.0872238	0.0510911	0.056605	0.0449447	0.259762
y	0.424097	0.359811	0.0231041	0.0224974	0.0377933	0.00367533	0.0410625	0.0398559	0.00148049	0.00901148	0.0376115
a	0.162569	0.434016	0.167035	0.0815494	0.0485562	0.0133639	0.0229183	0.0226208	0.0114921	0.0228381	0.0130408
n	0.444329	0.0775809	0.0332967	0.0491716	0.254536	0.0218261	0.0412667	0.0262917	0.00380256	0.00979714	0.0381016
g	0.377784	0.228421	0.186932	0.0237154	0.0929973	0.00292659	0.0177028	0.0132921	0.00114006	0.0236681	0.0314207
á	0.0865011	0.225447	0.318458	0.0595687	0.0869293	0.0363081	0.0339569	0.0134443	0.00334594	0.0879525	0.0480879
o	0.0983	0.133167	0.18628	0.256303	0.0640343	0.0283419	0.128979	0.0575841	0.00646289	0.00913915	0.0314076
m	0.0777515	0.0296658	0.250625	0.369942	0.00780083	0.0205429	0.0391897	0.0773283	0.0806365	0.01975	0.0267677
b	0.0374579	0.0612282	0.377604	0.406313	0.00196505	0.0558459	0.0192132	0.0168037	0.0120508	0.00103489	0.010483
ó	0.00324026	0.00678948	0.59595	0.299449	0.00149523	0.00754786	0.0296488	0.0135062	0.0114287	0.00492266	0.0260227
n	0.0356944	0.0193081	0.147454	0.688935	0.00792028	0.00746326	0.029343	0.01958	0.013196	0.00260877	0.0284972
g	0.146453	0.0585418	0.292938	0.211887	0.0308166	0.0242845	0.0347078	0.0134611	0.0199722	0.0199876	0.14695
o	0.383139	0.135099	0.275236	0.082352	0.0955508	0.0116301	0.00699291	0.00113248	0.00114357	0.00265701	0.00506706
ó	0.0106887	0.0106217	0.0234344	0.439193	0.0714377	0.0725042	0.230529	0.0797605	0.00240938	0.0120317	0.0473893
m	0.0325971	0.0127507	0.0158207	0.289361	0.0506316	0.0907648	0.189885	0.248965	0.0524675	0.00769296	0.00906294
i	0.0117963	0.00395879	0.00627842	0.121622	0.0201377	0.280311	0.223372	0.256944	0.0468069	0.00224831	0.0265245
p	0.012302	0.00471026	0.0156508	0.0694163	0.0102593	0.116729	0.0956103	0.196829	0.438334	0.0111779	0.0289807
f	4.22083e-05	6.58853e-05	0.000195375	0.00916025	0.00017124	0.000601758	0.0102349	0.0349255	0.931643	0.00496792	0.00799168
w	0.000169045	8.95867e-05	0.000120963	0.00374552	0.000217409	0.000175395	0.00208211	0.013676	0.973193	0.00215175	0.00437922
o	0.00132756	0.000189768	0.000385276	0.0133939	0.000338086	0.000910718	0.00585587	0.0206217	0.932546	0.00626371	0.0181675
o	0.00182159	0.000616931	0.00325797	0.104735	0.0226656	0.00193045	0.108304	0.20114	0.48955	0.0246307	0.0413485
b	0.00232089	0.000370751	0.000493085	0.0490541	0.0206629	0.00216909	0.258785	0.435147	0.0752756	0.0421394	0.113582
h	0.00244478	0.000369459	0.000589804	0.0722861	0.0232046	0.00575268	0.0902526	0.0941466	0.232467	0.0844207	0.394066
á	0.00769167	0.000187876	0.0011168	0.115142	0.0566583	0.00327447	0.0902559	0.0699694	0.370419	0.0635955	0.221689
n	0.00933464	0.000503431	0.000578306	0.0631313	0.0922995	0.00412003	0.261108	0.160511	0.182342	0.0688651	0.157207
d	0.0285955	0.00194689	0.00303769	0.0208185	0.329125	0.00546707	0.0563259	0.036607	0.0521067	0.300808	0.165161
é	0.0133393	0.00705009	0.00803658	0.0158778	0.176123	0.0100311	0.0855144	0.0666987	0.11055	0.255729	0.25105
n	0.000999223	0.000546631	0.0012386	0.0227232	0.043272	0.00212893	0.128724	0.123094	0.0467553	0.448635	0.181884
g	0.0178266	0.00507652	0.00862132	0.024407	0.0346027	0.00401294	0.112511	0.0962788	0.0239295	0.483342	0.189392
é	0.000399315	0.000207907	0.000488932	0.00800689	0.0610977	0.00127547	0.0701222	0.0385326	0.043439	0.599536	0.176894
é	0.00304525	0.000403068	0.000340744	0.00971549	0.0211539	0.00121966	0.142112	0.143182	0.0116166	0.283243	0.383968
t	0.00419404	0.00246469	0.00130997	0.0133572	0.00389237	0.000848537	0.0565898	0.129529	0.00991812	0.291047	0.486849
s	0.000181307	0.000146984	7.028e-05	0.00471637	0.00110414	9.63173e-05	0.0423699	0.179862	0.103784	0.346223	0.321446
ω	0.00120586	0.000155261	0.000133565	0.0102371	0.00469697	0.000188326	0.0660171	0.167216	0.100892	0.373397	0.27586
</S>	0.000675793	0.000126435	0.000101341	0.00397217	0.00766968	0.000267163	0.0590084	0.0757685	0.0695789	0.180036	0.602796
