 	le	serpent	rouge	konga	mange	des	grillons	</S>
k	0.247491	0.147476	0.517449	0.0793584	0.00259779	0.00516924	0.000172729	0.000285032
ó	0.0835214	0.426394	0.0855768	0.399599	0.000863858	0.000281486	0.00369415	6.90468e-05
n	0.00526524	0.0352527	0.147759	0.793755	0.0151766	0.00048422	0.00165003	0.000657778
g	0.123947	0.0821567	0.172584	0.589157	0.0162077	0.0013848	0.00476967	0.00979382
á	0.26848	0.241571	0.260857	0.220242	0.00212442	0.000497984	0.00196688	0.00426021
l	0.131384	0.0235367	0.397479	0.129352	0.207324	0.0874054	0.00105414	0.0224639
á	0.0544815	0.0150637	0.0983987	0.0802267	0.198339	0.0754341	0.0208991	0.457158
a	0.390193	0.0161068	0.127275	0.14019	0.189254	0.106005	0.0163883	0.0145879
d	0.00593185	0.00246997	0.0024276	0.024313	0.846089	0.0712897	0.0413703	0.00610813
z	0.000975973	0.000150312	0.000402193	0.00301539	0.85482	0.0775455	0.0273324	0.0357577
á	0.0107924	0.00306737	0.00502627	0.0063	0.793816	0.0809291	0.0558815	0.0441872
á	0.00185395	0.00115885	0.0382016	0.0249801	0.228888	0.518102	0.0612451	0.125571
a	0.00993161	0.00169195	0.00981952	0.00288034	0.0623963	0.806328	0.0804495	0.0265029
n	0.0077402	0.00270325	0.0035133	0.00939386	0.0844751	0.163029	0.710564	0.0185819
d	0.0335793	0.0386405	0.0310876	0.00924229	0.0512945	0.159224	0.482851	0.194081
z	0.00365443	0.00778087	0.0065668	0.0031386	0.0225056	0.0420517	0.767518	0.146784
έ	0.000479767	0.00400533	0.00427638	0.00287119	0.0284661	0.024663	0.782019	0.153219
n	0.0320565	0.0267942	0.0317784	0.0436761	0.0350404	0.0485986	0.482814	0.299242
d	0.00892962	0.00831239	0.0111277	0.00831591	0.0404724	0.11094	0.375915	0.435988
z	0.0079713	0.00781885	0.00867408	0.00302938	0.0138127	0.0133653	0.604629	0.340699
έ	0.00379779	0.00459315	0.0121557	0.006386	0.0134642	0.0133747	0.248391	0.697838
</S>	0.015904	0.00115114	0.00565084	0.000814702	0.0118346	0.151764	0.0602828	0.752598
