 	il	est	bon	pour	une	famille	d'	avoir	planté	le	dzakumba	dans	la	parcelle	</S>
i	0.169624	0.038756	0.0499722	0.0584967	0.0811608	0.437318	0.103964	0.0318453	0.00808266	0.0186603	0.000257567	0.000945812	0.000572407	0.000297751	4.6668e-05
k	0.0148674	0.114011	0.0652631	0.0339548	0.0613156	0.232046	0.0363856	0.249227	0.170132	0.00816419	0.00857662	0.00200877	0.00122144	0.00138903	0.00143814
ó	0.0031128	0.0145985	0.0309115	0.0220766	0.0718305	0.700375	0.0164994	0.0366153	0.0263219	0.0228647	0.0388577	0.000973607	0.0012205	0.0117796	0.00196207
r	0.00136744	0.0218732	0.0584307	0.0467735	0.0963378	0.577829	0.0403609	0.0472581	0.054192	0.0184071	0.0181552	0.0016168	0.00164792	0.0123643	0.00338609
a	0.0181028	0.0429431	0.0477678	0.057092	0.158045	0.159996	0.100656	0.061895	0.146022	0.0990267	0.0678434	0.00929468	0.00650488	0.0108076	0.0140036
k	0.0759146	0.0630581	0.0970399	0.091763	0.130182	0.206361	0.179722	0.0874253	0.0267351	0.0269648	0.00264971	0.00561851	0.0010909	0.000310125	0.00516476
á	0.126741	0.0545347	0.115284	0.072608	0.135644	0.178466	0.0767778	0.0519873	0.0260245	0.0623738	0.0330349	0.0143972	0.00461255	0.016212	0.0313026
a	0.0674382	0.0694402	0.0795697	0.150371	0.124117	0.0873218	0.0801475	0.0849718	0.0273659	0.0541475	0.0675247	0.0159196	0.00761786	0.00354813	0.0804991
í	0.00999353	0.0172616	0.0263921	0.040962	0.0375332	0.0591207	0.212453	0.286342	0.191904	0.0918768	0.0100192	0.0099245	0.00225256	0.000407439	0.00355709
d	0.00157426	0.0170803	0.0161145	0.0108084	0.00829234	0.00741804	0.0378897	0.241608	0.541907	0.0881062	0.0125195	0.0111818	0.00326724	0.000309601	0.00192381
í	9.91164e-05	0.00375478	0.00546617	0.00630484	0.00556841	0.00172309	0.0146008	0.23472	0.593427	0.0247448	0.00401126	0.063079	0.0147285	0.000574657	0.0271976
l	0.000813878	0.00833268	0.0518975	0.0502296	0.0354643	0.0253034	0.0571376	0.0934977	0.242247	0.155498	0.0623979	0.132346	0.0321576	0.0101595	0.0425177
á	0.00269138	0.00540792	0.0112534	0.015414	0.0125448	0.00424637	0.0290666	0.0358022	0.147663	0.348902	0.177588	0.0742997	0.0212303	0.00598768	0.107903
d	0.00244236	0.00334393	0.00867115	0.0180882	0.0145533	0.00989821	0.0329294	0.0293486	0.109801	0.31061	0.339147	0.0603984	0.020437	0.0193801	0.0209517
z	0.000767144	0.00287815	0.00525915	0.00575486	0.00847939	0.00156723	0.0146954	0.0369455	0.183755	0.143462	0.477606	0.0503602	0.0264529	0.0270603	0.0149574
a	0.000188891	0.000817193	0.00164577	0.00321239	0.0042949	0.000875328	0.00533996	0.0200497	0.0986933	0.11892	0.607729	0.0693052	0.0334614	0.0238562	0.0116105
k	0.000120228	0.000504622	0.00203693	0.00378699	0.00332962	0.0019459	0.00475508	0.00667288	0.0301531	0.117171	0.642158	0.135811	0.0154646	0.0217063	0.0143842
u	5.04208e-05	0.000538133	0.00517541	0.00331194	0.00606007	0.00972788	0.00538304	0.00346858	0.0184301	0.25372	0.636238	0.0299269	0.00603146	0.0130635	0.00887529
m	2.89242e-05	0.000226875	0.00185516	0.0037406	0.00531247	0.0075073	0.010181	0.00337523	0.0164276	0.154378	0.447661	0.157675	0.0371246	0.122302	0.0322043
b	0.00103296	0.000835253	0.00312705	0.00940199	0.0114644	0.00587987	0.0403456	0.0024891	0.00685723	0.292933	0.203482	0.257804	0.0520102	0.0186855	0.0936521
a	0.00113384	0.000807375	0.0050141	0.0214683	0.0284647	0.00482087	0.0609039	0.00540754	0.0118339	0.178729	0.330198	0.23253	0.0369891	0.0329595	0.0487394
s	0.000355954	0.00109408	0.00475153	0.00518134	0.00470508	0.00344828	0.0262916	0.00835555	0.0328976	0.100075	0.0163736	0.514329	0.114712	0.0706788	0.0967508
é	0.000736094	0.00388553	0.00764774	0.0131124	0.0131586	0.00519593	0.0130939	0.00821592	0.0216458	0.0260826	0.0336703	0.223958	0.346574	0.116577	0.166446
f	0.000534795	0.000878121	0.00247175	0.00479904	0.0041471	0.00174691	0.00666345	0.00199907	0.00436483	0.00488483	0.00633217	0.0671858	0.250174	0.592879	0.0509392
u	0.000831739	0.00259784	0.007402	0.00898071	0.0110793	0.00839577	0.00506876	0.00382508	0.00439354	0.00608048	0.0361494	0.027987	0.160867	0.666965	0.0493763
n	6.30492e-05	0.000258381	0.00103692	0.00224623	0.00180981	0.00107231	0.00125297	0.000598999	0.00187142	0.00413531	0.0653424	0.00513707	0.0149945	0.871814	0.0283669
d	8.69065e-05	0.00022057	0.00189718	0.00335156	0.00345881	0.00198896	0.00295634	0.000736107	0.00484557	0.0311545	0.13741	0.030114	0.0497932	0.646843	0.0851433
u	0.000246591	0.000515522	0.00279628	0.00578283	0.00624868	0.00248924	0.00514838	0.0010881	0.00412627	0.0601065	0.0488981	0.156857	0.131602	0.422728	0.151366
</S>	0.00199276	0.00148941	0.0102031	0.00707407	0.00836226	0.00729383	0.0250246	0.00411364	0.0170341	0.115104	0.0129121	0.0629841	0.0867563	0.351186	0.28847
