 	mon	épouse	a	une	démarche	dégagée	</S>
m	0.6897	0.229412	0.0188406	0.0145205	0.0447035	0.0024584	0.000363962
w	0.00508799	0.990494	0.00185263	0.000381449	0.000554591	0.000224657	0.00140408
á	0.0207913	0.976931	0.0007123	0.000499336	0.00077241	0.000213383	8.06213e-05
s	0.657321	0.2961	0.0149874	0.00286904	0.00292215	0.00260838	0.0231919
í	0.125212	0.166057	0.147527	0.0751314	0.0252128	0.0405203	0.42034
y	0.606188	0.10335	0.0887012	0.0161247	0.00724713	0.0462506	0.132138
a	0.656855	0.141275	0.0732165	0.0219208	0.0208856	0.0387979	0.0470493
n	0.982679	0.00897595	0.00388949	0.000559925	0.000400279	0.000870321	0.00262534
g	0.976631	0.0168559	0.00236743	0.000373161	0.000178852	0.00279079	0.000802599
á	0.44861	0.161356	0.0775768	0.0146466	0.00833919	0.108665	0.180807
l	0.0693786	0.0345692	0.805606	0.0487346	0.0132159	0.00730005	0.0211956
á	0.126935	0.00485611	0.434016	0.0499452	0.00556583	0.0470264	0.331655
a	0.192188	0.00963216	0.382233	0.17715	0.0349467	0.039796	0.164055
b	0.0211479	0.00621953	0.41286	0.512323	0.0274611	0.00450283	0.015485
h	0.000594147	0.00181723	0.201505	0.689988	0.085186	0.00320516	0.0177045
é	0.000281203	0.000214985	0.0606829	0.825243	0.10312	0.00276857	0.00768876
m	0.00309735	0.00125255	0.0643556	0.665993	0.244356	0.00483585	0.016109
b	0.00431468	0.000258063	0.0671383	0.388187	0.464556	0.0173032	0.0582426
á	0.00222926	0.00107487	0.0560781	0.218413	0.536272	0.0514057	0.134527
l	0.0104755	0.00054975	0.0531545	0.230709	0.642494	0.048954	0.0136633
e	0.0642076	0.00193371	0.0315866	0.107375	0.135757	0.284753	0.374387
s	0.0114453	0.00868367	0.0287172	0.126641	0.262094	0.469321	0.0930976
á	0.00435007	0.0014987	0.0122611	0.0825319	0.469509	0.390055	0.0397952
á	0.0162911	0.00300617	0.0292041	0.0984753	0.270218	0.471745	0.111061
n	0.007299	0.00190746	0.0265088	0.0263853	0.0511566	0.699048	0.187695
i	0.0274027	0.000514041	0.0048484	0.00608638	0.0137112	0.772534	0.174903
</S>	0.000577195	5.85402e-05	0.010089	0.0117127	0.00886654	0.539787	0.428909
