 	cette	femme	a	mal	au	clitoris	</S>
o	0.630032	0.188614	0.0400317	0.042674	0.0394711	0.0531292	0.00604723
y	0.0980668	0.886523	0.00766265	0.00398454	0.00153688	0.000784552	0.00144169
ú	0.952716	0.0456227	0.000357502	0.000919238	0.000167365	1.37107e-05	0.000203321
r	0.984983	0.0126179	0.000201971	0.00140346	0.00057509	1.75328e-05	0.000200747
u	0.89151	0.0261876	0.0151688	0.0228648	0.0336605	0.00297657	0.00763133
w	0.415728	0.140032	0.289542	0.0510042	0.041446	0.0104213	0.0518268
ó	0.341202	0.0339279	0.204187	0.0996131	0.070381	0.0252526	0.225435
l	0.0914097	0.00997768	0.537324	0.0855448	0.0419609	0.00564505	0.228138
á	0.0406516	0.00728875	0.229665	0.120171	0.0865676	0.0069384	0.508718
a	0.101659	0.0339179	0.296377	0.385647	0.149711	0.00322629	0.029462
b	0.0873166	0.0836646	0.345665	0.297153	0.0592358	0.0227834	0.104181
ó	0.0144321	0.0120368	0.359276	0.423396	0.119183	0.0170033	0.0546726
n	0.0610228	0.000754789	0.276652	0.2879	0.0860971	0.027317	0.260256
d	0.164199	0.00664126	0.211861	0.185121	0.0939892	0.0294398	0.308749
á	0.0451777	0.00360329	0.182022	0.185908	0.143825	0.0259085	0.413557
b	0.0230232	0.000971738	0.0672553	0.298316	0.436815	0.139664	0.0339546
v	0.00213376	0.000457483	0.0203649	0.0850158	0.122225	0.742367	0.0274357
ú	0.000346561	8.16611e-05	0.00821488	0.154787	0.19595	0.612108	0.0285121
a	0.0163026	0.000128733	0.0594249	0.266153	0.465844	0.150544	0.0416024
m	0.00340232	8.40724e-05	0.0432274	0.0953967	0.37772	0.0447831	0.435387
ó	0.223143	0.00417632	0.0648287	0.0969878	0.245792	0.021718	0.343354
t	0.00715949	0.00121109	0.021067	0.0514991	0.205045	0.337525	0.376494
ω	0.00732533	0.000323208	0.016351	0.0288117	0.0707881	0.686434	0.189967
b	0.000249786	1.68735e-05	0.00310587	0.0127124	0.0205613	0.872254	0.0910994
h	0.000189061	1.0012e-05	0.00927729	0.0193251	0.0436055	0.642425	0.285168
i	0.0104607	5.30516e-05	0.0128255	0.112991	0.199787	0.464911	0.198972
</S>	0.115268	0.000309014	0.0302569	0.0528658	0.244091	0.0184218	0.538787
