 	cet	homme	est	encore	célibataire	</S>
i	0.776954	0.183772	0.0248911	0.0135499	0.000672001	0.000161259
b	0.214111	0.771078	0.00550712	0.008625	0.000286218	0.000392445
a	0.00890261	0.990169	0.000446965	0.000269261	0.000190391	2.21616e-05
a	0.0347642	0.94895	0.00715259	0.00121421	0.00154353	0.00637557
d	0.710127	0.0826492	0.112559	0.0114468	0.00107816	0.0821402
í	0.211552	0.0518034	0.131971	0.0248157	0.000966134	0.578893
í	0.0340548	0.0475098	0.649283	0.114779	0.0150059	0.139368
s	0.00625605	0.00395018	0.291815	0.658947	0.0132334	0.0257982
á	0.00326457	0.00394868	0.213043	0.721617	0.00246292	0.055663
a	0.0071588	0.00765664	0.236015	0.241534	0.124517	0.383118
p	0.00526895	0.00367021	0.131626	0.514012	0.266697	0.0787255
f	0.00115695	0.00465819	0.0542311	0.0556673	0.764243	0.120044
e	0.00320109	0.00487792	0.0909588	0.106976	0.602486	0.1915
é	0.00098939	0.001308	0.025281	0.0216405	0.560008	0.390773
</S>	0.00245472	0.00391053	0.0587919	0.172093	0.125961	0.636788
