 	l'	ombrette	a	un	long	bec	</S>
k	0.399556	0.523029	0.0551803	0.0193129	0.00217182	0.000416474	0.000332912
ú	0.0405574	0.920219	0.0172776	0.0109574	0.00252325	0.00723698	0.00122805
n	0.0108615	0.914022	0.0400109	0.0206245	0.00330949	0.00247115	0.00869998
y	0.209309	0.348141	0.241039	0.158108	0.00727932	0.0208435	0.0152804
ε	0.22417	0.713492	0.0237364	0.0166569	0.000769337	0.00799112	0.0131842
a	0.259011	0.0739369	0.499537	0.130191	0.0282507	0.000835486	0.00823791
d	0.041713	0.017873	0.294572	0.347775	0.221347	0.00852163	0.0681989
í	0.0121571	0.00263088	0.137513	0.311313	0.440431	0.000566547	0.0953882
l	0.0370258	0.00476661	0.226955	0.224748	0.354453	0.0215162	0.130535
a	0.00660688	0.00520811	0.214414	0.218749	0.25728	0.0144068	0.283335
o	0.0170471	0.0173306	0.127212	0.168037	0.278242	0.183452	0.208679
t	0.000628101	0.00039954	0.00330785	0.0269388	0.116342	0.837916	0.0144674
o	0.00023575	0.00227708	0.0053357	0.0238498	0.0538874	0.861361	0.0530527
b	7.76593e-05	0.00129287	0.00108118	0.00984871	0.0347488	0.891141	0.0618098
h	0.0085186	0.0287325	0.0249011	0.0675517	0.0406054	0.559668	0.270023
o	0.00219878	0.0124374	0.0138093	0.0419203	0.0303567	0.625021	0.274256
l	0.00197809	0.00177535	0.0168188	0.036945	0.0649402	0.0814776	0.796065
a	0.0174184	0.00789252	0.0429692	0.0885688	0.155433	0.224117	0.4636
ω	0.0185941	0.00196211	0.0528966	0.0350215	0.0272353	0.0566603	0.80763
l	0.0110115	0.00419267	0.0355684	0.0393007	0.0895811	0.121905	0.69844
a	0.0144745	0.00592997	0.135322	0.182607	0.26989	0.076955	0.314822
á	0.00391974	0.000653043	0.0225401	0.0364815	0.0310088	0.0675287	0.837868
</S>	0.0115942	0.00585281	0.100645	0.0598316	0.0453036	0.021132	0.75564
